The Legend of Zelda: Ocarina of Time 3D;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Fire Emblem: Awakening;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
The Legend of Zelda: A Link Between Worlds;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Shovel Knight;Single-Player;Polled;Average;Median;Main Story;706;6h 50m;6h 29m;Main + Extras;654;9h 18m;8h;Completionists;94;19h 17m;15h 07m;All PlayStyles;1.5K;8h 45m;7h 12m
Super Mario 3D Land;Single-Player;Polled;Average;Median;Main Story;572;6h 58m;6h 31m;Main + Extras;425;13h 18m;12h;Completionists;386;23h 38m;21h;All PlayStyles;1.4K;13h 34m;10h 15m
Pushmo;Single-Player;Polled;Average;Median;Main Story;45;14h 34m;14h 20m;Main + Extras;25;21h 19m;19h 20m;Completionists;15;32h 45m;30h;All PlayStyles;85;19h 46m;16h 23m
The Legend of Zelda: Majora's Mask 3D;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
3D Gunstar Heroes;Single-Player;Polled;Average;Median;Main Story;9;2h;2h;Main + Extras;1;1h 52m;1h 52m;Completionists;1;14h 04m;14h 04m;All PlayStyles;11;3h 05m;2h
3D Streets of Rage II;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Colors! 3D;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Zero Escape: Virtue's Last Reward;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Fire Emblem Fates: Special Edition;Single-Player;Polled;Average;Median;Main Story;2;35h 34m;35h 34m;Main + Extras;6;193h 40m;204h 05m;Completionists;1;110h;110h;All PlayStyles;9;149h 14m;126h 50m
Pokémon X and Y;Single-Player;Polled;Average;Median;Main Story;938;32h 38m;30h 20m;Main + Extras;711;80h 57m;61h 01m;Completionists;207;219h 27m;192h 37m;All PlayStyles;1.9K;71h 59m;40h 18m
Fire Emblem Fates: Revelation;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Animal Crossing: New Leaf;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Pokemon X;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Pokemon Sun;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Pokemon Moon;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Fire Emblem Fates: Conquest;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Sonic the Hedgehog 2 (16-bit);Single-Player;Polled;Average;Median;Main Story;217;2h 30m;2h 27m;Main + Extras;39;2h 51m;3h;Completionists;54;3h 04m;3h;All PlayStyles;310;2h 39m;2h 30m
OutRun;Single-Player;Polled;Average;Median;Main Story;37;28m;26m;Main + Extras;13;1h 54m;1h 16m;Completionists;9;1h 55m;2h;All PlayStyles;59;1h;40m
Monster Hunter 4 Ultimate;Single-Player;Polled;Average;Median;Main Story;54;81h 07m;75h 30m;Main + Extras;68;156h 36m;130h;Completionists;20;382h 55m;390h;All PlayStyles;142;159h 46m;105h 01m
Picross 3D: Round 2;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Crashmo;Single-Player;Polled;Average;Median;Main Story;9;9h 42m;10h 08m;Main + Extras;2;23h 22m;23h 22m;Completionists;2;23h 16m;23h 16m;All PlayStyles;13;13h 54m;11h 28m
SteamWorld Heist;Single-Player;Polled;Average;Median;Main Story;146;12h 23m;12h 06m;Main + Extras;238;17h 13m;16h;Completionists;55;21h 19m;20h 46m;All PlayStyles;439;16h 07m;15h
Luigi's Mansion: Dark Moon;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Xenoblade Chronicles 3D;Single-Player;Polled;Average;Median;Main Story;112;65h 05m;64h 26m;Main + Extras;139;95h 59m;92h 44m;Completionists;26;154h 10m;140h;All PlayStyles;277;88h 57m;80h 24m
