Grand Theft Auto: Chinatown Wars;Single-Player;Polled;Average;Median;Main Story;61;9h 19m;9h 30m;Main + Extras;45;14h 39m;14h 31m;Completionists;6;24h 57m;20h 27m;All PlayStyles;112;12h 18m;10h 22m
Flipnote Studio;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Chrono Trigger;Single-Player;Polled;Average;Median;Main Story;380;23h 07m;23h;Main + Extras;759;27h 08m;25h 57m;Completionists;132;45h 05m;44h 12m;All PlayStyles;1.3K;27h 48m;25h
Mario Kart DS;Single-Player;Polled;Average;Median;Main Story;92;4h 36m;4h 32m;Main + Extras;53;11h 02m;10h;Completionists;68;22h 59m;18h 16m;All PlayStyles;213;12h 04m;9h
Mario & Luigi: Bowser's Inside Story;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Resident Evil Village;Single-Player;Polled;Average;Median;Main Story;420;9h 13m;9h 21m;Main + Extras;510;11h 22m;10h 47m;Completionists;29;37h 18m;35h;All PlayStyles;959;11h 13m;10h
Advance Wars: Dual Strike;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Castlevania: Dawn of Sorrow;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
New Super Mario Bros.;Single-Player;Polled;Average;Median;Main Story;213;7h 03m;7h;Main + Extras;117;11h 05m;10h 02m;Completionists;100;17h 25m;17h;All PlayStyles;430;10h 34m;9h
Meteos;Single-Player;Polled;Average;Median;Main Story;5;7h 13m;7h;Main + Extras;8;18h 51m;20h 06m;Completionists;2;51h 15m;51h 15m;All PlayStyles;15;19h 18m;14h 06m
The World Ends with You;Single-Player;Polled;Average;Median;Main Story;166;25h 20m;25h;Main + Extras;91;47h 54m;42h;Completionists;25;136h 24m;125h 26m;All PlayStyles;282;42h 28m;28h 05m
Pokemon White Version;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Dragon Quest IX: Sentinels of the Starry Skies;Single-Player;Polled;Average;Median;Main Story;154;50h 06m;47h 01m;Main + Extras;115;93h 30m;80h;Completionists;12;719h 44m;785h;All PlayStyles;281;96h 27m;55h 07m
Pokemon SoulSilver Version;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Elite Beat Agents;Single-Player;Polled;Average;Median;Main Story;66;3h 56m;4h;Main + Extras;20;7h 09m;5h 21m;Completionists;15;29h 24m;30h;All PlayStyles;101;8h 21m;4h 26m
The Legend of Zelda: Spirit Tracks;Single-Player;Polled;Average;Median;Main Story;105;19h 52m;19h;Main + Extras;103;26h 45m;26h;Completionists;43;32h 16m;30h;All PlayStyles;251;24h 49m;24h
Pokemon HeartGold Version;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
