Demon's Souls (2020);Single-Player;Polled;Average;Median;Main Story;247;24h 23m;24h 11m;Main + Extras;279;33h 26m;32h 52m;Completionists;128;59h 39m;55h 49m;All PlayStyles;654;35h 09m;30h 30m
Tony Hawk's Pro Skater 1 + 2;Single-Player;Polled;Average;Median;Main Story;51;6h 31m;6h;Main + Extras;83;11h 19m;9h;Completionists;10;15h 07m;14h 15m;All PlayStyles;144;9h 53m;8h 16m
Disco Elysium;Single-Player;Polled;Average;Median;Main Story;112;20h 57m;20h;Main + Extras;593;30h 31m;29h;Completionists;71;42h 57m;41h;All PlayStyles;776;30h 17m;28h 30m
Devil May Cry 5: Special Edition;Single-Player;Polled;Average;Median;Main Story;37;10h 52m;11h;Main + Extras;5;22h 09m;12h;Completionists;1;53h;53h;All PlayStyles;43;13h 09m;11h
It Takes Two;Single-Player;Polled;Average;Median;Main Story;114;11h 36m;11h 18m;Main + Extras;122;13h 20m;13h;Completionists;50;15h 09m;14h 28m;All PlayStyles;286;12h 58m;12h 30m
Mortal Kombat 11 Ultimate;Single-Player;Polled;Average;Median;Main Story;9;8h 32m;7h 30m;Main + Extras;6;29h 46m;23h;Completionists;2;22h 30m;22h 30m;All PlayStyles;17;17h 40m;9h 31m
Crash Bandicoot 4: It's About Time;Single-Player;Polled;Average;Median;Main Story;96;10h 13m;10h;Main + Extras;79;21h 57m;16h 32m;Completionists;19;84h 27m;83h 19m;All PlayStyles;194;22h 16m;13h
Returnal;Single-Player;Polled;Average;Median;Main Story;91;19h 07m;18h 43m;Main + Extras;64;27h 36m;26h;Completionists;18;56h 57m;54h 30m;All PlayStyles;173;26h 12m;22h
Yakuza: Like a Dragon;Single-Player;Polled;Average;Median;Main Story;76;45h 49m;45h 59m;Main + Extras;351;68h 02m;63h 15m;Completionists;64;97h 27m;94h 42m;All PlayStyles;491;68h 26m;62h 48m
Control: Ultimate Edition;Single-Player;Polled;Average;Median;Main Story;131;12h 44m;12h 43m;Main + Extras;250;26h 14m;25h 07m;Completionists;119;38h 51m;37h 12m;All PlayStyles;500;25h 42m;24h 55m
Marvel's Spider-Man: Miles Morales;Single-Player;Polled;Average;Median;Main Story;373;7h 32m;7h 21m;Main + Extras;436;12h 29m;12h;Completionists;472;17h 50m;17h;All PlayStyles;1.3K;13h 01m;12h
Warframe;Multi-Player;Polled;Average;Median;Co-Op;53;744h 09m;351h;Competitive;8;15h 30m;4h 30m
Assassin's Creed Valhalla;Single-Player;Polled;Average;Median;Main Story;179;56h 23m;55h;Main + Extras;479;91h 19m;87h 05m;Completionists;315;134h 05m;130h;All PlayStyles;973;98h 44m;93h 12m
Hitman 3;Single-Player;Polled;Average;Median;Main Story;98;7h 43m;7h 59m;Main + Extras;53;16h 49m;13h;Completionists;6;44h 52m;46h 18m;All PlayStyles;157;12h 13m;8h 48m
Overcooked! All You Can Eat;Platform;Polled;Main;Main +;100%;Not enough data.;;;;
Resident Evil Village;Single-Player;Polled;Average;Median;Main Story;416;9h 13m;9h 21m;Main + Extras;503;11h 23m;10h 47m;Completionists;28;35h 40m;35h;All PlayStyles;947;11h 09m;10h
The Pedestrian;Single-Player;Polled;Average;Median;Main Story;53;3h 47m;3h 50m;Main + Extras;14;3h 44m;3h 55m;Completionists;37;4h 19m;4h;All PlayStyles;104;3h 58m;3h 55m
Astro's Playroom;Single-Player;Polled;Average;Median;Main Story;221;3h 02m;3h;Main + Extras;198;3h 56m;4h;Completionists;590;5h 05m;5h;All PlayStyles;1K;4h 24m;4h 04m
Judgment (2018);Single-Player;Polled;Average;Median;Main Story;67;27h 09m;25h 51m;Main + Extras;201;45h 26m;41h 49m;Completionists;10;96h 18m;99h 30m;All PlayStyles;278;42h 52m;39h 55m
Subnautica: Below Zero;Single-Player;Polled;Average;Median;Main Story;66;20h 21m;19h 15m;Main + Extras;68;25h 31m;25h;Completionists;49;32h 51m;30h;All PlayStyles;183;25h 37m;24h 06m
Dirt 5;Single-Player;Polled;Average;Median;Main Story;36;8h 11m;7h 13m;Main + Extras;21;11h 38m;12h;Completionists;16;18h 38m;17h 50m;All PlayStyles;73;11h 28m;11h 25m
Sackboy: A Big Adventure;Single-Player;Polled;Average;Median;Main Story;42;9h 27m;9h 31m;Main + Extras;44;15h 21m;14h;Completionists;14;29h 55m;27h 34m;All PlayStyles;100;14h 54m;12h
NBA 2K21;Single-Player;Polled;Average;Median;Main Story;4;40h 37m;30h 45m;Main + Extras;1;57h;57h;Completionists;1;58h;58h;All PlayStyles;6;46h 15m;56h
Wreckfest;Single-Player;Polled;Average;Median;Main Story;35;19h 23m;18h 50m;Main + Extras;21;21h 44m;21h;Completionists;14;26h 08m;25h 24m;All PlayStyles;70;21h 26m;20h
Atelier Ryza 2: Lost Legends & the Secret Fairy;Single-Player;Polled;Average;Median;Main Story;14;30h 06m;30h 51m;Main + Extras;32;51h 20m;47h 44m;Completionists;10;56h 34m;57h 15m;All PlayStyles;56;46h 58m;42h 40m
MLB The Show 21;Single-Player;Polled;Average;Median;Main Story;1;60h;60h;Main + Extras;1;80h;80h;Completionists;1;100h;100h;All PlayStyles;3;80h;80h
Cyber Shadow;Single-Player;Polled;Average;Median;Main Story;78;8h 08m;7h 33m;Main + Extras;44;9h 47m;9h 24m;Completionists;19;11h 09m;9h 28m;All PlayStyles;141;9h 03m;8h 21m
Observer: System Redux;Single-Player;Polled;Average;Median;Main Story;9;6h 36m;6h;Main + Extras;11;12h 02m;10h 27m;Completionists;1;14h;14h;All PlayStyles;21;9h 48m;8h 40m
The Pathless;Single-Player;Polled;Average;Median;Main Story;46;6h 03m;6h;Main + Extras;29;9h 27m;10h;Completionists;30;13h 20m;12h 52m;All PlayStyles;105;9h 04m;8h
MotoGP 21
Immortals Fenyx Rising;Single-Player;Polled;Average;Median;Main Story;102;25h 02m;25h;Main + Extras;240;39h 41m;39h;Completionists;111;60h 44m;59h;All PlayStyles;453;41h 33m;39h 23m
Puyo Puyo Tetris 2;Single-Player;Polled;Average;Median;Main Story;5;9h 57m;9h 07m;Main + Extras;8;11h 16m;10h;All PlayStyles;13;10h 46m;10h
Call of Duty: Black Ops Cold War;Single-Player;Polled;Average;Median;Main Story;149;5h 16m;5h;Main + Extras;109;6h 20m;6h 02m;Completionists;20;11h 35m;8h;All PlayStyles;278;6h 08m;6h
The Sinking City;Single-Player;Polled;Average;Median;Main Story;17;18h 50m;19h 29m;Main + Extras;31;25h 50m;24h;Completionists;25;32h 53m;30h;All PlayStyles;73;26h 37m;25h
Bugsnax;Single-Player;Polled;Average;Median;Main Story;73;7h 39m;7h 30m;Main + Extras;92;10h 56m;10h 41m;Completionists;218;13h 04m;12h 41m;All PlayStyles;383;11h 31m;11h 10m
