Half-Life 2;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Disco Elysium: The Final Cut;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Resident Evil Village;Single-Player;Polled;Average;Median;Main Story;421;9h 13m;9h 21m;Main + Extras;509;11h 23m;10h 47m;Completionists;29;37h 18m;35h;All PlayStyles;959;11h 13m;10h
The Orange Box;Single-Player;Polled;Average;Median;Main Story;23;25h 31m;27h;Main + Extras;18;26h 55m;27h;Completionists;4;87h 30m;54h 30m;All PlayStyles;45;31h 35m;27h 32m
Half-Life;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Resident Evil Village;Single-Player;Polled;Average;Median;Main Story;421;9h 13m;9h 21m;Main + Extras;509;11h 23m;10h 47m;Completionists;29;37h 18m;35h;All PlayStyles;959;11h 13m;10h
Baldur's Gate II: Shadows of Amn;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Portal 2;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
The Elder Scrolls V: Skyrim;Single-Player;Polled;Average;Median;Main Story;966;36h 47m;30h 20m;Main + Extras;1.9K;117h 07m;100h;Completionists;778;251h 40m;210h;All PlayStyles;3.6K;124h 35m;97h 30m
Mass Effect 2;Single-Player;Polled;Average;Median;Main Story;723;24h 48m;24h;Main + Extras;1.8K;36h 09m;35h;Completionists;714;52h 13m;49h;All PlayStyles;3.2K;37h 09m;35h
Grand Theft Auto: Vice City;Single-Player;Polled;Average;Median;Main Story;418;19h 09m;19h 30m;Main + Extras;305;28h 37m;27h;Completionists;154;44h 13m;43h 07m;All PlayStyles;877;26h 51m;22h
Sid Meier's Civilization II;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Quake;Single-Player;Polled;Average;Median;Main Story;178;5h 41m;5h 08m;Main + Extras;76;6h 44m;6h 19m;Completionists;23;8h 58m;8h;All PlayStyles;277;6h 14m;6h
BioShock Infinite;Single-Player;Polled;Average;Median;Main Story;3.2K;11h 49m;11h 30m;Main + Extras;2.2K;16h 13m;15h;Completionists;324;28h 38m;25h;All PlayStyles;5.7K;14h 27m;13h
The Elder Scrolls IV: Oblivion;Single-Player;Polled;Average;Median;Main Story;238;30h;25h 54m;Main + Extras;398;92h 21m;80h;Completionists;156;185h 47m;180h;All PlayStyles;792;92h 01m;73h 21m
Grim Fandango;Single-Player;Polled;Average;Median;Main Story;41;11h 41m;11h 54m;Main + Extras;14;11h 42m;12h 15m;Completionists;13;17h 16m;19h 48m;All PlayStyles;68;12h 45m;12h
Diablo;Single-Player;Polled;Average;Median;Main Story;110;13h 57m;14h;Main + Extras;78;19h 13m;15h 36m;Completionists;26;32h 11m;23h 30m;All PlayStyles;214;18h 05m;15h
Sid Meier's Civilization IV;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Resident Evil Village;Single-Player;Polled;Average;Median;Main Story;421;9h 13m;9h 21m;Main + Extras;509;11h 23m;10h 47m;Completionists;29;37h 18m;35h;All PlayStyles;959;11h 13m;10h
Company of Heroes;Single-Player;Polled;Average;Median;Main Story;101;19h 33m;19h;Main + Extras;52;29h 12m;22h;Completionists;9;89h 13m;80h;All PlayStyles;162;26h 31m;20h
Half-Life: Alyx;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Divinity: Original Sin II;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Unreal Tournament 2004;Single-Player;Polled;Average;Median;Main Story;31;14h 35m;15h;Main + Extras;14;20h 23m;20h;Completionists;6;30h 43m;29h 50m;All PlayStyles;51;18h 05m;16h 10m
Starcraft II: Wings of Liberty;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Minecraft;Single-Player;Polled;Average;Median;Main Story;259;91h 21m;50h;Main + Extras;145;169h 16m;100h;Completionists;136;290h 43m;160h;All PlayStyles;540;162h 29m;80h
Red Dead Redemption 2;Single-Player;Polled;Average;Median;Main Story;985;48h 36m;48h 21m;Main + Extras;1.9K;81h 44m;75h;Completionists;261;173h 10m;160h 52m;All PlayStyles;3.1K;78h 54m;67h
Resident Evil Village;Single-Player;Polled;Average;Median;Main Story;421;9h 13m;9h 21m;Main + Extras;509;11h 23m;10h 47m;Completionists;29;37h 18m;35h;All PlayStyles;959;11h 13m;10h
Homeworld;Single-Player;Polled;Average;Median;Main Story;15;17h 09m;17h;Main + Extras;6;27h 54m;20h;Completionists;8;31h 49m;21h;All PlayStyles;29;23h 25m;18h
Beat Saber;Single-Player;Polled;Average;Median;Main Story;30;5h 31m;5h 15m;Main + Extras;29;15h 16m;14h;Completionists;19;52h 45m;35h 20m;All PlayStyles;78;20h 39m;10h
Hades;Single-Player;Polled;Average;Median;Main Story;676;21h 44m;20h;Main + Extras;495;46h 05m;40h;Completionists;198;98h;92h 58m;All PlayStyles;1.4K;41h 34m;30h
Star Wars: Knights of the Old Republic;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
World of Warcraft;Multi-Player;Polled;Average;Median;Co-Op;26;2858h 53m;2000h;Competitive;13;3109h 26m;1500h
Grand Theft Auto: San Andreas;Single-Player;Polled;Average;Median;Main Story;522;31h 24m;30h 50m;Main + Extras;426;48h 53m;45h;Completionists;202;84h 08m;80h;All PlayStyles;1.2K;47h 08m;39h 23m
