Steins;Gate Elite;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Thimbleweed Park;Single-Player;Polled;Average;Median;Main Story;181;10h 50m;10h 30m;Main + Extras;123;14h 13m;14h;Completionists;50;15h 25m;15h;All PlayStyles;354;12h 40m;12h
Resident Evil Village;Single-Player;Polled;Average;Median;Main Story;423;9h 13m;9h 21m;Main + Extras;510;11h 24m;10h 47m;Completionists;29;37h 18m;35h;All PlayStyles;962;11h 13m;10h
Ni no Kuni: Wrath of the White Witch;Single-Player;Polled;Average;Median;Main Story;348;44h 58m;44h 21m;Main + Extras;608;57h 33m;55h;Completionists;165;93h 59m;90h;All PlayStyles;1.1K;59h;53h 38m
Guilty Gear Xrd -REVELATOR-;Single-Player;Polled;Average;Median;Main Story;12;5h 50m;5h 36m;Main + Extras;7;24h 17m;15h;Completionists;3;52h 40m;30h;All PlayStyles;22;18h 05m;7h 30m
Cuphead;Single-Player;Polled;Average;Median;Main Story;512;10h 23m;10h;Main + Extras;525;15h 40m;14h;Completionists;185;23h 26m;20h;All PlayStyles;1.2K;14h 38m;12h 48m
Resident Evil Village;Single-Player;Polled;Average;Median;Main Story;423;9h 13m;9h 21m;Main + Extras;510;11h 24m;10h 47m;Completionists;29;37h 18m;35h;All PlayStyles;962;11h 13m;10h
Fell Seal: Arbiter's Mark;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Sonic Mania;Single-Player;Polled;Average;Median;Main Story;319;5h 44m;5h;Main + Extras;134;9h 55m;8h;Completionists;62;19h 27m;18h;All PlayStyles;515;8h 28m;6h
MLB The Show 19;Single-Player;Polled;Average;Median;Main Story;3;163h 21m;44h 20m;Main + Extras;4;209h 15m;198h 30m;Completionists;1;436h;436h;All PlayStyles;8;220h 23m;198h 30m
Resident Evil Village;Single-Player;Polled;Average;Median;Main Story;423;9h 13m;9h 21m;Main + Extras;510;11h 24m;10h 47m;Completionists;29;37h 18m;35h;All PlayStyles;962;11h 13m;10h
Beat Saber;Single-Player;Polled;Average;Median;Main Story;30;5h 31m;5h 15m;Main + Extras;29;15h 16m;14h;Completionists;19;52h 45m;35h 20m;All PlayStyles;78;20h 39m;10h
Resident Evil Village;Single-Player;Polled;Average;Median;Main Story;423;9h 13m;9h 21m;Main + Extras;510;11h 24m;10h 47m;Completionists;29;37h 18m;35h;All PlayStyles;962;11h 13m;10h
Final Fantasy XIV Online: A Realm Reborn;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Dragon Quest XI: Echoes of an Elusive Age;Single-Player;Polled;Average;Median;Main Story;296;57h 21m;55h;Main + Extras;376;89h 45m;86h;Completionists;223;123h 34m;120h;All PlayStyles;895;87h 28m;81h 18m
Destiny: The Taken King;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Guilty Gear Xrd: Rev 2;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
OlliOlli2: Welcome to Olliwood;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Resogun: Heroes;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
DiRT Rally;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Crypt of the NecroDancer;Single-Player;Polled;Average;Median;Main Story;76;14h 54m;14h;Main + Extras;47;25h 03m;20h;Completionists;4;54h 28m;50h 30m;All PlayStyles;127;19h 54m;15h
13 Sentinels: Aegis Rim;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
The Outer Worlds;Single-Player;Polled;Average;Median;Main Story;292;12h 55m;12h;Main + Extras;1.3K;25h 33m;24h;Completionists;393;37h 48m;35h;All PlayStyles;2K;26h 07m;24h 11m
Battlefield 4;Single-Player;Polled;Average;Median;Main Story;542;6h 21m;6h;Main + Extras;168;8h 47m;7h 35m;Completionists;71;14h 20m;12h;All PlayStyles;781;7h 36m;6h 22m
Pillars of Eternity: Complete Edition;Single-Player;Polled;Average;Median;Main Story;4;31h 54m;34h;Main + Extras;14;74h;75h 45m;Completionists;7;136h 06m;104h;All PlayStyles;25;84h 39m;78h
DOOM;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
NBA 2K14;Single-Player;Polled;Average;Median;Main Story;14;43h 25m;30h 06m;Main + Extras;6;156h 43m;148h 30m;Completionists;3;198h 08m;250h 43m;All PlayStyles;23;93h 10m;39h 10m
Life is Strange;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Disco Elysium: The Final Cut;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Nioh: Bloodshed's End;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Rocket League;Single-Player;Polled;Average;Median;Main Story;107;4h 44m;4h;Main + Extras;61;25h 41m;16h;Completionists;98;44h 58m;27h 09m;All PlayStyles;266;24h 22m;12h
Resident Evil Village;Single-Player;Polled;Average;Median;Main Story;423;9h 13m;9h 21m;Main + Extras;510;11h 24m;10h 47m;Completionists;29;37h 18m;35h;All PlayStyles;962;11h 13m;10h
DJMax Respect;Platform;Polled;Main;Main +;100%;Not enough data.;;;;
Pro Evolution Soccer 2017;Single-Player;Polled;Average;Median;Main Story;6;29h 37m;21h 22m;Main + Extras;4;89h 22m;111h 14m;Completionists;4;121h 04m;127h 30m;All PlayStyles;14;72h 49m;79h 38m
Resogun: Defenders;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Ys VIII: Lacrimosa of DANA;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Nioh 2;Single-Player;Polled;Average;Median;Main Story;28;44h 57m;45h 50m;Main + Extras;70;72h 57m;72h 57m;Completionists;33;107h 06m;100h;All PlayStyles;131;75h 34m;74h 19m
Bayonetta & Vanquish;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Yakuza 0;Single-Player;Polled;Average;Median;Main Story;585;31h 38m;30h 15m;Main + Extras;1.5K;66h 26m;62h 59m;Completionists;127;140h 29m;135h 23m;All PlayStyles;2.2K;61h 24m;51h 13m
MLB 17: The Show;Single-Player;Polled;Average;Median;Main Story;2;30h;30h;Main + Extras;5;100h 02m;72h;Completionists;1;40h;40h;All PlayStyles;8;75h 01m;60h 37m
Destiny 2;Single-Player;Polled;Average;Median;Main Story;307;12h 10m;12h;Main + Extras;271;38h 19m;24h;Completionists;53;141h 54m;100h;All PlayStyles;631;34h 18m;15h
Assault Android Cactus;Single-Player;Polled;Average;Median;Main Story;58;3h 09m;3h;Main + Extras;22;7h 22m;5h 51m;Completionists;4;34h 41m;38h 28m;All PlayStyles;84;5h 45m;3h 30m
Super Mega Baseball;Single-Player;Polled;Average;Median;Main Story;2;21h 15m;21h 15m;All PlayStyles;2;21h 15m;21h 15m
Yakuza Kiwami 2;Single-Player;Polled;Average;Median;Main Story;219;19h;18h;Main + Extras;555;36h 06m;34h 29m;Completionists;64;75h 23m;73h 42m;All PlayStyles;838;34h 38m;30h
Rogue Legacy;Single-Player;Polled;Average;Median;Main Story;411;16h 48m;16h;Main + Extras;227;26h 24m;25h;Completionists;95;37h 38m;38h;All PlayStyles;733;22h 29m;20h
Wipeout: Omega Collection;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Mortal Kombat XL;Single-Player;Polled;Average;Median;Main Story;98;5h 52m;5h 17m;Main + Extras;30;18h 04m;12h 30m;Completionists;3;60h 26m;62h 56m;All PlayStyles;131;9h 55m;5h 45m
Geometry Wars 3: Dimensions Evolved;Single-Player;Polled;Average;Median;Main Story;24;8h 10m;7h 49m;Main + Extras;15;15h 40m;12h 10m;Completionists;1;24h;24h;All PlayStyles;40;11h 23m;9h 43m
Ratchet & Clank;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
MLB The Show 16;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Valkyria Chronicles 4;Single-Player;Polled;Average;Median;Main Story;77;37h 04m;36h;Main + Extras;159;50h 01m;46h 32m;Completionists;45;70h 50m;70h;All PlayStyles;281;49h 48m;45h 30m
Far Cry 4;Single-Player;Polled;Average;Median;Main Story;546;17h 40m;17h;Main + Extras;953;32h 04m;30h;Completionists;452;46h 42m;44h;All PlayStyles;2K;31h 26m;29h
Moss (2018);Single-Player;Polled;Average;Median;Main Story;70;4h;4h;Main + Extras;74;4h 47m;4h 30m;Completionists;12;6h 25m;6h;All PlayStyles;156;4h 34m;4h 11m
Tomb Raider: Definitive Edition;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Shadow Tactics: Blades of the Shogun;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Super Meat Boy;Single-Player;Polled;Average;Median;Main Story;392;9h 50m;10h;Main + Extras;207;18h 56m;17h 15m;Completionists;81;46h 49m;41h 33m;All PlayStyles;680;17h;12h
Pyre;Single-Player;Polled;Average;Median;Main Story;190;11h 14m;10h 47m;Main + Extras;251;14h 50m;14h 06m;Completionists;45;20h 58m;18h 30m;All PlayStyles;486;14h;13h
FIFA 17;Single-Player;Polled;Average;Median;Main Story;77;26h 14m;18h;Main + Extras;27;231h 27m;100h;Completionists;13;156h 59m;158h 49m;All PlayStyles;117;88h 07m;21h
DiRT 4;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Crash Bandicoot 4: It's About Time;Single-Player;Polled;Average;Median;Main Story;97;10h 14m;10h;Main + Extras;79;21h 57m;16h 32m;Completionists;19;84h 27m;83h 19m;All PlayStyles;195;22h 12m;13h
428: Shibuya Scramble;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Gone Home: Console Edition;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Ni no Kuni II: Revenant Kingdom;Single-Player;Polled;Average;Median;Main Story;203;39h 04m;38h;Main + Extras;396;55h 35m;51h 59m;Completionists;126;94h 42m;90h;All PlayStyles;725;57h 46m;50h 40m
Statik;Single-Player;Polled;Average;Median;Main Story;14;3h 13m;3h 26m;Main + Extras;2;4h;4h;Completionists;5;5h 17m;5h;All PlayStyles;21;3h 47m;3h 38m
Valkyria Chronicles Remastered;Single-Player;Polled;Average;Median;Main Story;49;27h 29m;28h;Main + Extras;52;37h 10m;35h;Completionists;19;57h 29m;50h 47m;All PlayStyles;120;36h 26m;32h 43m
F1 2018;Single-Player;Polled;Average;Median;Main Story;15;32h 05m;29h 26m;Main + Extras;9;46h;46h 57m;Completionists;5;54h 18m;41h 12m;All PlayStyles;29;40h 14m;40h
Hitman 3;Single-Player;Polled;Average;Median;Main Story;98;7h 43m;7h 59m;Main + Extras;53;16h 49m;13h;Completionists;6;44h 52m;46h 18m;All PlayStyles;157;12h 13m;8h 48m
Kingdom Hearts HD I.5 + II.5 Remix;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Middle-earth: Shadow of Mordor;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Guilty Gear Xrd -SIGN-;Single-Player;Polled;Average;Median;Main Story;19;5h 55m;5h;Main + Extras;3;8h 01m;8h;Completionists;2;11h 28m;11h 28m;All PlayStyles;24;6h 38m;6h
BlazBlue: Central Fiction;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Salt & Sanctuary;Single-Player;Polled;Average;Median;Main Story;81;16h 22m;15h 36m;Main + Extras;126;21h 38m;20h;Completionists;32;30h 43m;29h 30m;All PlayStyles;239;21h 04m;20h
