Shovel Knight: Specter of Torment;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
80 Days;Single-Player;Polled;Average;Median;Main Story;112;3h 05m;3h;Main + Extras;29;8h 41m;6h 48m;Completionists;4;41h 59m;45h;All PlayStyles;145;5h 16m;3h
WHAT THE GOLF?;Single-Player;Polled;Average;Median;Main Story;59;3h 47m;3h 01m;Main + Extras;49;5h 38m;5h 19m;Completionists;91;8h 14m;7h 36m;All PlayStyles;199;6h 16m;6h 17m
Toki Tori 2+;Single-Player;Polled;Average;Median;Main Story;18;8h 59m;8h 27m;Main + Extras;3;19h 33m;20h;Completionists;8;22h 15m;21h;All PlayStyles;29;13h 44m;10h
Bayonetta;Single-Player;Polled;Average;Median;Main Story;1.4K;11h 29m;11h 04m;Main + Extras;466;16h 05m;15h;Completionists;63;45h 02m;40h;All PlayStyles;1.9K;13h 43m;12h
Mega Man X Legacy Collection 1;Single-Player;Polled;Average;Median;Main Story;15;15h 30m;15h 35m;Main + Extras;7;27h 41m;27h;Completionists;12;25h 29m;28h 46m;All PlayStyles;34;21h 32m;20h
Rayman Legends: Definitive Edition;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
The Elder Scrolls V: Skyrim;Single-Player;Polled;Average;Median;Main Story;966;36h 47m;30h 20m;Main + Extras;1.9K;117h 07m;100h;Completionists;778;251h 40m;210h;All PlayStyles;3.6K;124h 35m;97h 30m
Kingdom: Two Crowns;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Child of Light;Single-Player;Polled;Average;Median;Main Story;380;11h 22m;11h;Main + Extras;423;14h 03m;13h;Completionists;220;15h 52m;15h;All PlayStyles;1K;13h 26m;12h 45m
Wargroove;Single-Player;Polled;Average;Median;Main Story;53;20h 07m;20h;Main + Extras;42;39h 42m;35h;All PlayStyles;95;28h 47m;25h
Lovers in a Dangerous Spacetime;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
BioShock: The Collection;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
The Legend of Heroes: Trails of Cold Steel III;Single-Player;Polled;Average;Median;Main Story;28;60h 34m;63h 45m;Main + Extras;169;102h 22m;100h 05m;Completionists;57;127h 52m;122h;All PlayStyles;254;103h 29m;100h 12m
Snipperclips Plus: Cut It Out, Together!;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Atelier Ryza: Ever Darkness & the Secret Hideout;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Danmaku Unlimited 3;Single-Player;Polled;Average;Median;Main Story;9;2h 54m;3h 04m;Main + Extras;1;5h 40m;5h 40m;All PlayStyles;10;3h 11m;3h 23m
Sega Ages: Fantasy Zone;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Baba Is You (2019);Single-Player;Polled;Average;Median;Main Story;49;6h 55m;4h 35m;Main + Extras;57;20h 06m;19h;Completionists;48;48h 07m;45h 42m;All PlayStyles;154;24h 38m;19h 06m
