Final Fantasy Crystal Chronicles: My Life as a King;Single-Player;Polled;Average;Median;Main Story;9;18h 52m;18h 40m;Main + Extras;7;38h 48m;40h 58m;All PlayStyles;16;27h 35m;20h
NBA Jam (2010);Single-Player;Polled;Average;Median;Main Story;4;8h 03m;7h 30m;All PlayStyles;4;8h 03m;7h 30m
Metroid: Other M;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Strong Bad's Cool Game for Attractive People Episode 3: Baddest of the Bands;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Rubik's Puzzle Galaxy: RUSH;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
NHL 2K10;Platform;Polled;Main;Main +;100%;Not enough data.;;;;
You, Me, and the Cubes;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
EA Sports Active 2;Single-Player;Polled;Average;Median;Main Story;1;12h;12h;All PlayStyles;1;12h;12h
Pro Evolution Soccer 2012;Single-Player;Polled;Average;Median;Main Story;1;42h;42h;Main + Extras;2;56h 30m;56h 30m;Completionists;2;117h 28m;117h 28m;All PlayStyles;5;77h 59m;60h
Bit.Trip Void;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Toki Tori (2001);Single-Player;Polled;Average;Median;Main Story;1;3h;3h;All PlayStyles;1;3h;3h
Tales of Monkey Island Chapter 1: Launch of the Screaming Narwhal;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
WWE SmackDown vs. Raw 2009;Single-Player;Polled;Average;Median;Main Story;12;7h 12m;5h 57m;Main + Extras;4;15h 48m;15h;Completionists;2;36h 57m;36h 57m;All PlayStyles;18;12h 25m;7h
LEGO Harry Potter: Years 1-4;Single-Player;Polled;Average;Median;Main Story;117;12h 22m;13h;Main + Extras;94;17h 55m;17h;Completionists;186;28h 09m;26h 37m;All PlayStyles;397;21h 05m;19h
Mini Ninjas;Single-Player;Polled;Average;Median;Main Story;65;8h 03m;8h;Main + Extras;38;11h 19m;10h 50m;Completionists;18;15h 10m;15h 24m;All PlayStyles;121;10h 08m;9h
Tales of Monkey Island Chapter 2: The Siege of Spinner Cay;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
de Blob 2;Single-Player;Polled;Average;Median;Main Story;13;10h 08m;11h;Main + Extras;15;18h 11m;20h;Completionists;7;22h 20m;24h 26m;All PlayStyles;35;16h 01m;15h
Band Hero;Single-Player;Polled;Average;Median;Main Story;14;5h 46m;5h 33m;Main + Extras;5;8h 28m;8h;Completionists;5;20h 36m;20h;All PlayStyles;24;9h 25m;6h
MLB Power Pros 2008;Single-Player;Polled;Average;Median;Main Story;2;4h 27m;4h 27m;Main + Extras;1;200h;200h;All PlayStyles;3;69h 38m;5h 34m
Silent Hill: Shattered Memories;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
