The Legend of Zelda: Breath of the Wild;Single-Player;Polled;Average;Median;Main Story;1.6K;50h 19m;50h;Main + Extras;3.7K;99h 29m;93h 15m;Completionists;755;191h;185h;All PlayStyles;6.1K;97h 46m;83h
Super Mario 3D World;Single-Player;Polled;Average;Median;Main Story;346;10h 50m;10h 07m;Main + Extras;316;19h 09m;18h 26m;Completionists;151;39h 03m;37h 15m;All PlayStyles;813;19h 19m;15h
Super Smash Bros. for Wii U;Single-Player;Polled;Average;Median;Main Story;67;5h 20m;4h;Main + Extras;93;61h 25m;45h;Completionists;26;149h 56m;140h;All PlayStyles;186;53h 35m;30h
Rayman Legends;Single-Player;Polled;Average;Median;Main Story;336;9h 52m;9h 54m;Main + Extras;300;16h 44m;15h;Completionists;186;31h 07m;27h 32m;All PlayStyles;822;17h 11m;13h 44m
Bayonetta 2;Single-Player;Polled;Average;Median;Main Story;593;9h 18m;9h;Main + Extras;265;13h 39m;11h 54m;Completionists;20;54h 18m;50h 25m;All PlayStyles;878;11h 38m;9h 56m
The Legend of Zelda: The Wind Waker HD;Single-Player;Polled;Average;Median;Main Story;257;25h 54m;25h 29m;Main + Extras;364;34h 46m;33h 06m;Completionists;120;42h 49m;40h;All PlayStyles;741;33h;30h 27m
Mario Kart 8 - Animal Crossing DLC;Single-Player;Polled;Average;Median;Main Story;13;44m;30m;Main + Extras;5;5h 04m;3h;Completionists;3;7h 05m;5h;All PlayStyles;21;2h 41m;1h
Guacamelee! Super Turbo Championship Edition;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Skylanders: Swap Force;Single-Player;Polled;Average;Median;Main Story;17;8h 51m;9h;Main + Extras;13;20h 17m;13h 30m;Completionists;2;25h;25h;All PlayStyles;32;14h 30m;10h 45m
Axiom Verge;Single-Player;Polled;Average;Median;Main Story;273;10h 54m;10h 30m;Main + Extras;314;13h 52m;13h;Completionists;69;17h 06m;16h 46m;All PlayStyles;656;12h 58m;12h 10m
Deus Ex: Human Revolution - Director's Cut;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
