Swords & Soldiers II;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Paper Monsters Recut;Single-Player;Polled;Average;Median;Main Story;1;3h 41m;3h 41m;Main + Extras;1;2h 30m;2h 30m;All PlayStyles;2;3h 05m;3h 05m
Star Fox Guard;Single-Player;Polled;Average;Median;Main Story;20;5h 54m;5h 06m;Main + Extras;11;10h 56m;8h 15m;All PlayStyles;31;7h 41m;6h 20m
Ultratron;Single-Player;Polled;Average;Median;Main Story;12;2h 32m;2h 27m;Main + Extras;7;5h 22m;3h 46m;Completionists;10;5h 07m;4h;All PlayStyles;29;4h 07m;3h 33m
Another World: 20th Anniversary Edition;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
NES Remix 2;Single-Player;Polled;Average;Median;Main Story;9;6h 09m;5h 18m;Main + Extras;19;9h 26m;8h 45m;Completionists;3;15h 26m;14h 14m;All PlayStyles;31;9h 03m;8h 13m
Kirby and the Rainbow Curse;Single-Player;Polled;Average;Median;Main Story;68;5h 39m;5h 30m;Main + Extras;36;8h 24m;7h 04m;Completionists;15;17h 21m;16h;All PlayStyles;119;7h 57m;6h 10m
Cosmophony;Single-Player;Polled;Average;Median;Completionists;1;2h 06m;2h 06m;All PlayStyles;1;2h 06m;2h 06m
Scribblenauts Unlimited;Single-Player;Polled;Average;Median;Main Story;170;7h 23m;7h;Main + Extras;129;10h 28m;10h;Completionists;250;13h 07m;12h;All PlayStyles;549;10h 43m;10h
Just Dance 2016;Single-Player;Polled;Average;Median;Main Story;2;3h;3h;Main + Extras;3;24h 09m;30h 21m;All PlayStyles;5;15h 41m;10h
Armillo;Single-Player;Polled;Average;Median;Main Story;4;5h 08m;5h 18m;Main + Extras;2;9h 30m;9h 30m;Completionists;3;17h 36m;19h 46m;All PlayStyles;9;10h 15m;9h
Wii Fit U;Single-Player;Polled;Average;Median;Main Story;2;2h;2h;Main + Extras;1;36h;36h;Completionists;1;120h;120h;All PlayStyles;4;40h;19h
Just Dance 2014;Single-Player;Polled;Average;Median;Main Story;7;5h 28m;6h;Main + Extras;2;11h 01m;11h 01m;Completionists;1;11h;11h;All PlayStyles;10;7h 08m;6h
The Fall;Single-Player;Polled;Average;Median;Main Story;192;3h 25m;3h 20m;Main + Extras;61;4h 21m;4h;Completionists;41;4h 58m;4h 30m;All PlayStyles;294;3h 49m;3h 37m
Unepic;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Human Resource Machine;Single-Player;Polled;Average;Median;Main Story;41;4h 01m;4h;Main + Extras;73;7h 47m;7h;Completionists;57;9h 07m;7h;All PlayStyles;171;7h 19m;5h 45m
Resident Evil Village;Single-Player;Polled;Average;Median;Main Story;422;9h 14m;9h 21m;Main + Extras;511;11h 24m;10h 48m;Completionists;30;37h 14m;35h;All PlayStyles;963;11h 15m;10h
NES Remix;Single-Player;Polled;Average;Median;Main Story;13;8h 06m;8h 30m;Main + Extras;21;11h 13m;10h 40m;Completionists;13;22h 12m;22h 54m;All PlayStyles;47;13h 23m;10h 57m
Disney Infinity;Single-Player;Polled;Average;Median;Main Story;7;15h 05m;14h;Main + Extras;5;22h 14m;17h 23m;Completionists;2;26h 19m;26h 19m;All PlayStyles;14;19h 15m;17h 08m
Scribblenauts Unmasked: A DC Comics Adventure;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Nano Assault Neo;Single-Player;Polled;Average;Median;Main Story;8;3h 39m;3h 24m;Main + Extras;2;3h 29m;3h 29m;All PlayStyles;10;3h 37m;3h 29m
Mario vs. Donkey Kong: Tipping Stars;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Tengami;Single-Player;Polled;Average;Median;Main Story;74;1h 30m;1h 28m;Main + Extras;12;1h 40m;1h 30m;Completionists;87;1h 30m;1h 25m;All PlayStyles;173;1h 31m;1h 26m
Puddle;Single-Player;Polled;Average;Median;Main Story;17;5h 33m;5h 30m;Main + Extras;7;7h 26m;5h 14m;Completionists;4;10h 18m;10h 34m;All PlayStyles;28;6h 42m;5h 58m
Ninja Gaiden 3: Razor's Edge;Single-Player;Polled;Average;Median;Main Story;35;7h 11m;6h 58m;Main + Extras;11;12h 46m;10h 31m;Completionists;1;78h;78h;All PlayStyles;47;10h;7h 50m
Star Fox Zero;Single-Player;Polled;Average;Median;Main Story;111;5h 14m;5h;Main + Extras;25;8h 33m;7h 30m;Completionists;14;21h 52m;20h 36m;All PlayStyles;150;7h 21m;5h 22m
FIFA Soccer 13;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
