Fallout: New Vegas;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Pinball FX 2: Marvel Pinball - Vengeance and Virtue;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Saints Row: The Third;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Skate 2;Single-Player;Polled;Average;Median;Main Story;8;18h 22m;18h;Main + Extras;18;24h 18m;24h 04m;Completionists;2;124h 30m;124h 30m;All PlayStyles;28;29h 46m;22h
Borderlands;Single-Player;Polled;Average;Median;Main Story;594;23h 03m;22h;Main + Extras;922;36h 49m;33h;Completionists;207;65h 47m;60h;All PlayStyles;1.7K;35h 33m;30h
Madden NFL 11;Single-Player;Polled;Average;Median;Main Story;3;19h;26h;Completionists;1;20h;20h;All PlayStyles;4;19h 15m;23h
FIFA 14;Single-Player;Polled;Average;Median;Main Story;23;97h 06m;85h 12m;Main + Extras;13;92h 15m;100h;Completionists;15;190h 12m;200h;All PlayStyles;51;123h 15m;90h
Ultra Street Fighter IV;Single-Player;Polled;Average;Median;Main Story;50;3h 01m;2h 18m;Main + Extras;33;18h 14m;14h;Completionists;6;113h 45m;50h;All PlayStyles;89;16h 07m;4h
The Walking Dead: Season Two Episode 5 - No Going Back;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Might & Magic: Clash of Heroes;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Child of Eden;Single-Player;Polled;Average;Median;Main Story;25;3h 41m;4h;Main + Extras;5;7h 54m;7h;All PlayStyles;30;4h 23m;4h
Resident Evil Village;Single-Player;Polled;Average;Median;Main Story;422;9h 14m;9h 21m;Main + Extras;513;11h 24m;10h 47m;Completionists;30;37h 14m;35h;All PlayStyles;965;11h 15m;10h
Vanquish;Single-Player;Polled;Average;Median;Main Story;684;6h 06m;6h;Main + Extras;128;8h 10m;7h 35m;Completionists;19;17h 25m;16h 04m;All PlayStyles;831;6h 40m;6h
Tiger Woods PGA Tour 09;Single-Player;Polled;Average;Median;Main + Extras;1;40h;40h;Completionists;1;60h;60h;All PlayStyles;2;50h;50h
F1 2010;Single-Player;Polled;Average;Median;Main Story;8;47h;35h;Main + Extras;2;45h 06m;45h 06m;Completionists;2;100h 38m;100h 38m;All PlayStyles;12;55h 37m;42h 30m
Borderlands 2: Mr. Torgue's Campaign of Carnage;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Battlefield 1943;Single-Player;Polled;Average;Median;Main Story;4;7h 37m;7h 45m;Main + Extras;4;19h 33m;22h;Completionists;8;32h 53m;29h 18m;All PlayStyles;16;23h 14m;24h 30m
