GRAND THEFT AUTO: CHINATOWN WARS;93;8.3;DS;Rockstar Games;Rockstar Leeds;Mar 17, 2009;Grand Theft Auto: Chinatown Wars is an entirely original entry into the critically acclaimed Grand Theft Auto series, and brings a new level of interactivity to its sprawling open environments. With the use of the DS touch screen, players navigate their way through the streets as they… Expand;85 ;Action Adventure,Modern,Modern,Open-World
FLIPNOTE STUDIO;93;7.5;DS;Nintendo;Nintendo;Aug 12, 2009;[DSiWare] Let your inner artist loose with Flipnote Studio, an easy to use and surprisingly powerful animation application. Create Flipnotes by using the stylus to write letters and draw pictures, capture sounds using the microphone, and even insert photos captured with the Nintendo DSi… Expand;7 ;Miscellaneous,General,Application
CHRONO TRIGGER;92;9.1;DS;Square Enix;TOSE;Nov 25, 2008;[Metacritic's 2008 DS Game of the Year] When a newly developed teleportation device malfunctions at the Millennial Fair, young Crono must travel through time to rescue his unfortunate companion from an intricate web of past and present perils. The swashbuckling adventure that ensues soon… Expand;57 ;Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style
MARIO KART DS;91;8.7;DS;Nintendo;Nintendo;Nov 14, 2005;Race and battle with up to eight karts at once, regardless of whether or not everyone has a Game Card. The all–star cast includes Mario, Luigi, Peach, Yoshi, Donkey Kong, Wario, Bowser, and Toad. With courses drawn from every Mario Kart game - Super Mario Kart, Mario Kart 64, Mario Kart:… Expand;64 ;Driving,Racing,Arcade,Kart,Kart,Automobile
MARIO & LUIGI: BOWSER'S INSIDE STORY;90;8.8;DS;Nintendo;Alphadream Corporation;Sep 14, 2009;In his evil plot to take over the Mushroom Kingdom, Fawful tricks Bowser into eating a magic mushroom. The mushroom causes Bowser to begin inhaling everything around him, including Mario, Luigi and Princess Peach! Do the Mario Bros. have the guts to rescue Peach and escape? Players are in… Expand;58 ;Role-Playing,Action RPG,Console-style RPG,Console-style RPG,Japanese-Style
THE LEGEND OF ZELDA: PHANTOM HOURGLASS;90;7.9;DS;Nintendo;Nintendo;Oct 1, 2007;[Metacritic's 2007 DS Game of the Year] Many months have passed since the events of The Legend of Zelda: The Wind Waker, and Link, Tetra and Tetra’s band of pirates have set sail in search of new lands. They come across a patch of ocean covered in a dense fog, in which they discover an… Expand;57 ;Action Adventure,Fantasy,Fantasy,Open-World
ADVANCE WARS: DUAL STRIKE;90;8.9;DS;Nintendo;Intelligent Systems;Aug 22, 2005;Players lead their new Commanding Officers to fend off the Black Hole Army’s latest invasion. With massive battles that sweep across both of the DS screens, Advance Wars: Dual Strike will change the face of war forever. Use the top screen for quick-reference battle intel, or take control in… Expand;49 ;Strategy,Turn-Based,Modern,Modern,Tactics
CASTLEVANIA: DAWN OF SORROW;89;8.5;DS;Konami;Konami;Oct 4, 2005;The year is 2036, one year after the events of "Castlevania: Aria of Sorrow." Soma Cruz finds himself at the center of a mysterious cult's plan to resurrect their evil lord and master Dracula. In order to save himself and protect the lives of those he loves, Soma must infiltrate the enemy's… Expand;52 ;Action,Role-Playing,Platformer,Platformer,Action RPG,2D,2D
NEW SUPER MARIO BROS.;89;8.5;DS;Nintendo;Nintendo;May 15, 2006;The first new 2D Mario platformer since Super Mario World has arrived. Boasting "incredible" 3D graphics to accompany classic 2D gameplay, this fast-paced adventure will have Mario fans cheering as they make their way over fields, under water, through castles and into the air. New and… Expand;65 ;Action,Platformer,Platformer,2D,2D
METEOS;88;7.4;DS;Nintendo;Q Entertainment;Jun 28, 2005;"Rez" creator Tetsuya Mizuguchi brings us Meteos - a curious blend of block-dropping puzzle action with other gameplay elements with the goal to launch all of one's blocks into orbit.;49 ;Miscellaneous,Puzzle,Puzzle,Puzzle,Matching,Matching
THE WORLD ENDS WITH YOU;88;8.7;DS;Square Enix;Jupiter Corporation;Apr 22, 2008;The story begins as our hero, Neku, wakes up amidst the hustle and bustle of Shibuya, Tokyo. Confused and disoriented, he receives a message on his phone warning him that he will cease to exist unless he completes a certain mission. With his life seemingly on the line, Neku plunges into the… Expand;59 ;Role-Playing,Action RPG,Action RPG
