POKEMON WHITE VERSION 2;80;7.9;DS;Nintendo;Game Freak;Oct 7, 2012;In the Pokemon White Version 2 game, players can explore new areas, discover gyms with new leaders and see how everything has changed in the last two years.;57 ;Role-Playing,Console-style RPG,Console-style RPG,Trainer
SHIN MEGAMI TENSEI: STRANGE JOURNEY;80;4.7;DS;Atlus;Atlus;Mar 23, 2010;When the black spot appeared in the Antarctic, mankind became nervous. when it began to spread, that anxiety turned to panic. The Joint Project, convened to discuss how to deal with the expanding anomaly, decided to send in four ships carrying humanity's finest soldiers and most cutting-edge… Expand;26 ;Role-Playing,First-Person,First-Person,Western-Style
NINJATOWN;80;8.4;DS;SouthPeak Games;Venan Entertainment;Oct 28, 2008;Sunny skies, lush forest and rolling hills combine to form the land known as Ninjatown where adorable and honorable Ninjas populate this vibrant yet peaceful place. However, after the mysterious eruption of a nearby volcano, Ninjatown is attacked by hordes of sinister enemies lead by Mr.… Expand;40 ;Strategy,Real-Time,General,General,Defense
LEGO ROCK BAND;80;7.9;DS;Warner Bros. Interactive Entertainment;Backbone Entertainment;Nov 3, 2009;The game, which allows families, tweens and teens to experience a wild journey to rock stardom where they can "Build a Band and Rock the Universe," combines the multiplayer music experience of Rock Band with the fun, customization and humor of the LEGO videogame franchise packed with… Expand;8 ;Action,Miscellaneous,Rhythm,Music,Music
POKEMON CONQUEST;80;8.3;DS;Nintendo;Koei;Jun 18, 2012;In Pokemon Conquest, players take on the role of a young Warlord who is linked with a Pokemon. Together, they must set out to recruit Warrior allies to strengthen their growing kingdom. Along their journey, players will encounter a variety of Pokemon, as well as Warriors and Warlords… Expand;40 ;Strategy,Turn-Based,Fantasy,Fantasy,Tactics
LUFIA: CURSE OF THE SINISTRALS;80;7.7;DS;Natsume;Neverland;Oct 12, 2010;The Sinistrals, the four legendary harbingers of doom, are out to resurrect the ultimate evil and bring the world to its knees. It's up to the fiery monster hunter Maxim and his eclectic band of adventurers to put a stop to them once and for all. Their adventures will take them across an… Expand;8 ;Role-Playing,Action RPG,Action RPG
LOCK'S QUEST;80;8.3;DS;THQ;5TH Cell;Sep 8, 2008;From the creators of Drawn to Life, a diabolical mechanical army devastates a kingdom as village after village fall under their wrath. A young, brave hero, Lock, is the kingdom's last hope to survive the oncoming invasion. As a newly trained Archineer, Lock must utilize his skills to build… Expand;32 ;Strategy,Real-Time,Historic,Historic,Defense
LEGO INDIANA JONES: THE ORIGINAL ADVENTURES;80;8.0;DS;LucasArts;TT Fusion;Jun 3, 2008;LEGO Indiana Jones: The Original Adventures takes the fun and creative construction of LEGO and combines it with the wits, daring and non-stop action from the original cinematic adventures that enthralled audiences everywhere (Indiana Jones and the Raiders of the Lost Ark, Indiana Jones and… Expand;15 ;Action Adventure,Adventure,Historic,General
LEGO STAR WARS: THE COMPLETE SAGA;80;6.3;DS;LucasArts;TT Fusion;Nov 6, 2007;From the Trade Federation's "negotiations" with Obi-Wan Kenobi and Qui-Gon Jinn in The Phantom Menace to the space battle above Endor in Return of the Jedi, The Complete Saga allows players to kick some brick through 36 Story Mode levels, including Episode II's newly added high-speed pursuit… Expand;9 ;Action,Miscellaneous,Action Adventure,Sci-Fi,General,Compilation
SHIN MEGAMI TENSEI: DEVIL SURVIVOR 2;79;3.6;DS;Atlus;Atlus;Feb 28, 2012;When a new website that shows the manner of people's deaths in advance makes the rounds amongst Japanese high schoolers, a trio of students is shocked to witness their own deaths in a terrible subway accident just minutes away. They narrowly escape the carnage, only to find themselves in a… Expand;21 ;Role-Playing,Strategy,Turn-Based,General,General,Tactics
SCRIBBLENAUTS;79;7.6;DS;Warner Bros. Interactive Entertainment;5TH Cell;Sep 15, 2009;The goal is simple - help our Maxwell reach the Starite by solving each challenge - but the mission before you can range from straightforward to downright tricky! To catch the Starite, write any object you can think of and watch as it comes to life. [Warner];72 ;Miscellaneous,Puzzle,Action,Puzzle,General,Puzzle,General
SONIC COLORS;79;7.9;DS;Sega;Dimps Corporation;Nov 16, 2010;An extraordinary amusement park has been seen orbiting around the home planet of Sonic the Hedgehog, and rumors are spreading that an alien race of Wisps, who have a unique colorful energy, are being held captive there by the evil Dr. Eggman. Soon after arriving at the amusement park, Sonic… Expand;26 ;Action,Platformer,Platformer,2D,2D,3D
TRAUMA CENTER: UNDER THE KNIFE 2;79;8.4;DS;Atlus;Vanguard;Jul 2, 2008;GUILT is no more. Dr. Derek Stiles and Nurse Angie Thompson faced humanity's greatest threat and triumphed. Now, in the aftermath, they find themselves in unknown territory, forced to deal with the disastrous consequences of the killer virus. Join them as they scramble to address questions… Expand;29 ;Action,Simulation,General,General,Virtual,Career
THE NEW YORK TIMES CROSSWORDS;79;6.7;DS;Majesco Games ;BudCat;May 29, 2007;Write in your own answers on the Touch Screen or use the Touch Screen keyboard to enteryour answers. Complete more than 1,000 puzzles across Puzzle Me Quick!, Puzzle Week, or Crosswords. Challenge mode which includes time and difficulty settings you can adjust to your liking. Compete… Expand;15 ;Miscellaneous,Puzzle,Puzzle,General,Logic,General
GRID;79;8.1;DS;Codemasters;Firebrand Games;Aug 5, 2008;(Also known as "Race Driver: GRID") GRID takes players to dramatic and beautifully realized race locations over three continents to compete in a variety of racing events. Packed with the most powerful race cars - new and classic, circuit and drift - players compete to conquer the most… Expand;19 ;Driving,Racing,Simulation,GT / Street,GT / Street,Automobile
MONSTER TALE;79;8.0;DS;Majesco Games ;DreamRift;Mar 16, 2011;Monster Tale mixes platform game play on the top screen with a deep pet-raising game on the Touch Screen to create a dynamic adventure.;15 ;Action,Platformer,Platformer,2D,2D
MARIO VS. DONKEY KONG: MINI-LAND MAYHEM;79;8.0;DS;Nintendo;Nintendo;Nov 14, 2010;&#65279.At the grand opening of Mario's third theme park, the first 100 guests receive a new Mini Pauline toy. Donkey Kong arrives as the 101st guest and finds himself out of luck. He grabs Pauline and heads into the park with Mario and his Mini Marios in hot pursuit. The fourth game in… Expand;51 ;Action,Platformer,Platformer,2D,2D
METROID PRIME PINBALL;79;7.9;DS;Nintendo;Fuse Games Limited;Oct 24, 2005;Samus Aran's entry into the bumper-and-flipper world is a sleek, sci-fi classic gaming adventure that has her careening into gigantic boss monsters and bouncing through a variety of exciting pinball tables. Play tables across two screens at the same time using the touch screen to nudge the… Expand;51 ;Action,Miscellaneous,Parlor,Pinball,Pinball
