THE LEGEND OF ZELDA: OCARINA OF TIME 3D;94;9.0;3DS;Nintendo;GREZZO;Jun 19, 2011;The Legend of Zelda: Ocarina of Time 3D takes the best-reviewed game of all time for a brand-new experience. Now in 3D all of the graphic textures and colors have been vastly improved, taking advantage of the considerable graphic power of the Nintendo 3DS system. This game tells the epic… Expand;85 ;Miscellaneous,Action Adventure,Fantasy,Fantasy,Compilation,Open-World
FIRE EMBLEM: AWAKENING;92;9.0;3DS;Nintendo;Intelligent Systems;Feb 4, 2013;Lead an army of soldiers in a series of scaled turn-based strategy battles. In the process, develop relationships with your team, utilizing their special abilities on the battlefield to gain victory and advance the story, which features a wide array of characters from a variety of nations… Expand;72 ;Strategy,Turn-Based,Fantasy,Fantasy,Tactics
THE LEGEND OF ZELDA: A LINK BETWEEN WORLDS;91;9.0;3DS;Nintendo;Nintendo;Nov 22, 2013;The Legend of Zelda: A Link Between Worlds is a new game with a new storyline set in world of the Super NES classic The Legend of Zelda: A Link to the Past.;81 ;Action RPG,Role-Playing,Action Adventure,General,Action RPG,Open-World
SHOVEL KNIGHT;90;8.3;3DS;Yacht Club Games;Yacht Club Games;Jun 26, 2014;Shovel Knight is a sweeping classic action adventure game with memorable characters and an 8-bit retro aesthetic created by Yacht Club Games. You play as the eponymous Shovel Knight, a small knight with a huge quest. Shovel Knight has come to this valley with two goals: to defeat the evil… Expand;9 ;Platformer,2D,Action,Platformer,2D
SUPER MARIO 3D LAND;90;8.4;3DS;Nintendo;Nintendo;Nov 13, 2011;Get Ready for a New Spin on a Familiar Tail. Super Mario 3D Land reinvents everything fans love about Mario gaming with the first platforming environment in true 3D, without the need for special glasses. Players will experience a new sense of depth, distance and speed while running, jumping… Expand;82 ;Action,Platformer,Platformer,3D,3D
PUSHMO;90;8.3;3DS;Nintendo;Intelligent Systems;Dec 8, 2011;(Also known at "Pullblox" in the UK/EU) Pushmo is a puzzle-action game in which you pull and push blocks to create a place to stand so you can jump up and down on your way to a goal. At first glance, some places may look out of reach, but if you use your head, you just may see a way to the goal...;31 ;Miscellaneous,Puzzle,Action,Puzzle,Action
THE LEGEND OF ZELDA: MAJORA'S MASK 3D;89;8.9;3DS;Nintendo;GREZZO;Feb 13, 2015;The Skull Kid personifies the mischief and mystery of the Lost Woods, but a cursed mask has now morphed him into something exceedingly more terrifying. When he dupes Link into entering a land called Termina, the Hero of Time faces a pressing challenge in a strange, new land: stop the moon… Expand;82 ;Fantasy,Action Adventure,Open-World
3D GUNSTAR HEROES;89;7.9;3DS;Sega;M2;Aug 20, 2015;The Gunstar 9 planet was peaceful for many years until the vicious dictator Colonel Red kidnapped the Gunstar twins' older brother and used mind control to make him his slave. Now, face many different enemies and bosses in Gunstar Heroes, as you battle to stop the dictator from unleashing… Expand;13 ;Action,Shooter,Shoot-'Em-Up,Horizontal
3D STREETS OF RAGE II;89;7.6;3DS;Sega;M2;Jul 23, 2015;Original rumblers Axel and Blaze slam the asphalt with bigger, better, totally devastating attacks! Skull-crushing ex-wrestler Max Thunder joins up with earth-shattering body slams and spinning fist attacks. New thrasher Skate slices punks with high speed in-line skate attacks and spinning… Expand;15 ;Action,Beat-'Em-Up,2D
COLORS! 3D;89;7.5;3DS;Collecting Smiles;Collecting Smiles;Apr 5, 2012;Colors! 3D is a simple yet robust painting application that combines ease of use and powerful painting tools.;15 ;Miscellaneous,General,General,Application
ZERO ESCAPE: VIRTUE'S LAST REWARD;88;8.6;3DS;Aksys Games;ChunSoft;Oct 23, 2012;Zero Escape: Virtue's Last Reward has players taking on the Nonary Game again, as it's back and more deadly than ever.;15 ;Adventure,General,General,Visual Novel
FIRE EMBLEM FATES: SPECIAL EDITION;88;8.0;3DS;Nintendo;Intelligent Systems;Feb 19, 2016;Fire Emblem Fates Special Edition Includes: All 3 Versions of Fire Emblem: Fates (Birthright, Conquest, Revelation*) on a Single Cartrige. *Allows purchasers to play Revelations three weeks prior to launch on eshop. It's the only way to get all Three Versions on a Single Cartridge. Also… Expand;36 ;Strategy,Turn-Based,Tactics
POKEMON Y;88;7.5;3DS;Nintendo;Game Freak;Oct 12, 2013;Pokemon X and Y are the first mainline Pokemon games made for the 3DS and feature a mix of Pokemon old and new as well as a trio of new starting Pokemon - a watery toad Froakie, a fiery deer Fennekin, and a grass monster Chespin.;69 ;Role-Playing,Console-style RPG,Console-style RPG,Trainer
FIRE EMBLEM FATES: REVELATION;88;7.4;3DS;Nintendo;Intelligent Systems;Mar 10, 2016;Requires full version of Fire Emblem Fates: Conquest or Fire Emblem Fates: Birthright.;21 ;Strategy,Turn-Based,Tactics
ANIMAL CROSSING: NEW LEAF;88;8.7;3DS;Nintendo;Nintendo;Jun 9, 2013;There are no points or levels, just a myriad of sights and sounds, places and activities...all ready to explore. Spend your time passing new ordinances—or going fishing. Hang out at a coffee shop or visit a tropical island. It's up to you. Your game is what you make of it—and personalizing… Expand;70 ;Simulation,Miscellaneous,Virtual Life,Virtual,Virtual Life
POKEMON X;87;7.5;3DS;Nintendo;Game Freak;Oct 12, 2013;Pokemon X and Y are the first mainline Pokemon games made for the 3DS and feature a mix of Pokemon old and new as well as a trio of new starting Pokemon - a watery toad Froakie, a fiery deer Fennekin, and a grass monster Chespin.;71 ;Role-Playing,Console-style RPG,Console-style RPG,Trainer
POKEMON SUN;87;7.6;3DS;Nintendo;Game Freak;Nov 18, 2016;Using Pokemon Bank, you'll be able to transfer Pokemon you've caught in the Nintendo 3DS Virtual Console versions of Pokemon Red, Pokemon Blue, and Pokemon Yellow into your copy of Pokemon Sun or Pokemon Moon. Pokemon from Pokemon Omega Ruby, Pokemon Alpha Sapphire, Pokemon X, and Pokemon Y… Expand;87 ;Role-Playing,Trainer
POKEMON MOON;87;7.6;3DS;Nintendo;Game Freak;Nov 18, 2016;Using Pokemon Bank, you'll be able to transfer Pokemon you've caught in the Nintendo 3DS Virtual Console versions of Pokemon Red, Pokemon Blue, and Pokemon Yellow into your copy of Pokemon Sun or Pokemon Moon. Pokemon from Pokemon Omega Ruby, Pokemon Alpha Sapphire, Pokemon X, and Pokemon Y… Expand;84 ;Role-Playing,Trainer
FIRE EMBLEM FATES: CONQUEST;87;8.1;3DS;Nintendo;Intelligent Systems;Feb 19, 2016;Two kingdoms at war – the peace-loving Hoshido and the glory-seeking Nohr. It is up to the player to decide which side to fight for. As the prince/princess of Hoshido, who was raised by Nohr royal family, you will be torn between two families you love. Whichever path you take, you will face… Expand;40 ;Fantasy,Strategy,Turn-Based,Tactics
3D SONIC THE HEDGEHOG 2;87;8.4;3DS;Sega;M2;Oct 8, 2015;Super Speed! Sonic's back and better than ever. He's a blur in blue! A blaze of action! With his new Super Spin Dash. And a new, fabulous friend, "Tails" the Fox. You won't believe it 'til you see it. And when you play, you won't stop. Super Play! Defy gravity in hair-raising… Expand;10 ;Action,Platformer,2D
3D OUT RUN;87;8.1;3DS;Sega;M2;Mar 12, 2015;The re-mastered version includes all of Out Run’s original content alongside two new songs, and runs at 60 frames per second which is twice the speed of the original game. 3D Out Run also features a built in Stage Select option that allows players to save and resume progress mid-game, has… Expand;14 ;Driving,Racing,Arcade,Automobile
MONSTER HUNTER 4 ULTIMATE;86;8.6;3DS;Capcom;Capcom;Feb 13, 2015;Take off on an epic journey, traversing a vast world hunting larger than life beasts as you look for the source of a mysterious virus. Travel with a caravan of fellow hunters and merchants as you make your way across multiple locations, each with its own unique look and feel.;80 ;Role-Playing,Action RPG
PICROSS 3D: ROUND 2;86;7.5;3DS;Nintendo;HAL Labs;Sep 1, 2016;A fresh new layer of paintand strategy!Chip away at a three-dimensional block puzzle to reveal the object hidden within. Only this time, blocks can be painted with two colors of paint to mold detailed shapes. Enjoy more than 300 puzzles at the Cafe or even tap compatible amiibo figures… Expand;17 ;Puzzle,Logic
