DEMON'S SOULS;92;7.9;PlayStation 5;PlayStation Studios;JapanStudio;Nov 12, 2020;From PlayStation Studios and Bluepoint Games comes a remake of the PlayStation classic, Demon’s Souls. Entirely rebuilt from the ground up and masterfully enhanced, this remake introduces the horrors of a fog-laden, dark fantasy land to a whole new generation of gamers. Those who’ve faced… Expand;99 ;Role-Playing,Action RPG
TONY HAWK'S PRO SKATER 1 + 2;90;7.4;PlayStation 5;Activision;Vicarious Visions;Mar 26, 2021;Drop back in with the most iconic skateboarding games ever made. Play Tony Hawk's Pro Skater & Tony Hawk's Pro Skater 2 in one epic collection, rebuilt from the ground up in incredible HD. All the pro skaters, levels and tricks are back and fully-remastered, plus more.Skate in super crisp… Expand;18 ;Sports,Individual,Skate / Skateboard
DISCO ELYSIUM: THE FINAL CUT;89;7.4;PlayStation 5;ZA/UM;ZA/UM;Mar 30, 2021;Disco Elysium is about a detective who wakes up in a rundown coastal district with a banging headache and only a few dregs of memory left. You set out to discover what happened to him inside the unique world we have created. We’ve thrown together disco music, early motor carriages, and… Expand;29 ;Role-Playing,General
DEVIL MAY CRY 5: SPECIAL EDITION;88;8.2;PlayStation 5;Capcom;Capcom;Nov 12, 2020;Devil May Cry is back. The legendary stylish action game is better than ever in the ultimate version of this multi-award winning hit.New features: - New playable character - Dante's brother and arch-rival, Vergil - Legendary Dark Knight mode - an extremely challenging horde mode… Expand;33 ;Action Adventure,General
IT TAKES TWO;88;9.2;PlayStation 5;Electronic Arts;Hazelight;Mar 26, 2021;From Hazelight comes It Takes Two an innovative co-op adventure where uniquely varied gameplay and emotional storytelling intertwine in a fantastical journey. Founded to push the creative boundaries of what's possible in games, Hazelight is the award-winning studio behind the critically… Expand;48 ;Action Adventure,Linear
MORTAL KOMBAT 11 ULTIMATE;88;8.0;PlayStation 5;Warner Bros. Interactive Entertainment ;NetherRealm Studios;Nov 17, 2020;Experience 2 robust and critically acclaimed story campaigns from Mk11 & Mk11: aftermath. Play as the complete 37-character roster including newly added fighters mileena, RaiN & rambo. Thousands of Skins & weapons & Gear for an unprecedented level of Fighter customization. Includes all… Expand;16 ;Action,Fighting,2D
THE NIOH COLLECTION;88;7.6;PlayStation 5;SCEE ;Team Ninja;Feb 5, 2021;Celebrate the franchise's 4-year anniversary with remastered editions of both games featuring 4K and up to 120FPS support.For everyone that recently purchased the PlayStation 5 console, you will be able to experience the complete Nioh 2 adventure in Nioh 2 Remastered The Complete… Expand;35 ;Miscellaneous,Compilation
CRASH BANDICOOT 4: IT'S ABOUT TIME;86;8.1;PlayStation 5;Activision;Toys for Bob;Mar 12, 2021;It's About Time - for a brand-wumping new Crash Bandicoot game! Crash fourward into a time shattered adventure with your favorite marsupials. Neo Cortex and N. Tropy are back at it again and launching an all-out assault on not just this universe, but the entire multiverse! Crash and Coco are… Expand;21 ;Action,Platformer,3D
RETURNAL;86;7.3;PlayStation 5;PlayStation Studios;Housemarque;Apr 30, 2021;Returnal transforms roguelike gameplay into a third-person shooter where players fight to survive a hostile planet that changes with every death. Players can switch instinctively between firing modes by using a single adaptive trigger and can get right back into the action after dying. PS5’s… Expand;111 ;Action,Shooter,Third-Person,Arcade
YAKUZA: LIKE A DRAGON;86;8.4;PlayStation 5;Sega;Ryu ga Gotoku Studios;Mar 2, 2021;RISE FROM ROCK BOTTOM - Ichiban Kasuga, a low-ranking grunt of a low-ranking yakuza family in Tokyo, faces an 18-year prison sentence after taking the fall for a crime he didn't commit. Never losing faith, he loyally serves his time and returns to society to discover that no one was waiting… Expand;9 ;Role-Playing,Japanese-Style
CONTROL: ULTIMATE EDITION;85;7.4;PlayStation 5;505 Games;Remedy Entertainment;Feb 2, 2021;After a secretive agency in New York is invaded by an otherworldly threat, you become the new Director struggling to regain Control. This supernatural third-person action-adventure game will challenge you to master a combination of supernatural abilities, modifiable loadouts and reactive… Expand;24 ;Action Adventure,General
MARVEL'S SPIDER-MAN: MILES MORALES;85;7.5;PlayStation 5;PlayStation Studios;Insomniac Games;Nov 12, 2020;The latest adventure in the Spider-Man universe builds on and expand Marvel’s Spider-Man through an all-new story. Players experience the rise of Miles Morales as he masters new powers to become his own Spider-Man. With PS5’s SSD, players can near-instantaneously fast-travel across Marvel’s… Expand;89 ;Action Adventure,Open-World
WARFRAME;85;7.7;PlayStation 5;Digital Extremes;Digital Extremes;Nov 26, 2020;Set in the far reaches of outer space during a new Dark Age, WARFRAME introduces the Tenno, a race on the brink of extinction after being enslaved by the Grineer for centuries. Players enter WARFRAME on the cusp of the Grineer's victory over the Tenno until they begin to arm themselves with… Expand;7 ;Action,Shooter,Third-Person,Arcade
ASSASSIN'S CREED VALHALLA;84;7.9;PlayStation 5;Ubisoft;Ubisoft Montreal;Nov 12, 2020;Build your own Viking Legend. Become Eivor, a Viking raider raised to be a fearless warrior, and lead your clan from icy desolation in Norway to a new home amid the lush farmlands of ninth-century England. Find your settlement and conquer this hostile land by any means to earn a place in… Expand;8 ;Action Adventure,Open-World
HITMAN 3;84;7.9;PlayStation 5;Io Interactive;Io Interactive;Jan 20, 2021;Death AwaitsHITMAN 3 is the dramatic conclusion to the World of Assassination trilogy and takes players around the world on a globetrotting adventure to sprawling sandbox locations. Agent 47 returns as a ruthless professional for the most important contracts of his entire career.… Expand;35 ;Action Adventure,General
OVERCOOKED! ALL YOU CAN EAT;84;6.7;PlayStation 5;Team17;Ghost Town Games Ltd.;Nov 12, 2020;Overcooked! All You Can Eat sees Overcooked! and Overcooked! 2 blended together with all additional content and remastered up to 4K in a delicious definitive edition. Making use of the power of the PS5, Overcooked! AYCE offers stunning 4K visuals, cross-platform multiplayer, and rapid… Expand;13 ;Miscellaneous,Compilation
