THE LEGEND OF ZELDA: BREATH OF THE WILD;97;8.7;Switch;Nintendo;Nintendo;Mar 3, 2017;Forget everything you know about The Legend of Zelda games. Step into a world of discovery, exploration and adventure in The Legend of Zelda: Breath of the Wild, a boundary-breaking new game in the acclaimed series. Travel across fields, through forests and to mountain peaks as you discover… Expand;109 ;Action Adventure,Open-World
SUPER MARIO ODYSSEY;97;8.9;Switch;Nintendo;Nintendo;Oct 27, 2017;New Evolution of Mario Sandbox-Style Gameplay. Mario embarks on a new journey through unknown worlds, running and jumping through huge 3D worlds in the first sandbox-style Mario game since Super Mario 64 and Super Mario Sunshine. Set sail between expansive worlds aboard an airship, and… Expand;113 ;Action,Platformer,3D
DIVINITY: ORIGINAL SIN II - DEFINITIVE EDITION;93;8.5;Switch;Larian Studios Games;Larian Studios Games;Sep 4, 2019;Set a thousand years after the first game, Divinity: Original Sin II presents a darker, more grounded narrative and expands on the tactical combat system of its award-winning predecessor. In Divinity: Original Sin, you were on a quest for the forbidden Source magic. Now, you yourself are a… Expand;17 ;Role-Playing,Western-Style
HADES;93;9.0;Switch;Supergiant Games;Supergiant Games;Sep 17, 2020;Defy the god of the dead as you hack and slash out of the Underworld in this rogue-like dungeon crawler from the creators of Bastion, Transistor, and Pyre. Hades is a god-like rogue-like dungeon crawler that combines the best aspects of Supergiant's critically acclaimed titles, including the… Expand;48 ;Action Adventure,General,Linear
ORI AND THE WILL OF THE WISPS;93;8.7;Switch;Microsoft Game Studios;Moon Studios;Sep 17, 2020;From the creators of Ori and the Blind Forest comes the highly-anticipated sequel, Ori and the Will of the Wisps. Embark on an all-new adventure in a vast and exotic world where you’ll encounter towering enemies and challenging puzzles on your quest to discover Ori’s true destiny. Immerse… Expand;24 ;Action,Platformer,2D
UNDERTALE;93;8.1;Switch;tobyfox ;tobyfox;Sep 18, 2018;Welcome to UNDERTALE. In this RPG, you control a human who falls underground into the world of monsters. Now you must find your way out... or stay trapped forever.((Healthy Dog's Warning: Game contains imagery that may be harmful to players with photosensitive epilepsy or similar… Expand;8 ;Role-Playing,Japanese-Style
SUPER SMASH BROS. ULTIMATE;93;8.6;Switch;Nintendo;Nintendo;Dec 7, 2018;Inklings from the Splatoon series, as well as returning Smash characters like Mario and Link will be making appearances in this classic Nintendo franchise's Switch debut. Faster combat, new items, new attacks, new defensive options, and more will keep the battle raging whether you’re at home… Expand;99 ;Action,Fighting,2D
CELESTE;92;8.6;Switch;Matt Makes Games Inc.;Matt Makes Games Inc.;Jan 25, 2018;Help Madeline survive her journey to the top of Celeste Mountain in this super-tight, hand-crafted platformer from the creators of TowerFall.;36 ;Action,Platformer,2D
BAYONETTA 2;92;8.5;Switch;Nintendo;Nintendo;Feb 16, 2018;In this climatic sequel to the critically acclaimed Bayonetta action game, players will be on the edge of their seats from start to finish. Brimming with epic, gorgeous cut scenes and battles that are more exhilarating than ever, this game never lets up on the action. Fight on top of a jet… Expand;31 ;Action Adventure,Linear
MARIO KART 8 DELUXE;92;8.6;Switch;Nintendo;Nintendo;Apr 28, 2017;Race and battle your friends in the definitive version of Mario Kart 8. Hit the road with the definitive version of Mario Kart 8 and play anytime, anywhere! Race your friends or battle them in a revised battle mode on new and returning battle courses. Play locally in up to 4-player… Expand;95 ;Other,Racing,Arcade,Automobile
