SUPER MARIO GALAXY;97;9.1;Nintendo;Nintendo;Nov 12, 2007;[Metacritic's 2007 Wii Game of the Year] The ultimate Nintendo hero is taking the ultimate step ... out into space. Join Mario as he ushers in a new era of video games, defying gravity across all the planets in the galaxy. When some creature escapes into space with Princess Peach, Mario… Expand;73 ;Action,Platformer,Platformer,3D,3D
SUPER MARIO GALAXY 2;97;9.1;Nintendo;Nintendo EAD Tokyo;May 23, 2010;Super Mario Galaxy 2, the sequel to the galaxy-hopping original game, includes the gravity-defying, physics-based exploration from the first game, but is loaded with entirely new galaxies and features to challenge players. On some stages, Mario can pair up with his dinosaur buddy Yoshi and… Expand;87 ;Action,Platformer,Platformer,3D,3D
THE LEGEND OF ZELDA: TWILIGHT PRINCESS;95;8.9;Nintendo;Nintendo;Nov 19, 2006;When an evil darkness enshrouds the land of Hyrule, a young farm boy named Link must awaken the hero - and the animal - within. When Link travels to the Twilight Realm, he transforms into a wolf and must scour the land with the help of a mysterious girl named Midna. Using the power and… Expand;73 ;Action Adventure,Fantasy,General,Fantasy,Open-World
WORLD OF GOO;94;8.7;2D Boy;2D Boy;Oct 13, 2008;[WiiWare] World of Goo is a physics based puzzle / construction game. The millions of Goo Balls that live in the beautiful World of Goo don't know that they are in a game, or that they are extremely delicious. [2D Boy];21 ;Miscellaneous,Puzzle,Action,Puzzle,General,Puzzle,General
SUPER SMASH BROS. BRAWL;93;8.8;Nintendo;Game Arts;Mar 9, 2008;[Metacritic's 2008 Wii Game of the Year] Super Smash Bros. Brawl is the next installment in the Smash Bros. series for the company's Wii console. Among the new characters playable in the game are Meta Knight, the sword-wielding nemesis of Kirby; Pit, the angelic archer from Kid Icarus; Zero… Expand;81 ;Action,Fighting,Fighting,3D,2D,3D
THE LEGEND OF ZELDA: SKYWARD SWORD;93;8.1;Nintendo;Nintendo;Nov 20, 2011;A Link to the Future - The Legend of Zelda: Skyward Sword shakes up the tried-and-true adventure game formula and marks a turning point for the franchise. The introduction of full motion controls enabled by Wii MotionPlus technology synchronizes player movements with Link's actions while… Expand;81 ;Action Adventure,Fantasy,General,Fantasy,Open-World
ROCK BAND 2;92;7.2;MTV Games;Harmonix Music Systems;Dec 18, 2008;Rock Band 2 builds upon its foundation as the first music game to introduce co-operative band gameplay, multiple instruments, a robust online multiplayer experience, an unrivaled offering of downloadable content and raises the bar by delivering an entirely new level of depth, connectivity,… Expand;10 ;Action,Miscellaneous,Rhythm,Music,Music
XENOBLADE CHRONICLES;92;9.1;Nintendo;Monolith Soft;Apr 6, 2012;Xenoblade Chronicles throws you into a universe bursting with imagination. Take hold of an ancient sword that offers glimpses of the future, customise your characters extensively and discover a world where your relationships with others matter.;59 ;Role-Playing,Action RPG,Console-style RPG,Action RPG
RAYMAN ORIGINS;92;8.6;Ubisoft;UBlart Montpellier;Nov 15, 2011;Rayman's new adventure is a two-dimensional cooperative platformer with a colorful, whimsical art style.;13 ;Action,Action Adventure,Platformer,Fantasy,Platformer,2D,2D
ROCK BAND 3;91;6.9;MTV Games;Backbone Entertainment;Oct 26, 2010;Rock Band returns with the third iteration of the popular music game featuring new songs and instruments.;10 ;Action,Miscellaneous,Rhythm,Music,Music
METROID PRIME TRILOGY;91;9.0;Nintendo;Retro Studios;Aug 24, 2009;Metroid Prime 3: Corruption set a new standard for first-person motion controls in video games. Now it’s bringing those controls to the rest of the celebrated series, allowing players to experience the entire Metroid Prime story arc with the precision of the Wii Remote. Metroid Prime… Expand;48 ;Action,Miscellaneous,Shooter,Compilation,Compilation,First-Person,Sci-Fi
RESIDENT EVIL 4: WII EDITION;91;8.9;Capcom;Capcom;Jun 19, 2007;Resident Evil 4 comes to the Wii with added Wii Remote and Nunchuck support, allowing players to immerse themselves in the game as never before. With RE4 Wii Edition, Capcom is offering new and more immersive sense of control to players, while keeping all of the game's incredible game… Expand;49 ;Action Adventure,Horror,Horror,Survival
OKAMI;90;8.8;Capcom;Ready at Dawn;Apr 15, 2008;Okami tells the story of a mythical sun god who sets out to restore a dismal world, decimating the forces of evil who stand in the way by commanding the elements and mythical abilities the deity possesses. Mixing Japanese folklore and a stunning traditional Japanese art style, players must… Expand;44 ;Action Adventure,Fantasy,General,Fantasy
METROID PRIME 3: CORRUPTION;90;8.8;Nintendo;Retro Studios;Aug 27, 2007;If you think you knew what it felt like to be the bounty hunter behind the visor, think again. Take aim at evil with Nintendo's revolutionary controller. Players control Samus by moving with the Nunchuk controller and aiming with the pointer, allowing for a level of immersion unlike anything… Expand;62 ;Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade
THE BEATLES: ROCK BAND;89;7.5;MTV Games;Harmonix Music Systems;Sep 9, 2009;The game represents the first time fans will be able to experience The Beatles’ musical career for themselves. From the early touring days in 1963 Liverpool to the immortal, final performance on the Apple Corps rooftop, fans can follow in the band’s footsteps as they traverse the globe… Expand;25 ;Action,Miscellaneous,Rhythm,Music,Music
CAVE STORY;89;8.7;Nicalis;Nicalis;Mar 22, 2010;[WiiWare] Cave Story takes you into a rare world where a curious race of innocent, rabbit-like creatures called Mimiga run free. You wake up in a dark cave with no memory of who you are, where you came from or why you're in such a place. Uncovering Mimiga Village, you discover that the… Expand;25 ;Action,Platformer,Platformer,2D,2D
GUITAR HERO 5;89;7.1;Activision;Vicarious Visions;Sep 1, 2009;For the first time ever, players can customize the make-up of their band by rocking with any combination of instruments in-game: whether it be two guitars and two drums, or three guitars and a microphone, any combination is possible, allowing players to experience music their own way. Brand… Expand;25 ;Action,Miscellaneous,Rhythm,Music,Music
DJ HERO 2;88;7.6;Activision;FreeStyleGames;Oct 19, 2010;Activision's turntable-based rhythm game is coming back for an encore.;20 ;Action,Miscellaneous,Rhythm,Music,Music
TIGER WOODS PGA TOUR 10;88;7.7;Electronic Arts;EA Tiburon;Jun 8, 2009;Tiger Woods PGA Tour 10 takes golf fans inside-the-ropes to experience the drama and emotion of tournament golf. In addition, the U.S. Open, a USGA championship, and the USGA’s Rules of Golf is available in Tiger Woods PGA Tour 10 for the first time in franchise history. As you hear the roar… Expand;44 ;Sports,Traditional,Individual,Golf,Sim,Sim
ART OF BALANCE;88;7.7;Shin'en;Shin'en;Feb 15, 2010;[WiiWare] Grab your Wii Remote controller and build a balanced stack in this physics-based puzzler, featuring 100 levels that challenge not only your skills but also your imagination. The game is easy to pick up and hard to put away. Play alone or invite a friend to grab a second Wii Remote… Expand;10 ;Miscellaneous,Puzzle,Puzzle,General,Puzzle,General
LA-MULANA;87;7.5;EnjoyUp Games;Asterizm Co., Ltd;Sep 20, 2012;La-Mulana is a archaelogy action and exploration game where players take control of Professor Lemeza and his inseparable whip to discover the mysteries of Humanity!;7 ;Action,Action Adventure,Platformer,Platformer,Open-World,2D,2D
NEW SUPER MARIO BROS. WII;87;8.3;Nintendo;Nintendo;Nov 15, 2009;New Super Mario Bros. Wii offers a combination of cooperation and competition. Players can pick each other up to save them from danger or toss them into it. Mario, Luigi and two Toads are all playable characters, while many others from the Mushroom Kingdom make appearances throughout the… Expand;80 ;Action,Platformer,Platformer,2D,2D
DJ HERO;87;7.3;Activision;Exient Entertainment;Oct 27, 2009;DJ Hero drops the needle with a completely fresh experience and legendary artists including Black Eyed Peas, 50 Cent, Justice, Marvin Gaye, Beck, Beastie Boys and N.E.R.D. DJ Hero features more than 100 individual songs that have been transformed into more than 80 exclusive, original mixes… Expand;22 ;Action,Miscellaneous,Rhythm,Music,Music
DONKEY KONG COUNTRY RETURNS;87;8.6;Nintendo;Retro Studios;Nov 21, 2010;The latest installment of the Donkey Kong Country series returns.;77 ;Action,Adventure,General,Platformer,Platformer,2D,2D
ZACK & WIKI: QUEST FOR BARBAROS' TREASURE;87;8.6;Capcom;Capcom;Oct 23, 2007;Legend has it that a revered pirate named Barbaros once stole the world's treasure and hid it on a mysterious island. Though no one knows of its exact location, stories about the untold riches that lay in wait have been passed down through the ages, driving pirates from all walks of life to… Expand;59 ;Adventure,General,General
LITTLE KING'S STORY;87;8.7;XSEED Games;Cing;Jul 21, 2009;Little King's Story begins with the story of young boy named Corobo. Shy, and without many friends, Corobo stumbles upon a mysterious, powerful crown while walking in the forest near his village. He soon discovers that the crown grants him the ability to charm any person, and make them… Expand;50 ;Strategy,Real-Time,Breeding/Constructing,Fantasy,General,Fantasy
SIN & PUNISHMENT: STAR SUCCESSOR;87;8.5;Nintendo;Treasure;Jun 27, 2010;Players engage in nonstop shooter action as they're propelled through this on-rails game. Isa and Kachi are being hunted. They go on the run and on the defensive. And they shoot everything. Sin & Punishment 2 is the long-awaited sequel to the Japanese Nintendo 64 cult-classic shooter. It… Expand;60 ;Action,General,Shooter,Shooter,Rail,Rail
