FINAL FANTASY CRYSTAL CHRONICLES: MY LIFE AS A KING;80;7.0;Wii;Square Enix;Square Enix;May 12, 2008;[WiiWare] You are a young king who must rebuild his kingdom, beginning with the castle town. When the king first reaches the borders of his realm, he finds that the crystal in the center of town has given him special powers to be a "master builder," a unique ability he uses to construct… Expand;23 ;Strategy,Tycoon,Management,Tycoon,Business / Tycoon
NBA JAM;79;8.5;Wii;EA Sports;EA Canada;Oct 5, 2010;Featuring gameplay that is true to the original, NBA JAM has players spinning with ankle breaking moves to the basket and on the way to high-flying, backboard-smashing dunks. In addition to the classic experience, EA SPORTS NBA JAM also introduces new game modes, characters and gameplay… Expand;43 ;Sports,Traditional,Team,Basketball,Arcade,Arcade
METROID: OTHER M;79;6.7;Wii;Nintendo;Team Ninja;Aug 31, 2010;The game looks at the classic franchise from a new perspective: While much of the game is reminiscent of 2-D side-scrollers, players can switch the perspective into 3-D at any time as they explore the twisting passages of a derelict space station and delve deep into a cinematic,… Expand;71 ;Action,Action Adventure,Shooter,Sci-Fi,Sci-Fi,General,Third-Person,Sci-Fi
STRONG BAD'S COOL GAME FOR ATTRACTIVE PEOPLE EPISODE 3: BADDEST OF THE BANDS;79;7.4;Wii;Telltale Games;Telltale Games;Oct 27, 2008;[WiiWare] Rock and roll! Hurting for cash, Strong Bad sets out to dominate the "Battle Royale of the Bands." Can he rule the stage and win the big prize? Or will he be drowned out by the competition? Find out in this high-voltage episode! [TellTale Games];11 ;Miscellaneous,Adventure,General,Compilation
RUBIK'S PUZZLE GALAXY: RUSH;79;tbd;Wii;The Game Factory;Two Tribes;Dec 14, 2009;[WiiWare] Rubik's Puzzle Galaxy: RUSH is a 3-D puzzle game with more than 70 challenging levels. Players need to guide Cubes to color-coded exit points. Using the Wii Remote controller's intuitive controls, players herd the colored cubes along by using Conveyer Belts, Warps, Stop Signs,… Expand;9 ;Miscellaneous,Puzzle,Puzzle,General,General
NHL 2K10;79;6.8;Wii;Take-Two Interactive;Take-Two Interactive;Sep 15, 2009;New Control Scheme - Choose between fun, easy-to-use Wii Remote and Nunchuk controls and Sideways Wii Remote support, or plug in a Wii Classic Controller for three ways to play. Full Online Modes - For the first time, enjoy full online support for Wii, including multiplayer and multi-console… Expand;8 ;Sports,Traditional,Team,Ice Hockey,Sim,Sim
YOU, ME, AND THE CUBES;79;7.0;Wii;Nintendo;fyto;Sep 21, 2009;[WiiWare] Experience a unique combination of strategy and skill as you maintain a level playing field in the physics-based action puzzler You, Me, and the Cubes. The action centers around Fallos, mysterious creatures that resemble humans and have an ability to balance on a playing field of… Expand;16 ;Miscellaneous,Puzzle,Action,Puzzle,Puzzle,Action
EA SPORTS ACTIVE 2;79;8.1;Wii;EA Sports;EA Canada;Nov 16, 2010;Take the Next Step in your journey to better health and fitness.;8 ;Sports,Miscellaneous,General,Exercise / Fitness
PRO EVOLUTION SOCCER 2012;79;7.4;Wii;Konami;Konami;Nov 15, 2011;Pro Evolution Soccer 2012 is the latest annual update to the long-running football franchise, once known as Winning Eleven.;9 ;Sports,Traditional,Team,Football,Soccer,Sim,Sim,Sim
BIT.TRIP VOID;79;7.9;Wii;Aksys Games;Gaijin Games;Nov 23, 2009;[WiiWare] Bit.Trip Void continues CommanderVideo's epic journey with: Up to 4 Player Local Co-op, Mid-Level Checkpoints, Epic Boss Battles, Nunchuk & Classic Controller Support, A Rockin' Chipmusic-Inspired Soundtrack, Special Chipmusic Guest Star Nullsleep, Synesthetic Music/Art/Gameplay… Expand;19 ;Action,Miscellaneous,Rhythm,Music,Music
