SWORDS & SOLDIERS II;75;7.9;Wii U;Ronimo Games;Ronimo Games;May 21, 2015;Command your troops against fiendish foes in colourful 2D strategy romp, Swords & Soldiers II, on Wii U. While ever-hungry Viking chieftain, Redbeard, is locked in combat with his old nemesis, Blackbeard, two fiendish factions arrive to create a fresh twist to the proceedings. Enter the… Expand;24 ;Strategy,General
PAPER MONSTERS RECUT;74;8.0;Wii U;Mobot Studios LLC;Mobot Studios LLC;Oct 16, 2014;Welcome to Paperland!Dive into the world of Paper Monsters Recut and watch a living world made out of paper, cardboard, and even a few cotton balls unfold right before your eyes. Paper Monsters Recut mixes classic 2D platformer gameplay with gorgeous 3D graphics and brings it to life… Expand;7 ;Action,Platformer,2D
STAR FOX GUARD;74;7.4;Wii U;Nintendo;Nintendo;Apr 22, 2016;Use the Wii U GamePad controller to mount a dozen security cameras around a perimeter and defend it against a robot army invasion. As the robot army approaches, shoot at the attackers using the GamePad and TV in tandem, while observers watching the TV shout frantic suggestions about which… Expand;33 ;Action,First-Person,Sci-Fi,Shooter,Strategy,Real-Time,Defense
ULTRATRON;73;6.5;Wii U;Curve Digital;Puppy Games;May 14, 2015;Experience the gameplay of old-school arcade standards, updated for the 21st century. Unique retro-futuristic sound and graphics, player responsive difficulty, and a subtle system of tactics combined with classic gameplay make Ultratron a hypnotic arcade game. The last human has been slain… Expand;7 ;Action,Shooter,Shoot-'Em-Up,Top-Down,Vertical
ANOTHER WORLD: 20TH ANNIVERSARY EDITION;73;7.2;Wii U;The Digital Lounge;The Digital Lounge;Jun 19, 2014;Also known as Out Of This World, Another World is a pioneer action/platformer that released across more than a dozen platforms since its debut in 1991. Along the years, Another World has attained cult status among critics and sophisticated gamers alike.Another World chronicles the story… Expand;7 ;Action,Platformer,2D
NES REMIX 2;73;8.0;Wii U;Nintendo;indieszero;Apr 25, 2014;This second installment of the mashup of classic Nintendo games features challenges from later NES games like Super Mario Bros. 3, Kirbyâ€™s Adventure and Metroid. Just like NES Remix, the sequel includes stages from the original games with new challenges, as well as modified stages that… Expand;36 ;Miscellaneous,General
KIRBY AND THE RAINBOW CURSE;73;8.0;Wii U;Nintendo;HAL Labs;Feb 20, 2015;(Also known as "Kirby and the Rainbow Paintbrush" in the UK/EU.) Do you have the magic touch? Then guide Kirby as he sets off on grand adventures in a hand-sculpted clay world. Draw lines on the touch screen of the Wii U GamePad controller to create rainbow-colored clay ropes to move Kirby… Expand;72 ;Action,Platformer,2D
COSMOPHONY;73;7.0;Wii U;Moving Player;Moving Player;Oct 30, 2014;Cosmophony is a music-based shooter designed for challenge-seeking gamers looking for an intense gaming experience. The gamer assumes control of the heart of a fallen goddess within a dying universe in order to fulfill her destiny. The mission is to progress through a series of levels… Expand;8 ;Action,Shooter,Rail
SCRIBBLENAUTS UNLIMITED;73;7.5;Wii U;Warner Bros. Interactive Entertainment;5TH Cell;Nov 13, 2012;Scribblenauts Unlimited features a side-scrolling open world with new, high-definition hand-drawn scenery and objects where players can help the game's hero, Maxwell, solve robust puzzles and challenges by summoning any object they can imagine. And for the first time, players learn the back… Expand;42 ;Puzzle,Action,Platformer,Platformer,2D,2D
JUST DANCE 2016;73;6.9;Wii U;Ubisoft;Ubisoft;Oct 20, 2015;All you need is your smartphone and the Just Dance Controller App to play Just Dance 2016 on Wii U, no extra accessories needed. Bust a move to “Uptown Funk” by Mark Ronson Ft. Bruno Mars and feel the beat in “All About That Bass” by Meghan Trainor - Just Dance 2016 features an amazing… Expand;7 ;Action,Rhythm,Dancing
