FALLOUT: NEW VEGAS;84;8.4;Xbox 360;Bethesda Softworks;Obsidian Entertainment;Oct 19, 2010;The latest game in the post-nuclear RPG series is being developed by many members of the Fallout 1 and 2 team at Obsidian Entertainment using the Fallout 3 engine.;81 ;Role-Playing,Action RPG,First-Person,First-Person,Western-Style
PINBALL FX 2: MARVEL PINBALL - VENGEANCE AND VIRTUE;84;tbd;Xbox 360;Zen Studios;Zen Studios;Dec 13, 2011;Vengeance and Virtue contains four new tables for Marvel Pinball.;7 ;Pinball,Action,Miscellaneous,Parlor,Pinball
SAINTS ROW: THE THIRD;84;7.7;Xbox 360;THQ;Volition Inc.;Nov 15, 2011;Years after taking Stilwater for their own, the Third Street Saints have evolved from street gang to household brand name, with Saints sneakers, Saints energy drinks and Johnny Gat bobble head dolls all available at a store near you. The Saints are kings of Stilwater, but their celebrity… Expand;70 ;Action Adventure,Modern,Modern,Open-World
SKATE 2;84;8.1;Xbox 360;EA Games;EA Black Box;Jan 21, 2009;Skate 2 picks up five years after the original Skate, a period marred by an unspeakable disaster that left San Vanelona in ruins. Within that time, Mongocorp rebuilt the city but their zealous protection of private property has put a damper on the once thriving skate population. Equipped… Expand;70 ;Sports,Alternative,Individual,Skateboarding,Skateboarding,Skate / Skateboard
BORDERLANDS;84;8.1;Xbox 360;2K Games;Gearbox Software;Oct 20, 2009;As the first title in an all-new sci-fi action franchise, Borderlands combines the best elements of Gearbox Software's first-person action titles with player customization and vehicular combat. Borderlands features a unique content generation system allowing for near-endless variety in… Expand;83 ;Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade
MADDEN NFL 11;84;5.8;Xbox 360;Electronic Arts;EA Tiburon;Aug 10, 2010;Madden NFL 11 promises to redefine the way you experience the game of football. SIMPLER: From 350 plays down to 1, the all-new GameFlow system puts you in the helmet of an NFL quarterback to execute an authentic, situational game plan, one play at a time. QUICKER: 60 minute game times… Expand;47 ;Sports,Traditional,Team,Football,Sim,Sim
FIFA 14;84;4.3;Xbox 360;EA Sports;EA Canada;Sep 24, 2013;Pure Shot promises to let FIFA fans feel what it is like to connect with the perfect strike while a brand new ball physics system called Real Ball Physics ensures the trajectory of the ball behaves as it would in real life. With Teammate Intelligence in FIFA 14, players have better… Expand;41 ;Ice Hockey,Sim,Sports,Traditional,Team,Soccer,Sim,Sim
ULTRA STREET FIGHTER IV;84;6.9;Xbox 360;Capcom;Capcom;Jun 3, 2014;The series evolves to a whole new level with Ultra Street Fighter IV for PlayStation 3, Xbox 360, and PC. Continuing the tradition of excellence the series is known for, five new characters and six new stages have been added for even more fighting mayhem, with rebalanced gameplay and… Expand;29 ;Fighting,3D,Action,Fighting,2D,3D
THE WALKING DEAD: SEASON TWO EPISODE 5 - NO GOING BACK;84;8.8;Xbox 360;Telltale Games;Telltale Games;Aug 27, 2014;The final episode of a five-part game series set in Robert Kirkmans award-winning zombie apocalypse.;8 ;Action,Adventure,General,General,Point-and-Click
MIGHT & MAGIC: CLASH OF HEROES;84;8.2;Xbox 360;Ubisoft;Capy Games;Apr 13, 2011;Might and Magic Clash of Heroes takes place 40 years before the Heroes V saga. Scattered across five different regions of Ashan, 5 special heroes must travel their own dangerous paths to grow in strength, unravel a demonic plot, and ultimately save the world from Chaos.;30 ;Role-Playing,General,General
CHILD OF EDEN;84;7.9;Xbox 360;Ubisoft;Q Entertainment;Jun 14, 2011;Child of Eden thrusts the player into the center of a battle to save Project Lumi, a mission to reproduce a human personality inside Eden, the archive of all human memories. As the project nears completion, the archive is invaded by an unknown virus. The player's mission is to save Eden from… Expand;81 ;Action,Shooter,Shooter,Third-Person,Rail,Rail,Fantasy
RESIDENT EVIL 4 HD;84;8.0;Xbox 360;Capcom;Capcom;Sep 20, 2011;Resident Evil 4 marks a new chapter in the Resident Evil series. You'll rejoin Leon S. Kennedy six years after his first mission as a rookie cop from Resident Evil 2. Now a US agent, Leon is on a top secret mission to investigate the disappearance of the president's daughter. As Leon, you… Expand;36 ;Action Adventure,Horror,Horror,Survival
VANQUISH;84;9.2;Xbox 360;Sega;PlatinumGames;Oct 19, 2010;Directed by Shinji Mikami, VANQUISH is a sci-fi shooter of epic proportions with a fast, fluid and frenetic combat system, and an engaging and immersive storyline. Players take the role of Sam, a government agent kitted out with a futuristic battle suit, in a near future world where nations… Expand;70 ;Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade
TIGER WOODS PGA TOUR 09;84;7.7;Xbox 360;Electronic Arts;EA Tiburon;Aug 26, 2008;This year's Tiger features dynamic, personalized gameplay via Tiger Woods' personal coach, Hank Haney. Looking to drive the ball long and straight? Trying to nail the pin with the approach shot? An all-new addition to this year’s game, Haney will assist gamers as they hit the links and try… Expand;41 ;Sports,Traditional,Individual,Golf,Sim,Sim
F1 2010;84;7.6;Xbox 360;Codemasters;Codemasters Birmingham;Sep 22, 2010;In F1 2010 gamers will take on the full, expanded grid in a variety of game modes including Grand Prix, Championship, Time Trial and an extensive, innovative Career mode. F1 2010 will also feature a highly advanced damage model, fully dynamic weather system and extensive competitive… Expand;43 ;Driving,Racing,Simulation,Formula One,Formula One,Automobile
BORDERLANDS 2: MR. TORGUE'S CAMPAIGN OF CARNAGE;83;8.2;Xbox 360;2K Games;Gearbox Software;Nov 20, 2012;Come into Mr. Torgue’s Campaign of Carnage and see if you have what it takes to become champion of this brand new storyline in Borderlands 2. Fight for the Big Loot against some of the baddest baddies in Pandora, including hordes of Biker Bandits. Also, take special quests from Tiny Tina,… Expand;10 ;Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade
BATTLEFIELD 1943;83;7.9;Xbox 360;Electronic Arts;DICE Stockholm;Jul 8, 2009;[Xbox Live Arcade] Using the Frostbite engine, Battlefield 1943 takes players back to WWII. The game offers hours of 24 player multiplayer action over three classic and tropic locations. Wake Island, Guadalcanal and Iwo Jima. Delivering the award-winning through-the-gun and vehicle warfare… Expand;65 ;Action,Shooter,Shooter,First-Person,Historic,Historic,Arcade
DARKSIDERS II;83;8.2;Xbox 360;THQ;Vigil Games;Aug 14, 2012;Awakened by the End of Days, Death, the most feared of the legendary Four Horsemen, embarks on a journey to redeem his brother's name. Become the terrifying force which everyone fears but nothing can escape.;63 ;Action Adventure,Modern,Fantasy,Fantasy,Open-World
BATTLEFIELD 3: BACK TO KARKAND;83;6.9;Xbox 360;Electronic Arts;EA DICE;Dec 13, 2011;Battlefield 3: Back to Karkand is a massive themed expansion pack featuring four of the most loved maps from Battlefield 2, boldly reimagined for Battlefield 3 with the power and destruction of the Frostbite 2 engine. It also gives you classic weapons and vehicles from Battlefield 2, unique… Expand;7 ;Action,Shooter,Shooter,First-Person,Modern,Tactical,Modern,Arcade
N+;83;8.3;Xbox 360;Microsoft Game Studios ;Slick Entertainment;Feb 20, 2008;[Xbox Live Arcade] In a futuristic world of inadvertently homicidal robots, a daring ninja must use deft acrobatic skill and guts of steel to survive. N+ is a peerless action-puzzle platformer with more than 300 levels in which to hone your ninja reflexes, plus a built-in level editor for… Expand;36 ;Action,Platformer,Platformer,2D,2D
FALLOUT 3: POINT LOOKOUT;83;8.3;Xbox 360;Bethesda Softworks;Bethesda Game Studios;Jun 23, 2009;(Downloadable Content) Buy a ticket and hop onboard the Duchess Gambit, as Tobar the Ferryman takes you to the strange seaside town of Point Lookout. What secrets does the dilapidated boardwalk hold? Who lives in the sprawling mansion? Why is the Punga Fruit so important? And what horrors… Expand;34 ;Role-Playing,First-Person,First-Person,General,Western-Style
HALO 3: ODST;83;7.6;Xbox 360;Microsoft Game Studios;Bungie Software;Sep 22, 2009;Halo 3: ODST returns players to familiar ground on a vital, top-secret mission. The gripping story, cooperative campaign and new multiplayer content will have Halo fans "Preparing to Drop." The new game brings the perspective of new characters to the Human-Covenant struggle, as it explores… Expand;94 ;Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade
DIRT;83;7.5;Xbox 360;Codemasters;Codemasters;Jun 19, 2007;(Formerly known as "Colin McRae Rally 2007" or "CMR '07") After a two-year break for the series, Codemasters Studios' designers have created a reinvigorated McRae experience. The new Colin McRae title goes beyond the series' point-to-point rallying to deliver the most diverse selection of… Expand;59 ;Driving,Racing,Simulation,Rally / Offroad,Rally / Offroad,Automobile
RESIDENT EVIL 5;83;7.5;Xbox 360;Capcom;Capcom;Mar 13, 2009;The biohazard threat has not ended: Just when it seemed that the menace of Resident Evil had been destroyed, along comes a new terror to send shivers down players' spines. Chris Redfield, returning Resident Evil hero, has followed the path of the evil literally around the globe. After… Expand;91 ;Action Adventure,Horror,Horror,Survival
STREET FIGHTER X TEKKEN;83;4.5;Xbox 360;Capcom;Capcom;Mar 6, 2012;Welcome to Street Fighter X Tekken, where Street Fighter and Tekken series' stalwarts Ryu, Chun-Li, Kazuya Mishima and Nina Williams headline a memorable cast of your favorite fighters in a tag battle dream match for the ages. Street Fighter X Tekken (SFXT) is a 2 vs. 2 tag team-based… Expand;45 ;Action,Fighting,Fighting,3D,2D,3D
CALL OF DUTY: BLACK OPS II;83;5.2;Xbox 360;Activision;Treyarch;Nov 13, 2012;Call of Duty: Black Ops II injects players into a potential near future - a Twenty-First Century Cold War in which technology and weapons have merged to create a new generation of warfare. Black Ops 2 introduces players to a diabolical villain named Raul Menendez who hijacks the US military… Expand;73 ;Action,Shooter,Shooter,First-Person,Historic,Modern,Modern,Arcade
PERSONA 4 ARENA;83;4.6;Xbox 360;Atlus;Arc System Works;Aug 7, 2012;Persona 4 Arena uses hand-drawn, high definition 2D anime-style fighters and colorful, over-the-top special effects to bring to life a roster of fighters from Persona 3 and Persona 4.;21 ;Action,Fighting,Fighting,2D,2D
SINE MORA;83;7.4;Xbox 360;Microsoft Game Studios;Digital Reality;Mar 21, 2012;SINE MORA is a horizontal shoot'em up that provides a unique take on challenge, where time is the ultimate factor. Mixing classic shooter sensibilities with contemporary presentation, SINE MORA is a shmup that offers a Story Mode that weaves an over-the-top tale and an Arcade Mode that… Expand;61 ;Action,Shooter,Shooter,Scrolling,Scrolling,Shoot-'Em-Up,Vertical,Horizontal
