10 SECOND NINJA X;82;4.5;Xbox One;Curve Digital;GameDesignDan;Jul 19, 2016;10 Second Ninja X is a hardcore sidescroller. You’re a ninja, there are robots, you’ve got ten seconds to destroy them all. Get three star ratings, climb leaderboards, discover secrets, and stop Captain Greatbeard.;10 ;Action,Platformer,2D
FAR CRY 5;82;6.8;Xbox One;Ubisoft;Ubisoft Montreal;Mar 27, 2018;Welcome to Hope County, Montana. This idyllic location is home to a community of freedom-loving people - and a fanatical doomsday cult known by many as The Project at Eden's Gate. Led by the charismatic prophet Joseph Seed and his devoted siblings, Eden's Gate has been surreptitiously… Expand;32 ;Action,Shooter,First-Person,Arcade
THE EVIL WITHIN 2;82;9.1;Xbox One;Bethesda Softworks;Tango Gameworks;Oct 13, 2017;You are Detective Sebastian Castellanos and at your lowest point. But when given a chance to save your daughter, you must enter a world filled with nightmares and discover the dark origins of a once-idyllic town to bring her back. Horrifying threats emerge from every corner as the world… Expand;24 ;Action Adventure,Survival
PRO EVOLUTION SOCCER 2019;82;6.6;Xbox One;Konami;Konami;Aug 28, 2018;Improved negotiation system and budget management. Added a re-sell and clean sheet options, so that strategy is needed not only on the field, but also with club management. Enjoy playing the newly added licensed leagues in Master League. All league regulations have been implemented, such as… Expand;12 ;Sports,Team,Soccer,Sim
THE ELDER SCROLLS V: SKYRIM SPECIAL EDITION;82;7.6;Xbox One;Bethesda Softworks;Bethesda Game Studios;Oct 28, 2016;Skyrim Special Edition brings the epic fantasy to life in detail. The Special Edition includes the game and add-ons with all-new features like remastered art and effects, volumetric god rays, dynamic depth of field, screen-space reflections, and more. Skyrim Special Edition also brings the… Expand;24 ;Role-Playing,Western-Style
DIRT RALLY 2.0;82;7.2;Xbox One;Codemasters;Codemasters;Feb 26, 2019;DiRT Rally 2.0 dares you to carve your way through a selection of iconic rally locations from across the globe, in the most powerful off-road vehicles ever made, knowing that the smallest mistake could end your stage. You will need to rely on your instincts with the most immersive and truly… Expand;21 ;Racing,Simulation,Automobile
PRO EVOLUTION SOCCER 2018;82;6.3;Xbox One;Konami;Konami;Sep 12, 2017;Real Touch+ adds a new dimension to ball control, with full body touch allowing various parts of the body to control the ball based on the unpredictability of the ball movement. Set pieces have been reworked with a new Free Kick and Penalty Kick system, alongside the option to choose the new… Expand;11 ;Sports,Team,Soccer,Sim
EA SPORTS UFC 4;82;2.1;Xbox One;Electronic Arts;Electronic Arts;Aug 14, 2020;In EA SPORTS UFC 4 the fighter you become is shaped by your fight style, your achievements, and your personality. Develop and customize your character through a unified progression system across all modes. Go from unknown amateur to UFC superstar in the new Career Mode, experience the… Expand;17 ;Sports,Individual,Combat,Boxing / Martial Arts
NBA 2K15;82;6.2;Xbox One;2K Sports;Visual Concepts;Oct 7, 2014;NBA 2K15 features approximately 5,000 new animations, new defensive AI, shooting systems, new team-specific play sets, and more control over rebounding, steals, and blocks. New game broadcast presentation hosted by Ernie Johnson and Shaq O'Neal delivers commentary and analysis to the action.;9 ;Sports,Traditional,Team,Basketball,Sim
MOTOGP 20;82;6.3;Xbox One;Deep Silver ;Milestone S.r.l;Apr 23, 2020;Take control of your own career, switch from real teams to new teams created with sponsors from the world of MotoGP™, decide the development of the bike and manage your technical unit to win. Improved physics, with even more realistic and complex braking management. The tire has been divided… Expand;11 ;Racing,Simulation,Arcade,Automobile
INDIVISIBLE;82;6.0;Xbox One;505 Games;Lab Zero Games;Oct 8, 2019;INDIVISIBLE is inspired by classics like Valkyrie Profile and Metroid, and has the unique character, world, and gameplay depth Lab Zero is known for.Meet Ajna, Indivisible protagonist. Ajna is a headstrong girl raised in a remote village. Her father, the town's guardian, has trained… Expand;11 ;Role-Playing,Action RPG
METRO EXODUS;82;6.9;Xbox One;Deep Silver;4A Games;Feb 15, 2019;In Metro Exodus, Artyom and a band of survivors must flee the shattered ruins of the Moscow Metro and embark on an epic, continent-spanning journey across the post-apocalyptic Russian wilderness. Explore vast, non-linear levels, lose yourself in an immersive, sandbox survival experience, and… Expand;32 ;Action,Shooter,First-Person,Arcade
TOM CLANCY'S THE DIVISION 2: WARLORDS OF NEW YORK;82;1.2;Xbox One;Massive Entertainment;Massive Entertainment;Mar 3, 2020;While The Division was working to secure Washington, D.C., a familiar shadow fell over the streets of New York. Aaron Keener - one of The Division's original antagonists, as well as the first Division Agent to go rogue - has brought the factions of New York City under his control, and used… Expand;9 ;Action,Shooter,Third-Person,Tactical
ROCK BAND RIVALS;82;6.6;Xbox One;Performance Designed Products;Harmonix Music Systems;Oct 18, 2016;The Rock Band Rivals expansion brings new features to Rock Band 4. Perform your way through an epic rock documentary about your band in a new campaign mode, join Crews to prove your skill and crush your opponents through weekly online challenges, and get a free backstage pass to months of… Expand;10 ;Action,Rhythm,Music
RESIDENT EVIL HD REMASTER;82;8.4;Xbox One;Capcom;Capcom;Jan 20, 2015;In 1998 a special forces unit was dispatched to investigate some bizarre murders on the outskirts of Raccoon City. Upon arrival they were accosted by a pack of blood-thirsty dogs and were forced to take cover in a nearby mansion. But the scent of death hung heavy in the air. Supplies were… Expand;16 ;Horror,Action Adventure,Survival
FAR CRY 4;82;7.6;Xbox One;Ubisoft;Ubisoft Montreal;Nov 18, 2014;Hidden in the towering Himalayas lies a country thick with tradition and violence. You assume the role of Ajay Ghale, returning to the country of your birth, the lush forests and harsh snow-capped summits of Kyrat, to fulfill your mother’s final wish of distributing her ashes. This vast and… Expand;15 ;Action,Shooter,First-Person,Modern,Arcade
DAUNTLESS;82;4.6;Xbox One;Phoenix Labs;Phoenix Labs;May 21, 2019;Discover a shattered world, forge powerful weapons, and hunt the ferocious behemoths threatening our survival.;7 ;Role-Playing,Action RPG
MADDEN NFL 18;82;4.3;Xbox One;Electronic Arts;EA Sports;Aug 22, 2017;Madden NFL 18 takes a significant visual leap with the power of the Frostbite engine. See stunning new stadium exteriors surrounded by vast cityscapes and watch the spectacle of NFL gameday come to life in the most photorealistic game to date. Play each matchup to your specifications by… Expand;22 ;Sports,Team,Football,Sim
BULLETSTORM: FULL CLIP EDITION;82;7.1;Xbox One;Epic Games ;People Can Fly;Apr 7, 2017;Step into the boots of Grayson Hunt after a crash landing on an abandoned resort planet forces him to make a hard choice: survival or revenge. An exiled member of the elite assassin group Dead Echo, Graysons blind desire for vengeance finds his crew stranded on Stygia where he can finally… Expand;13 ;Action,Shooter,First-Person,Arcade
KALIMBA;81;7.4;Xbox One;Press Play;Press Play;Dec 17, 2014;Kalimba plays in solid 60 fps full HD. It feels both retro and new at the same time and its puzzle design and twitch gameplay present challenge for the experienced gamer.;26 ;Action,General
CALL OF THE SEA;81;7.5;Xbox One;Raw Fury;Out of the Blue, Inc.;Dec 8, 2020;A weird tale of otherworldly mystery. Call of the Sea is a first-person adventure puzzle game set in the 1930s that tells the story of Norah, a woman on the trail of her missing husband's expedition. The search takes place on a strange but beautiful island in the South Pacific, filled with… Expand;10 ;Adventure,3D,First-Person
TEKKEN 7;81;6.6;Xbox One;Bandai Namco Games;Bandai Namco Games;Jun 2, 2017;Love, Revenge, Pride. Each one of us has a reason to fight. Values are what define us and make us human, regardless of our strengths or weaknesses. There are no wrong motives, just the paths we choose to take. Experience the conclusion of the Mishima clan and unravel the reasons behind each… Expand;16 ;Action,Fighting,3D
STELLARIS: CONSOLE EDITION;81;7.4;Xbox One;Tantalus;Paradox Development Studio;Feb 26, 2019;Featuring deep strategic gameplay, an enormous selection of alien races and emergent storytelling, Stellaris has a deeply challenging system that rewards interstellar exploration as you traverse, discover, interact and learn more about the multitude of species you will encounter during your… Expand;8 ;Strategy,Real-Time,General
CALL OF DUTY: BLACK OPS III;81;4.6;Xbox One;Activision;Treyarch;Nov 6, 2015;In Black Ops 3, Treyarch introduces a new momentum-based chained-movement system which enables players to fluidly move through the environment with finesse, using controlled thrust jumps, slides, wall runs and mantling abilities in a myriad of combinations, all while continuously keeping… Expand;15 ;Action,Shooter,First-Person,Arcade
SUPER MEGA BASEBALL 2;81;7.2;Xbox One;Metalhead Software;Metalhead Software;May 1, 2018;The makers of Super Mega Baseball have returned with a brand new, streamlined baseball simulator that’ll keep you coming back for more. Build your dream team and challenge your opponents to a good old-fashioned game of hardball, online and off.;21 ;Sports,Team,Baseball,Arcade
WORLD OF FINAL FANTASY MAXIMA;81;7.8;Xbox One;Square Enix;Square Enix;Nov 6, 2018;POWERED UP AND REBORN!Expanding the horizons of FINAL FANTASY! A tale of many encounters and the birth of a new world. Originally released in October 2016, WORLD OF FINAL FANTASY has just been powered up and reborn as WORLD OF FINAL FANTASY Maxima! New characters from FF lore (Champions)… Expand;9 ;Role-Playing,Japanese-Style
CALL OF DUTY: ADVANCED WARFARE;81;5.5;Xbox One;Activision;Sledgehammer Games;Nov 3, 2014;Call of Duty: Advanced Warfare predicts the powerful battlegrounds of the future, where both technology and tactics have taken steps to usher in a new era of combat for the franchise. Kevin Spacey is Jonathan Irons -- one of the most notorious men in the world -- shaping this chilling vision… Expand;53 ;Action,Shooter,First-Person,Modern,Arcade
STAR WARS JEDI: FALLEN ORDER;81;8.1;Xbox One;Electronic Arts;Respawn Entertainment;Nov 15, 2019;A third-person action-adventure Star Wars title from Respawn Entertainment. The Empire seeks to eradicate all Jedi after the execution of Order 66. You, a Jedi Padawan-turned-fugitive, must fight for your survival as you explore the mysteries of a long-extinct civilization in hopes of… Expand;33 ;Action,Action Adventure,General
UNRAVEL TWO;81;7.5;Xbox One;Electronic Arts;Coldwood Interactive;Jun 9, 2018;In Unravel 2, you play as two Yarnys (tiny magical creatures made of yarn and joined by a thread) in a puzzle-platforming adventure. Run, jump, swing, and solve your way through a world of natural beauty and shadowy dangers, either on your own or with a friend in local co-op.;23 ;Action,Platformer,2D
LIFE IS STRANGE: BEFORE THE STORM - EPISODE 3: HELL IS EMPTY;81;7.5;Xbox One;Square Enix;Deck Nine Games;Dec 20, 2017;10 ;Action Adventure,General
CHICKEN POLICE - PAINT IT RED!;81;6.3;Xbox One;HandyGames;The Wild Gentlemen;Nov 5, 2020;Sonny Featherland and Marty MacChicken were once legendary detective partners in Clawville PD. Predatory division, nicknamed as the Chicken Police. But that was a decade ago and time had passed them by... Sonny is a semi-alcoholic wreck of a bird on paid leave, while Marty still hides behind… Expand;7 ;Adventure,Visual Novel
GUITAR HERO LIVE;81;5.0;Xbox One;Activision;FreeStyleGames;Oct 20, 2015;Guitar Hero Live mode inserts you onstage, looking out: you get a first-person perspective as a real crowd reacts to the notes you play. Or switch over to GHTV - a playable music video network, where you can play along in real time, discover new music, and challenge friends around the world.;21 ;Action,Rhythm,Music
SUNSET OVERDRIVE;81;7.8;Xbox One;Microsoft Game Studios;Insomniac Games;Oct 28, 2014;An open world with no rules: only riots. Sunset Overdrive is an ever-changing open-world game set in the not-so-distant future. A catastrophic event has left your city overrun by mutants. While the majority perish or transform, you have learned to flourish. It turns out your calling isn't… Expand;89 ;General,Action,General,Shooter,Third-Person,Arcade
THE YAKUZA REMASTERED COLLECTION;81;8.4;Xbox One;Sega;Ryu ga Gotoku Studios;Jan 28, 2021;Complete The Dragon of Dojima's JourneyCelebrate Kazuma Kiryu's saga with the beautifully remastered Yakuza 3, 4, and 5. With restored content and updated localization in 1080p and 60fps, experience the complete Yakuza collection on one console for the first time in history.;7 ;Miscellaneous,Compilation
FUSER;81;7.8;Xbox One;NCSOFT;Harmonix Music Systems;Nov 10, 2020;Work your way from the basics of mixing all the way to expert level techniques as you perform shows across 6 larger than life stage venues, each with its own signature style.;20 ;Action,Rhythm,Music
THE GARDENS BETWEEN;81;6.9;Xbox One;The Voxel Agents;The Voxel Agents;Nov 29, 2018;Manipulate the flow of time to solve mind-bending puzzles while following best friends Arina and Frendt. Move time forward and backward, revisiting shared precious childhood memories scattered amongst surreal garden islands.;7 ;Adventure,General
MADDEN NFL 19;81;2.9;Xbox One;Electronic Arts;EA Tiburon;Aug 10, 2018;Gameplay in Madden NFL 19 was developed with two primary objectives: 1. Player Control across the field; 2.Immersive NFL Experience from start to finish. To achieve these objectives, EA's goal is to deliver the most significant animation upgrade in Madden history. Madden NFL 19 introduces a… Expand;21 ;Sports,Team,Football,Sim
WATCH DOGS 2;81;7.3;Xbox One;Ubisoft;Ubisoft Montreal;Nov 15, 2016;Check out the birthplace of the tech revolution as Marcus Holloway, a brilliant young hacker who has fallen victim to ctOS 2.0's predictive algorithms and accused of a crime he did not commit. In Marcus' mission to shut down ctOS 2.0 for good, hacking is his ultimate weapon. Players not… Expand;11 ;Action Adventure,Open-World
SNOWRUNNER;81;7.3;Xbox One;Focus Home Interactive;Saber Interactive;Apr 28, 2020;SnowRunner puts you in the driver's seat of powerful vehicles as you conquer extreme open environments with the most advanced terrain simulation ever. Drive 40 vehicles from brands such as Ford, Chevrolet, and Freightliner as you leave your mark on an untamed open world.Overcome mud,… Expand;16 ;Racing,Arcade,Automobile
MIDDLE-EARTH: SHADOW OF WAR;81;4.2;Xbox One;Warner Bros. Interactive Entertainment;Monolith Productions;Oct 10, 2017;Experience an epic open world brought to life by the Nemesis System. Forge a new Ring of Power, conquer Fortresses in massive battles and dominate Mordor with your personal orc army in Middle-earth: Shadow of War. Go behind enemy lines to forge your army, conquer Fortresses and dominate… Expand;38 ;Action Adventure,Open-World
CYBER SHADOW;81;7.2;Xbox One;Yacht Club Games;Mechanical Head Studios;Jan 26, 2021;The world has been taken over by synthetic lifeforms. A desperate plea for help sets Shadow, the sole survivor of his clan, on one last mission to uncover what started the path to perpetual ruin.;12 ;Action,Platformer,2D
AWESOMENAUTS ASSEMBLE!;81;7.7;Xbox One;Ronimo Games;Abstraction Games;Sep 7, 2016;The game features the most awesome mercenaries in the galaxy in their fight for territorial supremacy. Awesomenauts brings Russian monkeys with jetpacks, giant robots, and lots of other mighty aliens to the two-dimensional console battlefield. Combining classic platforming-action with modern… Expand;7 ;Strategy,Real-Time,MOBA
LASER LEAGUE;81;7.3;Xbox One;505 Games;roll7;May 10, 2018;Blink and you are dead! LASER LEAGUE is the new last-word in high-speed, future-sports team action. Battle against the opposition for control of nodes that bathe the arena in deadly light. Evade rival coloured beams, and fry your opponents with speed, strength and strategy.;11 ;Sports,Team,Futuristic
PROJECT CARS;81;5.7;Xbox One;Bandai Namco Games;Slightly Mad Studios;May 12, 2015;Create a driver, pick from a variety of motorsports, and shift into high gear to chase a number of Historic Goals and ultimate recognition in the Hall Of Fame. Then test your skills online either in competitive fully-loaded race weekends, leaderboard-based time challenges, or… Expand;16 ;Driving,Racing,Simulation,General,Automobile
NEON ABYSS;81;6.7;Xbox One;Team17;Veewo Games;Jul 14, 2020;Neon Abyss is a frantic, roguelite action-platformer where you run ‘n’ gun your way into the Abyss. Featuring unlimited item synergies and a unique dungeon evolution system, each run diversifies the experience and every choice alters the ruleset.;7 ;Action,Platformer,2D
GENESIS NOIR;81;7.2;Xbox One;Surprise Attack ;Feral Cat Den;Mar 26, 2021;Genesis Noir is an adventure game with an emphasis on exploration, simple interactions, and generative art.;7 ;Adventure,General,Point-and-Click
VALIANT HEARTS: THE GREAT WAR;81;8.1;Xbox One;Ubisoft;Ubisoft Montpellier;Jun 25, 2014;The story of crossed destinies and a broken love in a world torn apart. All of them will try to survive the horror of the trenches following their faithful canine companion. In Valiant Hearts: The Great War, the lives of all these characters are inextricably drawn together over the course of… Expand;16 ;Platformer,2D,Action,Platformer,2D
MALDITA CASTILLA EX: CURSED CASTILLA;81;7.6;Xbox One;Abylight;Locomalito;Jul 20, 2016;The tears of a young witch have been turned by a demon into a key that opens up a gateway for the evil in this world. The King Alfonso VI of León has assembled his loyal knights to get to Tolomera del Rey and finish the nightmare using the power of the Witch’s tears. Banish the zombies and… Expand;12 ;Action,Platformer,2D
REMNANT: FROM THE ASHES;81;7.2;Xbox One;Perfect World Entertainment;Gunfire Games;Aug 20, 2019;The world has been thrown into chaos by an ancient evil from another dimension. As one of the last remnants of humanity, you must set out alone or alongside up to two other survivors to face down hordes of deadly enemies to try to carve a foothold, rebuild, and retake what was lost.;13 ;Action,Shooter,Third-Person,Arcade
