IT TAKES TWO;89;8.6;Xbox Series X;Electronic Arts;Hazelight;Mar 26, 2021;From Hazelight comes It Takes Two an innovative co-op adventure where uniquely varied gameplay and emotional storytelling intertwine in a fantastical journey. Founded to push the creative boundaries of what's possible in games, Hazelight is the award-winning studio behind the critically… Expand;32 ;Action Adventure,Linear
TONY HAWK'S PRO SKATER 1 + 2;89;5.0;Xbox Series X;Activision;Vicarious Visions;Mar 26, 2021;Drop back in with the most iconic skateboarding games ever made. Play Tony Hawk's Pro Skater & Tony Hawk's Pro Skater 2 in one epic collection, rebuilt from the ground up in incredible HD. All the pro skaters, levels and tricks are back and fully-remastered, plus more.;8 ;Sports,Individual,Skate / Skateboard
TETRIS EFFECT: CONNECTED;88;7.5;Xbox Series X;Enhance Games;Monstars Inc.;Nov 10, 2020;Tetris® Effect: Connected adds an all-new robust multiplayer expansion to the huge variety of addictive and innovative single-player modes that Tetris Effect is known for with all-new co-op and competitive online and local multiplayer modes. Tetris Effect is Tetris® like you've never seen… Expand;25 ;Puzzle,Stacking
HITMAN 3;87;8.1;Xbox Series X;Io Interactive;Io Interactive;Jan 20, 2021;Death AwaitsHITMAN 3 is the dramatic conclusion to the World of Assassination trilogy and takes players around the world on a globetrotting adventure to sprawling sandbox locations. Agent 47 returns as a ruthless professional for the most important contracts of his entire career.… Expand;33 ;Action Adventure,General
JUDGMENT;85;8.8;Xbox Series X;Sega;Ryu ga Gotoku Studios;Apr 23, 2021;From the makers of the acclaimed Yakuza series, Ryu Ga Gotoku Studio, Judgment is the dramatic tale of a disgraced lawyer seeking redemption in a world rife with corruption and despair. Investigate the seedy Red Light District of Kamurocho by stepping into the mind of private detective… Expand;13 ;Action Adventure,Open-World
DEVIL MAY CRY 5: SPECIAL EDITION;84;7.4;Xbox Series X;Capcom;Capcom;Nov 10, 2020;Devil May Cry is back. The legendary stylish action game is better than ever in the ultimate version of this multi-award winning hit.New features: - New playable character - Dante's brother and arch-rival, Vergil - Legendary Dark Knight mode - an extremely challenging horde mode… Expand;11 ;Action Adventure,General
PLANET COASTER: CONSOLE EDITION;84;5.0;Xbox Series X;Frontier Developments ;Frontier Developments;Nov 10, 2020;Welcome to a new era in coaster park simulation! Bring your ideas to life with easy-to-use tools, manage all aspects of your expanding empire, and harness the world’s best creations from an endlessly creative community in the Frontier Workshop.;7 ;Strategy,Management,Business / Tycoon
ASSASSIN'S CREED VALHALLA;84;7.9;Xbox Series X;Ubisoft;Ubisoft Montreal;Nov 10, 2020;Build your own Viking Legend. Become Eivor, a Viking raider raised to be a fearless warrior, and lead your clan from icy desolation in Norway to a new home amid the lush farmlands of ninth-century England. Find your settlement and conquer this hostile land by any means to earn a place in… Expand;45 ;Action Adventure,Open-World
SUBNAUTICA: BELOW ZERO;84;8.4;Xbox Series X;Bandai Namco Games ;Unknown Worlds Entertainment;May 14, 2021;Below Zero is an underwater adventure game set on an alien ocean world. It is a new chapter in the Subnautica universe and developed by Unknown Worlds. Return to planet 4546B. Dive into a freezing underwater adventure. Below Zero is set in an arctic region of planet 4546B. As a scientist… Expand;11 ;Adventure,General,Action Adventure,Sandbox
RESIDENT EVIL VILLAGE;83;8.7;Xbox Series X;Capcom;Capcom;May 7, 2021;The next generation of survival horror rises in the form of Resident Evil Village, the eighth major entry in the Resident Evil series. With ultra-realistic graphics powered by the RE Engine, fight for survival as danger lurks around every corner. Years after the tragic events of Resident… Expand;13 ;Action Adventure,Survival
YAKUZA: LIKE A DRAGON;83;8.2;Xbox Series X;Sega;Ryu ga Gotoku Studios;Nov 10, 2020;Become Ichiban Kasuga, a low-ranking yakuza grunt left on the brink of death by the man he trusted most. Take up your legendary bat and get ready to crack some underworld skulls in dynamic RPG combat set against the backdrop of modern-day Japan.;24 ;Role-Playing,Japanese-Style
