Red Dead Redemption 2,97,7.9,Xbox One,October 26, 2018,/game/xbox-one/red-dead-redemption-2,https://static.metacritic.com/images/products/games/9/24fbb5ce1d84f499b1fb0cf2c483287c-98.jpg
Grand Theft Auto V,97,7.9,Xbox One,November 18, 2014,/game/xbox-one/grand-theft-auto-v,https://static.metacritic.com/images/products/games/1/7f10462040718b3054c52f7791cf1c77-98.jpg
Metal Gear Solid V: The Phantom Pain,95,7.5,Xbox One,September 1, 2015,/game/xbox-one/metal-gear-solid-v-the-phantom-pain,https://static.metacritic.com/images/products/games/6/b6604eade078dd9167f2ed683a00fb62-98.jpg
Celeste,94,7.3,Xbox One,January 26, 2018,/game/xbox-one/celeste,https://static.metacritic.com/images/products/games/7/c2d4b3e49ee25930e854dcd662411520-98.jpg
Resident Evil 2,93,8.6,Xbox One,January 25, 2019,/game/xbox-one/resident-evil-2,https://static.metacritic.com/images/products/games/7/f40eafe48991fcaf2568b9795370089e-98.jpg
INSIDE,93,8.3,Xbox One,June 29, 2016,/game/xbox-one/inside,https://static.metacritic.com/images/products/games/1/b86322ec046780c594fda1702961ed0f-98.jpg
Forza Horizon 4,92,8.2,Xbox One,September 28, 2018,/game/xbox-one/forza-horizon-4,https://static.metacritic.com/images/products/games/8/e68ca0b7fdc8a0c3dd2df6792d8fd986-98.jpg
Divinity: Original Sin II - Definitive Edition,92,7.7,Xbox One,August 31, 2018,/game/xbox-one/divinity-original-sin-ii---definitive-edition,https://static.metacritic.com/images/products/games/1/bafa8d1fe71c5113d8313e407174d5e2-98.jpg
What Remains of Edith Finch,92,7.8,Xbox One,July 19, 2017,/game/xbox-one/what-remains-of-edith-finch,https://static.metacritic.com/images/products/games/2/87de43eaf2f4e07dff482aedd847676a-98.jpg
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,92,8.5,Xbox One,December 4, 2020,/game/xbox-one/dragon-quest-xi-s-echoes-of-an-elusive-age---definitive-edition,https://static.metacritic.com/images/products/games/9/1725e1443242215681efde81b68e293b-98.jpg
The Witcher 3: Wild Hunt,91,9.2,Xbox One,May 19, 2015,/game/xbox-one/the-witcher-3-wild-hunt,https://static.metacritic.com/images/products/games/6/125517eba511f72aba84a3d7a47a798c-98.jpg
Overwatch,91,5.9,Xbox One,May 23, 2016,/game/xbox-one/overwatch,https://static.metacritic.com/images/products/games/7/8e6e4fc6afce19f84603b1697bd7477e-98.jpg
Sekiro: Shadows Die Twice,91,8.0,Xbox One,March 22, 2019,/game/xbox-one/sekiro-shadows-die-twice,https://static.metacritic.com/images/products/games/5/0c9d4f0c2fe7df0dcdccd6541ffe8944-98.jpg
Forza Horizon 3,91,8.0,Xbox One,September 23, 2016,/game/xbox-one/forza-horizon-3,https://static.metacritic.com/images/products/games/7/54e778c0e3754fadc76bf8ec565130d6-98.jpg
Dead Cells,91,8.0,Xbox One,August 7, 2018,/game/xbox-one/dead-cells,https://static.metacritic.com/images/products/games/2/b4007446116f1fca84ea81022006ad84-98.jpg
F1 2020,91,7.3,Xbox One,July 10, 2020,/game/xbox-one/f1-2020,https://static.metacritic.com/images/products/games/1/c623b8eafe8fe931793e7f004b663b86-98.jpg
Monster Hunter: World - Iceborne,90,8.2,Xbox One,September 6, 2019,/game/xbox-one/monster-hunter-world---iceborne,https://static.metacritic.com/images/products/games/1/a42bd2f0338dd5871fdb5c4e2c1fbc84-98.jpg
NieR: Automata - Become as Gods Edition,90,9.0,Xbox One,June 26, 2018,/game/xbox-one/nier-automata---become-as-gods-edition,https://static.metacritic.com/images/products/games/5/3eb7cdf2f8fa540522cccd9e9e99d7c8-98.jpg
Monster Hunter: World,90,7.1,Xbox One,January 26, 2018,/game/xbox-one/monster-hunter-world,https://static.metacritic.com/images/products/games/9/389146338b6fb19854c933c8cf407455-98.jpg
Ori and the Will of the Wisps,90,8.8,Xbox One,March 11, 2020,/game/xbox-one/ori-and-the-will-of-the-wisps,https://static.metacritic.com/images/products/games/9/219ace008faa25de2f1fa5c37a0d6486-98.jpg
NBA 2K17,90,6.0,Xbox One,September 16, 2016,/game/xbox-one/nba-2k17,https://static.metacritic.com/images/products/games/6/456c7e872e9d2195a9553a7f2b69231c-98.jpg
Yakuza 0,90,8.0,Xbox One,February 26, 2020,/game/xbox-one/yakuza-0,https://static.metacritic.com/images/products/games/6/1b26b8df9dcfdf60c6f51c4f8216404d-98.jpg
Yakuza: Like a Dragon,89,8.9,Xbox One,November 10, 2020,/game/xbox-one/yakuza-like-a-dragon,https://static.metacritic.com/images/products/games/9/85bd3378ac8d818e8839a86287a9f8a2-98.jpg
F1 2019,89,6.8,Xbox One,June 25, 2019,/game/xbox-one/f1-2019,https://static.metacritic.com/images/products/games/2/87ca7080375e36227e25293ef45aea09-98.jpg
Dark Souls II: Scholar of the First Sin,89,7.7,Xbox One,April 7, 2015,/game/xbox-one/dark-souls-ii-scholar-of-the-first-sin,https://static.metacritic.com/images/products/games/1/d77105c24162e419f6359fad4e8a3885-98.jpg
Mass Effect Legendary Edition,89,6.5,Xbox One,May 14, 2021,/game/xbox-one/mass-effect-legendary-edition,https://static.metacritic.com/images/products/games/5/5003fedde2ea2c2a491cec55b9d6e2f0-98.jpg
Stardew Valley,89,7.8,Xbox One,December 14, 2016,/game/xbox-one/stardew-valley,https://static.metacritic.com/images/products/games/4/c950466e06b155009de1f0dc84bc951f-98.jpg
Destiny: The Taken King,89,5.3,Xbox One,September 15, 2015,/game/xbox-one/destiny-the-taken-king,https://static.metacritic.com/images/products/games/2/721690b21a50edc2f69b3ab11b6c0cab-98.jpg
Injustice 2,89,8.1,Xbox One,May 16, 2017,/game/xbox-one/injustice-2,https://static.metacritic.com/images/products/games/7/3797833ce61489388f8a8f521439b556-98.jpg
Fallout 4,88,6.5,Xbox One,November 10, 2015,/game/xbox-one/fallout-4,https://static.metacritic.com/images/products/games/8/e5ab8d808956ca18bc20ffb921979f40-98.jpg
N++,88,5.5,Xbox One,October 4, 2017,/game/xbox-one/n++,https://static.metacritic.com/images/products/games/1/78dae51f9755c5a169841acc51e8b6ec-98.jpg
Wolfenstein II: The New Colossus,88,6.5,Xbox One,October 27, 2017,/game/xbox-one/wolfenstein-ii-the-new-colossus,https://static.metacritic.com/images/products/games/1/18964bda038a02f7b758781fcfee2326-98.jpg
Divinity: Original Sin Enhanced Edition,88,7.7,Xbox One,October 27, 2015,/game/xbox-one/divinity-original-sin-enhanced-edition,https://static.metacritic.com/images/products/games/5/d1f2fa0e5af5fabf2023f78be115b7f0-98.jpg
FIFA 14,88,5.8,Xbox One,November 19, 2013,/game/xbox-one/fifa-14,https://static.metacritic.com/images/products/games/0/582932037740b6dfc9b7faadfdb21356-98.jpg
Ori and the Blind Forest: Definitive Edition,88,8.1,Xbox One,March 11, 2016,/game/xbox-one/ori-and-the-blind-forest-definitive-edition,https://static.metacritic.com/images/products/games/3/f4be962d47f78b99090a0fd779f135ad-98.jpg
Dishonored 2,88,7.5,Xbox One,November 10, 2016,/game/xbox-one/dishonored-2,https://static.metacritic.com/images/products/games/5/dd750d44abf361b6d64136986a20bcd9-98.jpg
The Banner Saga 3,88,7.4,Xbox One,July 26, 2018,/game/xbox-one/the-banner-saga-3,https://static.metacritic.com/images/products/games/9/b5266e0d4541afc3f2536497a2e56f6e-98.jpg
DOOM Eternal,88,9.0,Xbox One,March 19, 2020,/game/xbox-one/doom-eternal,https://static.metacritic.com/images/products/games/5/e2edd6022f418bf951ba01b19458eb65-98.jpg
Tony Hawk's Pro Skater 1 + 2,88,7.8,Xbox One,September 4, 2020,/game/xbox-one/tony-hawks-pro-skater-1-+-2,https://static.metacritic.com/images/products/games/1/12d3fd1f4dd7b0f58c11a18952083b46-98.jpg
Minecraft: Xbox One Edition,88,7.2,Xbox One,November 18, 2014,/game/xbox-one/minecraft-xbox-one-edition,https://static.metacritic.com/images/products/games/1/54a58d8388bafd7e3248324cb64cda41-98.jpg
Guacamelee! Super Turbo Championship Edition,88,7.0,Xbox One,July 2, 2014,/game/xbox-one/guacamelee!-super-turbo-championship-edition,https://static.metacritic.com/images/products/games/1/a1a4e13424619792c8c1860138e98039-98.jpg
Ori and the Blind Forest,88,8.6,Xbox One,March 11, 2015,/game/xbox-one/ori-and-the-blind-forest,https://static.metacritic.com/images/products/games/0/350b56823429739e914c1e0da9f8f59c-98.jpg
Apex Legends,88,6.8,Xbox One,February 4, 2019,/game/xbox-one/apex-legends,https://static.metacritic.com/images/products/games/2/68650e329d74f0d2074148ccc07b1163-98.jpg
Hellblade: Senua's Sacrifice,88,7.9,Xbox One,April 11, 2018,/game/xbox-one/hellblade-senuas-sacrifice,https://static.metacritic.com/images/products/games/1/0728fad0f426fc8eb7dc9752a105a0b8-98.jpg
Devil May Cry 5,87,7.6,Xbox One,March 8, 2019,/game/xbox-one/devil-may-cry-5,https://static.metacritic.com/images/products/games/7/b8caf80845e2c635ce3054a241021f1a-98.jpg
Middle-earth: Shadow of Mordor,87,7.9,Xbox One,September 30, 2014,/game/xbox-one/middle-earth-shadow-of-mordor,https://static.metacritic.com/images/products/games/9/366dc928fc0878ce3a40a126ebb0cf13-98.jpg
DOOM,87,8.5,Xbox One,May 13, 2016,/game/xbox-one/doom,https://static.metacritic.com/images/products/games/3/6f10b9a6a37276f25667077fefc251b0-98.jpg
Battlefield 1,87,7.6,Xbox One,October 18, 2016,/game/xbox-one/battlefield-1,https://static.metacritic.com/images/products/games/2/a266966a3f5f45a8da3ce0bfb6b06c22-98.jpg
Dark Souls III,87,8.6,Xbox One,April 12, 2016,/game/xbox-one/dark-souls-iii,https://static.metacritic.com/images/products/games/3/1c85bae45b1d549c2c22ae0780106bc5-98.jpg
Yakuza 6: The Song of Life,87,8.1,Xbox One,March 25, 2021,/game/xbox-one/yakuza-6-the-song-of-life,https://static.metacritic.com/images/products/games/5/0069076c342c882b43cc76692f71cc27-98.jpg
Assassin's Creed Odyssey,87,6.2,Xbox One,October 2, 2018,/game/xbox-one/assassins-creed-odyssey,https://static.metacritic.com/images/products/games/9/a482ef1d5578b034141a141198a058ec-98.jpg
Forza Motorsport 6,87,7.7,Xbox One,September 15, 2015,/game/xbox-one/forza-motorsport-6,https://static.metacritic.com/images/products/games/6/8a6cb38b3282ebcb961abd0b40892a03-98.jpg
Rocket League,87,8.0,Xbox One,February 17, 2016,/game/xbox-one/rocket-league,https://static.metacritic.com/images/products/games/1/7f873c4abe8ecbe7e30143990f93a04a-98.jpg
Kentucky Route Zero: TV Edition,87,6.1,Xbox One,January 28, 2020,/game/xbox-one/kentucky-route-zero-tv-edition,https://static.metacritic.com/images/products/games/8/6af7ce78618dba784269787232b74e1c-98.jpg
Pro Evolution Soccer 2017,87,6.0,Xbox One,September 13, 2016,/game/xbox-one/pro-evolution-soccer-2017,https://static.metacritic.com/images/products/games/6/9c561d3cddcff38b8f385450382edbd2-98.jpg
Titanfall 2,87,8.4,Xbox One,October 28, 2016,/game/xbox-one/titanfall-2,https://static.metacritic.com/images/products/games/1/8ce66d6bf1274d3cd409a2c9b24b88f4-98.jpg
Huntdown,87,5.4,Xbox One,May 12, 2020,/game/xbox-one/huntdown,https://static.metacritic.com/images/products/games/8/83ffaa5681c54e95e7bdd9fcb2bad430-98.jpg
Destiny 2,87,4.5,Xbox One,September 6, 2017,/game/xbox-one/destiny-2,https://static.metacritic.com/images/products/games/5/545393e533fe4ec4c665ef5f17e10272-98.jpg
Forza Horizon 3: Blizzard Mountain,87,7.7,Xbox One,December 13, 2016,/game/xbox-one/forza-horizon-3-blizzard-mountain,https://static.metacritic.com/images/products/games/8/759eaf614f3940479acbd71e51a6f425-98.jpg
XCOM 2,87,7.6,Xbox One,September 27, 2016,/game/xbox-one/xcom-2,https://static.metacritic.com/images/products/games/8/b39da50f15e510d93a69fb62145eca3b-98.jpg
Forza Horizon 3: Hot Wheels,87,7.7,Xbox One,May 9, 2017,/game/xbox-one/forza-horizon-3-hot-wheels,https://static.metacritic.com/images/products/games/6/f75ef6d591e38e3a1e49247a985ce272-98.jpg
Okami HD,87,8.4,Xbox One,December 12, 2017,/game/xbox-one/okami-hd,https://static.metacritic.com/images/products/games/8/c6a4d323290382930190eb2d478dbce2-98.jpg
Thumper,86,5.5,Xbox One,August 18, 2017,/game/xbox-one/thumper,https://static.metacritic.com/images/products/games/7/c3d6f9b59d4945726db2c2bd2b697551-98.jpg
The Witness,86,7.0,Xbox One,September 13, 2016,/game/xbox-one/the-witness,https://static.metacritic.com/images/products/games/6/36e5be2ec84133873f3ea3005ca33efa-98.jpg
DiRT Rally,86,7.9,Xbox One,April 5, 2016,/game/xbox-one/dirt-rally,https://static.metacritic.com/images/products/games/6/a1f6f9ca6c54f3afd00465790977d2c6-98.jpg
