The Legend of Zelda: Breath of the Wild,97,8.7,Switch,March 3, 2017
Super Mario Odyssey,97,8.9,Platform: Switch,October 27, 2017
Divinity: Original Sin II - Definitive Edition,93,8.5,Platform: Switch,September 4, 2019
Hades,93,9.0,Platform: Switch,September 17, 2020
Ori and the Will of the Wisps,93,8.8,Platform: Switch,September 17, 2020
Undertale,93,8.1,Platform: Switch,September 18, 2018
Super Smash Bros. Ultimate,93,8.7,Platform: Switch,December 7, 2018
Celeste,92,8.6,Platform: Switch,January 25, 2018
Bayonetta 2,92,8.5,Platform: Switch,February 16, 2018
Mario Kart 8 Deluxe,92,8.6,Platform: Switch,April 28, 2017
INSIDE,91,8.6,Platform: Switch,June 28, 2018
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,91,8.9,Platform: Switch,September 27, 2019
Sonic Mania Plus,91,8.1,Platform: Switch,July 17, 2018
SteamWorld Heist: Ultimate Edition,91,8.4,Platform: Switch,December 28, 2017
Shovel Knight: Treasure Trove,91,8.2,Platform: Switch,March 3, 2017
Animal Crossing: New Horizons,90,5.5,Platform: Switch,March 20, 2020
Ori and the Blind Forest: Definitive Edition,90,8.6,Platform: Switch,September 27, 2019
Bastion,90,7.7,Platform: Switch,September 13, 2018
Hollow Knight,90,9.0,Platform: Switch,June 12, 2018
Bayonetta + Bayonetta 2,90,8.7,Platform: Switch,February 16, 2018
Xenoblade Chronicles: Definitive Edition,89,8.9,Platform: Switch,May 29, 2020
Dead Cells,89,8.4,Platform: Switch,August 7, 2018
Into the Breach,89,7.9,Platform: Switch,August 28, 2018
Super Mario 3D World + Bowser's Fury,89,8.5,Platform: Switch,February 12, 2021
Fire Emblem: Three Houses,89,8.9,Platform: Switch,July 26, 2019
Fez,89,6.5,Platform: Switch,April 14, 2021
Okami HD,89,8.5,Platform: Switch,August 9, 2018
A Short Hike,88,8.7,Platform: Switch,August 18, 2020
Hyper Light Drifter,88,7.8,Platform: Switch,September 6, 2018
What Remains of Edith Finch,88,7.8,Platform: Switch,July 4, 2019
Super Mario Maker 2,88,8.5,Platform: Switch,June 28, 2019
Downwell,88,7.3,Platform: Switch,January 31, 2019
Diablo III: Eternal Collection,88,7.6,Platform: Switch,November 2, 2018
Monster Hunter Rise,88,9.1,Platform: Switch,March 26, 2021
SteamWorld Dig 2,88,8.6,Platform: Switch,September 21, 2017
Ikaruga,88,7.7,Platform: Switch,May 29, 2018
Cave Story +,88,7.9,Platform: Switch,June 20, 2017
Stardew Valley,87,8.7,Platform: Switch,October 5, 2017
Cuphead,87,8.3,Platform: Switch,April 17, 2019
Astral Chain,87,8.9,Platform: Switch,August 30, 2019
Dragon Ball FighterZ,87,7.8,Platform: Switch,September 28, 2018
Kentucky Route Zero: TV Edition,87,7.3,Platform: Switch,January 28, 2020
Guacamelee! 2,87,8.4,Platform: Switch,December 10, 2018
Enter the Gungeon,87,8.0,Platform: Switch,December 14, 2017
The Legend of Zelda: Link's Awakening,87,8.4,Platform: Switch,September 20, 2019
Super Mega Baseball 3,87,7.8,Platform: Switch,May 13, 2020
There is no game : Wrong dimension,87,6.9,Platform: Switch,April 14, 2021
Axiom Verge,87,8.4,Platform: Switch,October 5, 2017
Grindstone,87,7.9,Platform: Switch,December 15, 2020
Katamari Damacy REROLL,87,8.3,Platform: Switch,December 7, 2018
Owlboy,87,7.3,Platform: Switch,February 13, 2018
Velocity 2X,87,8.0,Platform: Switch,September 20, 2018
Streets of Rage 4,87,8.5,Platform: Switch,April 30, 2020
Iconoclasts,87,8.1,Platform: Switch,August 2, 2018
Rocket League,86,7.8,Platform: Switch,November 14, 2017
The Messenger,86,8.4,Platform: Switch,August 30, 2018
Donkey Kong Country: Tropical Freeze,86,8.6,Platform: Switch,May 4, 2018
Monster Boy and the Cursed Kingdom,86,8.3,Platform: Switch,December 4, 2018
Transistor,86,8.3,Platform: Switch,November 1, 2018
Minecraft,86,7.5,Platform: Switch,June 21, 2018
Shantae and the Pirate's Curse,86,8.2,Platform: Switch,March 20, 2018
Guacamelee! Super Turbo Championship Edition,86,8.2,Platform: Switch,October 8, 2018
Star Wars Pinball,86,7.2,Platform: Switch,September 13, 2019
AI: The Somnium Files,86,8.8,Platform: Switch,September 17, 2019
Sid Meier's Civilization VI,86,7.7,Platform: Switch,November 16, 2018
Crypt of the NecroDancer: Nintendo Switch Edition,86,7.2,Platform: Switch,February 1, 2018
Warframe,86,8.3,Platform: Switch,November 20, 2018
Luigi's Mansion 3,86,8.5,Platform: Switch,October 31, 2019
Assault Android Cactus+,86,8.4,Platform: Switch,March 8, 2019
Huntdown,86,8.4,Platform: Switch,May 12, 2020
BlazBlue: Central Fiction - Special Edition,86,8.5,Platform: Switch,February 7, 2019
Sonic Mania,86,8.4,Platform: Switch,August 15, 2017
Mini Metro,86,8.4,Platform: Switch,August 30, 2018
Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda,85,8.1,Platform: Switch,June 13, 2019
Thumper,85,8.1,Platform: Switch,May 18, 2017
Blaster Master Zero II,85,8.5,Platform: Switch,March 20, 2019
Final Fantasy XII: The Zodiac Age,85,8.6,Platform: Switch,April 30, 2019
Slay the Spire,85,8.4,Platform: Switch,June 6, 2019
Bug Fables: The Everlasting Sapling,85,8.4,Platform: Switch,May 28, 2020
Night in the Woods,85,7.5,Platform: Switch,February 1, 2018
The Binding of Isaac: Afterbirth +,85,8.3,Platform: Switch,March 17, 2017
Pikmin 3 Deluxe,85,8.4,Platform: Switch,October 30, 2020
The Witcher 3: Wild Hunt - Complete Edition,85,8.5,Platform: Switch,October 15, 2019
Two Point Hospital,85,8.1,Platform: Switch,February 25, 2020
Dragon Quest Builders 2,85,8.3,Platform: Switch,July 12, 2019
Heroes of Hammerwatch - Ultimate Edition,85,7.3,Platform: Switch,July 29, 2020
West of Loathing,85,8.0,Platform: Switch,May 31, 2018
Tangle Tower,85,8.2,Platform: Switch,October 22, 2019
Steins;Gate Elite,85,7.8,Platform: Switch,February 19, 2019
Darkest Dungeon,85,8.0,Platform: Switch,January 18, 2018
Mutant Mudds Collection,85,8.3,Platform: Switch,December 14, 2017
NeuroVoider,85,8.0,Platform: Switch,September 7, 2017
Final Fantasy X / X-2 HD Remaster,85,7.6,Platform: Switch,April 16, 2019
Mario + Rabbids: Kingdom Battle,85,8.4,Platform: Switch,August 29, 2017
Disgaea 4 Complete+,85,7.2,Platform: Switch,October 29, 2019
Keep Talking and Nobody Explodes,84,7.9,Platform: Switch,August 16, 2018
Shantae: Half-Genie Hero - Ultimate Edition,84,8.2,Platform: Switch,May 8, 2018
Lonely Mountains: Downhill,84,7.4,Platform: Switch,May 7, 2020
Thronebreaker: The Witcher Tales,84,7.7,Platform: Switch,January 28, 2020
Valkyria Chronicles,84,8.7,Platform: Switch,October 16, 2018
