Red Dead Redemption 2,97,7.9,Xbox One,October 26, 2018
Grand Theft Auto V,97,7.9,Platform: Xbox One,November 18, 2014
Metal Gear Solid V: The Phantom Pain,95,7.5,Platform: Xbox One,September 1, 2015
Celeste,94,7.3,Platform: Xbox One,January 26, 2018
Resident Evil 2,93,8.6,Platform: Xbox One,January 25, 2019
INSIDE,93,8.3,Platform: Xbox One,June 29, 2016
Forza Horizon 4,92,8.2,Platform: Xbox One,September 28, 2018
Divinity: Original Sin II - Definitive Edition,92,7.7,Platform: Xbox One,August 31, 2018
What Remains of Edith Finch,92,7.8,Platform: Xbox One,July 19, 2017
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,92,8.5,Platform: Xbox One,December 4, 2020
The Witcher 3: Wild Hunt,91,9.2,Platform: Xbox One,May 19, 2015
Overwatch,91,5.9,Platform: Xbox One,May 23, 2016
Sekiro: Shadows Die Twice,91,8.0,Platform: Xbox One,March 22, 2019
Forza Horizon 3,91,8.0,Platform: Xbox One,September 23, 2016
Dead Cells,91,8.0,Platform: Xbox One,August 7, 2018
F1 2020,91,7.3,Platform: Xbox One,July 10, 2020
Monster Hunter: World - Iceborne,90,8.2,Platform: Xbox One,September 6, 2019
NieR: Automata - Become as Gods Edition,90,9.0,Platform: Xbox One,June 26, 2018
Monster Hunter: World,90,7.1,Platform: Xbox One,January 26, 2018
Ori and the Will of the Wisps,90,8.8,Platform: Xbox One,March 11, 2020
NBA 2K17,90,6.0,Platform: Xbox One,September 16, 2016
Yakuza 0,90,8.0,Platform: Xbox One,February 26, 2020
Yakuza: Like a Dragon,89,8.9,Platform: Xbox One,November 10, 2020
F1 2019,89,6.8,Platform: Xbox One,June 25, 2019
Dark Souls II: Scholar of the First Sin,89,7.7,Platform: Xbox One,April 7, 2015
Mass Effect Legendary Edition,89,6.5,Platform: Xbox One,May 14, 2021
Stardew Valley,89,7.8,Platform: Xbox One,December 14, 2016
Destiny: The Taken King,89,5.3,Platform: Xbox One,September 15, 2015
Injustice 2,89,8.1,Platform: Xbox One,May 16, 2017
Fallout 4,88,6.5,Platform: Xbox One,November 10, 2015
N++,88,5.5,Platform: Xbox One,October 4, 2017
Wolfenstein II: The New Colossus,88,6.5,Platform: Xbox One,October 27, 2017
Divinity: Original Sin Enhanced Edition,88,7.7,Platform: Xbox One,October 27, 2015
FIFA 14,88,5.8,Platform: Xbox One,November 19, 2013
Ori and the Blind Forest: Definitive Edition,88,8.1,Platform: Xbox One,March 11, 2016
Dishonored 2,88,7.5,Platform: Xbox One,November 10, 2016
The Banner Saga 3,88,7.4,Platform: Xbox One,July 26, 2018
DOOM Eternal,88,9.0,Platform: Xbox One,March 19, 2020
Tony Hawk's Pro Skater 1 + 2,88,7.8,Platform: Xbox One,September 4, 2020
Minecraft: Xbox One Edition,88,7.2,Platform: Xbox One,November 18, 2014
Guacamelee! Super Turbo Championship Edition,88,7.0,Platform: Xbox One,July 2, 2014
Ori and the Blind Forest,88,8.6,Platform: Xbox One,March 11, 2015
Apex Legends,88,6.8,Platform: Xbox One,February 4, 2019
Hellblade: Senua's Sacrifice,88,7.9,Platform: Xbox One,April 11, 2018
Devil May Cry 5,87,7.6,Platform: Xbox One,March 8, 2019
Middle-earth: Shadow of Mordor,87,7.9,Platform: Xbox One,September 30, 2014
DOOM,87,8.5,Platform: Xbox One,May 13, 2016
Battlefield 1,87,7.6,Platform: Xbox One,October 18, 2016
Dark Souls III,87,8.6,Platform: Xbox One,April 12, 2016
Yakuza 6: The Song of Life,87,8.1,Platform: Xbox One,March 25, 2021
Assassin's Creed Odyssey,87,6.2,Platform: Xbox One,October 2, 2018
Forza Motorsport 6,87,7.7,Platform: Xbox One,September 15, 2015
Rocket League,87,8.0,Platform: Xbox One,February 17, 2016
Kentucky Route Zero: TV Edition,87,6.1,Platform: Xbox One,January 28, 2020
Pro Evolution Soccer 2017,87,6.0,Platform: Xbox One,September 13, 2016
Titanfall 2,87,8.4,Platform: Xbox One,October 28, 2016
Huntdown,87,5.4,Platform: Xbox One,May 12, 2020
Destiny 2,87,4.5,Platform: Xbox One,September 6, 2017
Forza Horizon 3: Blizzard Mountain,87,7.7,Platform: Xbox One,December 13, 2016
XCOM 2,87,7.6,Platform: Xbox One,September 27, 2016
Forza Horizon 3: Hot Wheels,87,7.7,Platform: Xbox One,May 9, 2017
Okami HD,87,8.4,Platform: Xbox One,December 12, 2017
Thumper,86,5.5,Platform: Xbox One,August 18, 2017
The Witness,86,7.0,Platform: Xbox One,September 13, 2016
DiRT Rally,86,7.9,Platform: Xbox One,April 5, 2016
Sid Meier's Civilization VI,86,7.1,Platform: Xbox One,November 22, 2019
Cuphead,86,8.4,Platform: Xbox One,September 29, 2017
Killer Instinct Season 3,86,6.6,Platform: Xbox One,March 29, 2016
Pillars of Eternity: Complete Edition,86,7.7,Platform: Xbox One,August 29, 2017
Shovel Knight,86,7.5,Platform: Xbox One,April 21, 2015
NBA 2K14,86,5.7,Platform: Xbox One,November 12, 2013
DmC: Devil May Cry Definitive Edition,86,8.0,Platform: Xbox One,March 10, 2015
Sky Force Reloaded,86,7.0,Platform: Xbox One,December 1, 2017
NBA 2K16,86,6.2,Platform: Xbox One,September 25, 2015
Titanfall,86,6.7,Platform: Xbox One,March 11, 2014
Diablo III: Ultimate Evil Edition,86,7.8,Platform: Xbox One,August 19, 2014
Resident Evil 7: biohazard,86,7.9,Platform: Xbox One,January 24, 2017
Dragon Ball FighterZ,86,7.8,Platform: Xbox One,January 26, 2018
Destiny 2: Forsaken,86,5.5,Platform: Xbox One,September 4, 2018
Mortal Kombat 11,86,3.3,Platform: Xbox One,April 23, 2019
Tomb Raider: Definitive Edition,86,7.8,Platform: Xbox One,January 28, 2014
Rise of the Tomb Raider,86,8.0,Platform: Xbox One,November 10, 2015
Forza Horizon 2,86,8.3,Platform: Xbox One,September 30, 2014
Observer,86,7.7,Platform: Xbox One,August 15, 2017
Dying Light: The Following,86,8.1,Platform: Xbox One,February 9, 2016
DiRT 4,86,6.7,Platform: Xbox One,June 6, 2017
Forza Motorsport 7,86,6.3,Platform: Xbox One,September 29, 2017
Mortal Kombat X,86,7.5,Platform: Xbox One,April 14, 2015
Dark Souls Remastered,86,7.7,Platform: Xbox One,May 25, 2018
NHL 20,85,4.1,Platform: Xbox One,September 10, 2019
Thronebreaker: The Witcher Tales,85,7.2,Platform: Xbox One,December 4, 2018
Firewatch,85,5.1,Platform: Xbox One,September 21, 2016
Guacamelee! 2,85,6.5,Platform: Xbox One,January 18, 2019
Call of Duty: Black Ops 4,85,4.1,Platform: Xbox One,October 12, 2018
Batman: Arkham Knight,85,7.1,Platform: Xbox One,June 23, 2015
Assassin's Creed Origins,85,7.6,Platform: Xbox One,October 27, 2017
Dragon Age: Inquisition,85,7.0,Platform: Xbox One,November 18, 2014
Planet Coaster: Console Edition,85,7.6,Platform: Xbox One,November 10, 2020
The Outer Worlds,85,8.1,Platform: Xbox One,October 25, 2019
F1 2016,85,7.9,Platform: Xbox One,August 19, 2016
