The Legend of Zelda: Ocarina of Time 3D,94,9.0,3DS,June 19, 2011,/game/3ds/the-legend-of-zelda-ocarina-of-time-3d,https://static.metacritic.com/images/products/games/0/4b6d1d1a1f09f9feb540f1337278a155-98.jpg
Fire Emblem: Awakening,92,9.0,3DS,February 4, 2013,/game/3ds/fire-emblem-awakening,https://static.metacritic.com/images/products/games/7/28f99406a0bd02b1eabe932b08e70fca-98.jpg
The Legend of Zelda: A Link Between Worlds,91,9.0,3DS,November 22, 2013,/game/3ds/the-legend-of-zelda-a-link-between-worlds,https://static.metacritic.com/images/products/games/5/65736a8ac310d01c49484d0c71b8cfb2-98.jpg
Shovel Knight,90,8.3,3DS,June 26, 2014,/game/3ds/shovel-knight,https://static.metacritic.com/images/products/games/1/7399ade23b51461b20e89ebbc38f92f3-98.jpg
Super Mario 3D Land,90,8.4,3DS,November 13, 2011,/game/3ds/super-mario-3d-land,https://static.metacritic.com/images/products/games/8/4ae3b5c9d3b857e29fcffecf3f0cbe26-98.jpg
Pushmo,90,8.3,3DS,December 8, 2011,/game/3ds/pushmo,https://static.metacritic.com/images/products/games/8/1ff17522fd8d3d458cf59d2b1cc756ee-98.jpg
The Legend of Zelda: Majora's Mask 3D,89,8.9,3DS,February 13, 2015,/game/3ds/the-legend-of-zelda-majoras-mask-3d,https://static.metacritic.com/images/products/games/0/0b474b02bbe56171774ce28feecfab8b-98.jpg
3D Gunstar Heroes,89,7.9,3DS,August 20, 2015,/game/3ds/3d-gunstar-heroes,https://static.metacritic.com/images/products/games/3/b16e9c8c4e411f274fcf4adede0b263c-98.jpg
3D Streets of Rage II,89,7.6,3DS,July 23, 2015,/game/3ds/3d-streets-of-rage-ii,https://static.metacritic.com/images/products/games/2/74b5e666e64af026053fef5c4cb6052f-98.jpg
Colors! 3D,89,7.5,3DS,April 5, 2012,/game/3ds/colors!-3d,https://static.metacritic.com/images/products/games/3/0e6b37b034e0f9efd63ae62e4c4ec2f9-98.jpg
Zero Escape: Virtue's Last Reward,88,8.6,3DS,October 23, 2012,/game/3ds/zero-escape-virtues-last-reward,https://static.metacritic.com/images/products/games/2/fa17136502d0fdfdcd0563ccf0778d1a-98.jpg
Fire Emblem Fates: Special Edition,88,8.0,3DS,February 19, 2016,/game/3ds/fire-emblem-fates-special-edition,https://static.metacritic.com/images/products/games/4/c1f59b12b6a1ad289a2b78b7060c5bc7-98.jpg
Pokemon Y,88,7.5,3DS,October 12, 2013,/game/3ds/pokemon-y,https://static.metacritic.com/images/products/games/4/09df48f196a70d2eba6ce90ade1505ff-98.jpg
Fire Emblem Fates: Revelation,88,7.4,3DS,March 10, 2016,/game/3ds/fire-emblem-fates-revelation,https://static.metacritic.com/images/products/games/9/37a7e0f1ecc9df3478500bf4ca86f4bb-98.jpg
Animal Crossing: New Leaf,88,8.7,3DS,June 9, 2013,/game/3ds/animal-crossing-new-leaf,https://static.metacritic.com/images/products/games/3/946ca4ded8904597643dca54ff7ec7c0-98.jpg
Pokemon X,87,7.5,3DS,October 12, 2013,/game/3ds/pokemon-x,https://static.metacritic.com/images/products/games/3/83159bc1d95bbcbcfcdb0487e738d0cd-98.jpg
Pokemon Sun,87,7.6,3DS,November 18, 2016,/game/3ds/pokemon-sun,https://static.metacritic.com/images/products/games/5/be7a469e5c345b13846e625865f5f579-98.jpg
Pokemon Moon,87,7.7,3DS,November 18, 2016,/game/3ds/pokemon-moon,https://static.metacritic.com/images/products/games/6/63e96fe91d3b6f5bdadc311bcaff474a-98.jpg
Fire Emblem Fates: Conquest,87,8.1,3DS,February 19, 2016,/game/3ds/fire-emblem-fates-conquest,https://static.metacritic.com/images/products/games/6/36f1dd9bf3328ff73b1476ad7c61fc3c-98.jpg
3D Sonic the Hedgehog 2,87,8.4,3DS,October 8, 2015,/game/3ds/3d-sonic-the-hedgehog-2,https://static.metacritic.com/images/products/games/2/c24ca433cf4ae97e3a05b15176492f78-98.jpg
3D Out Run,87,8.1,3DS,March 12, 2015,/game/3ds/3d-out-run,https://static.metacritic.com/images/products/games/7/753c72e936a082ed0f51fe5de213dd9d-98.jpg
Monster Hunter 4 Ultimate,86,8.6,3DS,February 13, 2015,/game/3ds/monster-hunter-4-ultimate,https://static.metacritic.com/images/products/games/8/085b675737504a7d44233a814c3e4838-98.jpg
Picross 3D: Round 2,86,7.5,3DS,September 1, 2016,/game/3ds/picross-3d-round-2,https://static.metacritic.com/images/products/games/2/da63ac6a550c9f6839215002a018a6f9-98.jpg
Crashmo,86,8.2,3DS,November 22, 2012,/game/3ds/crashmo,https://static.metacritic.com/images/products/games/7/4def927eb0c89ca1076626b440218846-98.jpg
SteamWorld Heist,86,8.2,3DS,December 10, 2015,/game/3ds/steamworld-heist,https://static.metacritic.com/images/products/games/5/39f83fcce329a29604a13cce606f9d0e-98.jpg
Luigi's Mansion: Dark Moon,86,8.4,3DS,March 24, 2013,/game/3ds/luigis-mansion-dark-moon,https://static.metacritic.com/images/products/games/6/6c336951e91de07172e87f507d525760-98.jpg
Xenoblade Chronicles 3D,86,8.8,3DS,April 10, 2015,/game/3ds/xenoblade-chronicles-3d,https://static.metacritic.com/images/products/games/8/da01ef319c18fffedfc8c22a1db4de60-98.jpg
Fire Emblem Fates: Birthright,86,8.2,3DS,February 19, 2016,/game/3ds/fire-emblem-fates-birthright,https://static.metacritic.com/images/products/games/2/87354ecee85f7cf67facec27e88856c0-98.jpg
Monster Hunter Generations,85,8.0,3DS,July 15, 2016,/game/3ds/monster-hunter-generations,https://static.metacritic.com/images/products/games/2/9cec4bc1215546ce978e88b45ca15125-98.jpg
Metroid: Samus Returns,85,8.8,3DS,September 15, 2017,/game/3ds/metroid-samus-returns,https://static.metacritic.com/images/products/games/7/5fd72748f09eb43b6f579d7475992c91-98.jpg
Dragon Quest VIII: Journey of the Cursed King,85,8.6,3DS,January 20, 2017,/game/3ds/dragon-quest-viii-journey-of-the-cursed-king,https://static.metacritic.com/images/products/games/8/e08f9e791d9357d3db9cf29645d8e567-98.jpg
Super Street Fighter IV: 3D Edition,85,8.0,3DS,March 27, 2011,/game/3ds/super-street-fighter-iv-3d-edition,https://static.metacritic.com/images/products/games/0/d56c348b3e78c535b49de8b2b413799b-98.jpg
Bravely Default,85,8.4,3DS,February 7, 2014,/game/3ds/bravely-default,https://static.metacritic.com/images/products/games/5/0ed1e991de12ddf89d710b1ea33559ba-98.jpg
Super Smash Bros. for Nintendo 3DS,85,8.5,3DS,October 3, 2014,/game/3ds/super-smash-bros-for-nintendo-3ds,https://static.metacritic.com/images/products/games/2/9dda6f00348d7881edf21fce7a8007a9-98.jpg
Mario Kart 7,85,8.2,3DS,December 4, 2011,/game/3ds/mario-kart-7,https://static.metacritic.com/images/products/games/3/663dfff581b7464f5870dbd2f59ea144-98.jpg
Radiant Historia: Perfect Chronology,85,8.5,3DS,February 13, 2018,/game/3ds/radiant-historia-perfect-chronology,https://static.metacritic.com/images/products/games/2/55d6aeadf84a7fb506108687ef0e3e03-98.jpg
Pokemon Ultra Sun,84,7.8,3DS,November 17, 2017,/game/3ds/pokemon-ultra-sun,https://static.metacritic.com/images/products/games/5/ae7ebf70922d86ee901247143a20497f-98.jpg
Shin Megami Tensei: Devil Survivor 2 Record Breaker,84,4.4,3DS,May 5, 2015,/game/3ds/shin-megami-tensei-devil-survivor-2-record-breaker,https://static.metacritic.com/images/products/games/0/52a22baefd6fb10749ee6e1d10d94ae8-98.jpg
Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,84,7.8,3DS,January 11, 2019,/game/3ds/mario-luigi-bowsers-inside-story-+-bowser-jrs-journey,https://static.metacritic.com/images/products/games/2/f4944a0a3c9243d044185d851d638251-98.jpg
Etrian Odyssey IV: Legends of the Titan,84,8.3,3DS,February 26, 2013,/game/3ds/etrian-odyssey-iv-legends-of-the-titan,https://static.metacritic.com/images/products/games/6/a3b9086fcf903bffc5ac851a606a921e-98.jpg
Pokemon Ultra Moon,84,7.7,3DS,November 17, 2017,/game/3ds/pokemon-ultra-moon,https://static.metacritic.com/images/products/games/6/ffecf685e06923f4bd2a153fcea13d5c-98.jpg
Shin Megami Tensei IV: Apocalypse,84,5.2,3DS,September 20, 2016,/game/3ds/shin-megami-tensei-iv-apocalypse,https://static.metacritic.com/images/products/games/1/331a90300769cba8f249e413a74ada00-98.jpg
Kid Icarus: Uprising,83,8.7,3DS,March 23, 2012,/game/3ds/kid-icarus-uprising,https://static.metacritic.com/images/products/games/6/93f986842d237c733563f044ad6ad1a9-98.jpg
Donkey Kong Country Returns 3D,83,8.2,3DS,May 24, 2013,/game/3ds/donkey-kong-country-returns-3d,https://static.metacritic.com/images/products/games/1/31e91b0a87c864d8ddf4072876ba8267-98.jpg
Shin Megami Tensei IV,83,6.7,3DS,July 16, 2013,/game/3ds/shin-megami-tensei-iv,https://static.metacritic.com/images/products/games/6/62d40b153d2d4f23d8e40d9728e9c2bc-98.jpg
Persona Q: Shadow of the Labyrinth,83,5.8,3DS,November 25, 2014,/game/3ds/persona-q-shadow-of-the-labyrinth,https://static.metacritic.com/images/products/games/3/4ed38c9d9bc808d867d71dc23c2f2c6a-98.jpg
Retro City Rampage DX,83,7.5,3DS,February 6, 2014,/game/3ds/retro-city-rampage-dx,https://static.metacritic.com/images/products/games/7/dd61f2778f626ff26d26dbfd6f0c444d-98.jpg
Pocket Card Jockey,83,8.1,3DS,May 5, 2016,/game/3ds/pocket-card-jockey,https://static.metacritic.com/images/products/games/6/14d6470554e6dfffeac03fee096b6176-98.jpg
BYE-BYE BOXBOY!,83,7.9,3DS,April 12, 2017,/game/3ds/bye-bye-boxboy!,https://static.metacritic.com/images/products/games/1/73b550a95101a67ce63aaae80c45caaf-98.jpg
Stretchmo,83,7.9,3DS,May 14, 2015,/game/3ds/stretchmo,https://static.metacritic.com/images/products/games/1/3f719950279283c23d031417c10051a4-98.jpg
Pokemon Omega Ruby,83,7.4,3DS,November 21, 2014,/game/3ds/pokemon-omega-ruby,https://static.metacritic.com/images/products/games/9/1ed85bc4f779384e08bf1e0abb42bcdf-98.jpg
VVVVVV,83,8.0,3DS,December 29, 2011,/game/3ds/vvvvvv,https://static.metacritic.com/images/products/games/2/06d31be9174edac97ad3b4405d17a39c-98.jpg
Rhythm Heaven Megamix,83,8.1,3DS,June 15, 2016,/game/3ds/rhythm-heaven-megamix,https://static.metacritic.com/images/products/games/7/0a0c5f3f6855ccd32b80664d9aec7666-98.jpg
Theatrhythm Final Fantasy: Curtain Call,83,8.2,3DS,September 16, 2014,/game/3ds/theatrhythm-final-fantasy-curtain-call,https://static.metacritic.com/images/products/games/3/1f3171b5f287fbeb991bd6f336569ae9-98.jpg
Pokemon Alpha Sapphire,82,7.5,3DS,November 21, 2014,/game/3ds/pokemon-alpha-sapphire,https://static.metacritic.com/images/products/games/8/0d61b89ebaf8a59f486f16d1a98ece80-98.jpg
Cave Story 3D,82,8.1,3DS,November 8, 2011,/game/3ds/cave-story-3d,https://static.metacritic.com/images/products/games/9/d3935063b6ef9473ad5ff4a50b9febf9-98.jpg
Resident Evil: Revelations,82,8.5,3DS,February 7, 2012,/game/3ds/resident-evil-revelations,https://static.metacritic.com/images/products/games/1/26dcc4fdd15ec9b37a3bee620fdbec0d-98.jpg
Professor Layton and the Miracle Mask,82,8.1,3DS,October 28, 2012,/game/3ds/professor-layton-and-the-miracle-mask,https://static.metacritic.com/images/products/games/7/00f12dfa494581816b89cac4c01f9bca-98.jpg
Etrian Odyssey 2 Untold: The Fafnir Knight,82,8.0,3DS,August 4, 2015,/game/3ds/etrian-odyssey-2-untold-the-fafnir-knight,https://static.metacritic.com/images/products/games/8/4ccc579257efdf3066fe769f5dbf7cd7-98.jpg
Shantae and the Pirate's Curse,82,8.5,3DS,October 23, 2014,/game/3ds/shantae-and-the-pirates-curse,https://static.metacritic.com/images/products/games/4/f7e295d75822a4d833e01ba4bd48c819-98.jpg
Skylanders: Spyro's Adventure,82,5.1,3DS,October 16, 2011,/game/3ds/skylanders-spyros-adventure,https://static.metacritic.com/images/products/games/8/f5a483054fc09f1878851673fafffcf8-98.jpg
Gunman Clive,82,7.9,3DS,January 3, 2013,/game/3ds/gunman-clive,https://static.metacritic.com/images/products/games/7/d0d97eff1a9d9bad45a675b6bd843920-98.jpg
