Mighty Switch Force!,79,7.7,3DS,December 22, 2011,/game/3ds/mighty-switch-force!,https://static.metacritic.com/images/products/games/4/9b36aa1bcde82e1e081aea45c6566b99-98.jpg
Monster Hunter Stories,79,8.3,3DS,September 8, 2017,/game/3ds/monster-hunter-stories,https://static.metacritic.com/images/products/games/9/d0c49a81d620ce06ac969dafd293cd83-98.jpg
The Denpa Men: They Came By Wave,78,7.5,3DS,September 27, 2012,/game/3ds/the-denpa-men-they-came-by-wave,https://static.metacritic.com/images/products/games/4/9422ebaa7fbd58e6b43946cb0aa80796-98.jpg
Metal Gear Solid: Snake Eater 3D,78,7.9,3DS,February 21, 2012,/game/3ds/metal-gear-solid-snake-eater-3d,https://static.metacritic.com/images/products/games/6/7790cb2e395c8a9e0d491072d5415a8a-98.jpg
Theatrhythm Final Fantasy,78,7.8,3DS,July 3, 2012,/game/3ds/theatrhythm-final-fantasy,https://static.metacritic.com/images/products/games/1/e5b1e8072f6db2b254ed7c4d79d022e3-98.jpg
Fluidity: Spin Cycle,78,6.6,3DS,December 27, 2012,/game/3ds/fluidity-spin-cycle,https://static.metacritic.com/images/products/games/5/df5dd7d4f292f74febd1ecfc275ff8f0-98.jpg
Mario and Donkey Kong: Minis on the Move,78,7.3,3DS,May 9, 2013,/game/3ds/mario-and-donkey-kong-minis-on-the-move,https://static.metacritic.com/images/products/games/0/a6c55544cb1bfe962df600ff7a2a44f5-98.jpg
Mario Golf: World Tour,78,8.1,3DS,May 2, 2014,/game/3ds/mario-golf-world-tour,https://static.metacritic.com/images/products/games/9/3496f5d12a11f49bac3b2673d701f2ae-98.jpg
WarioWare Gold,78,8.0,3DS,August 3, 2018,/game/3ds/warioware-gold,https://static.metacritic.com/images/products/games/0/b986729e1b4385073821c1e87ed73b9f-98.jpg
Rune Factory 4,78,8.1,3DS,October 1, 2013,/game/3ds/rune-factory-4,https://static.metacritic.com/images/products/games/8/160c6447a36beb915b26cd604c818a8f-98.jpg
Inazuma Eleven,78,8.0,3DS,February 13, 2014,/game/3ds/inazuma-eleven,https://static.metacritic.com/images/products/games/1/20d74096d2922bf1c8e870dd5d5febed-98.jpg
Shin Megami Tensei: Devil Survivor Overclocked,78,4.7,3DS,August 23, 2011,/game/3ds/shin-megami-tensei-devil-survivor-overclocked,https://static.metacritic.com/images/products/games/8/811666d0923d43c6b6f32af869830ab0-98.jpg
New Super Mario Bros. 2,78,7.2,3DS,August 19, 2012,/game/3ds/new-super-mario-bros-2,https://static.metacritic.com/images/products/games/9/9fb39d0a2e0aa95c5b51dee832a91a90-98.jpg
Style Savvy: Fashion Forward,78,6.9,3DS,August 19, 2016,/game/3ds/style-savvy-fashion-forward,https://static.metacritic.com/images/products/games/3/bbdea0cc6a45dadac3defed69a0f6bc3-98.jpg
Tom Clancy's Ghost Recon: Shadow Wars,77,7.9,3DS,March 22, 2011,/game/3ds/tom-clancys-ghost-recon-shadow-wars,https://static.metacritic.com/images/products/games/3/12cc2d3436b3ceb3c94b965476af558a-98.jpg
Kokuga,77,7.5,3DS,June 27, 2013,/game/3ds/kokuga,https://static.metacritic.com/images/products/games/7/ea7efc9b1b3dfd0e0c1cbba87859d1cc-98.jpg
Mega Man Legacy Collection,77,8.5,3DS,February 23, 2016,/game/3ds/mega-man-legacy-collection,https://static.metacritic.com/images/products/games/7/c3e95fd5198056f4776c2f8f65c4f598-98.jpg
Etrian Mystery Dungeon,77,7.9,3DS,April 7, 2015,/game/3ds/etrian-mystery-dungeon,https://static.metacritic.com/images/products/games/1/f7debdfa56b5a425ae8e622444f3ddb4-98.jpg
Apollo Justice: Ace Attorney,77,7.9,3DS,November 21, 2017,/game/3ds/apollo-justice-ace-attorney,https://static.metacritic.com/images/products/games/0/fd17400b5eb3427304124c72c48879b8-98.jpg
Inazuma Eleven Go: Chrono Stones: Thunderflash,77,8.0,3DS,March 27, 2015,/game/3ds/inazuma-eleven-go-chrono-stones-thunderflash,https://static.metacritic.com/images/products/games/7/2c093a1b20099e759c70adf78cbc2fb3-98.jpg
Corpse Party,77,7.9,3DS,October 25, 2016,/game/3ds/corpse-party,https://static.metacritic.com/images/products/games/0/dd3eda9e490dc1ed57eb83e8c69a0a3a-98.jpg
3D Classics: Kid Icarus,77,7.4,3DS,March 23, 2012,/game/3ds/3d-classics-kid-icarus,https://static.metacritic.com/images/products/games/6/d3e5c25dbfeb340b7caa3c462a2cd447-98.jpg
Azure Striker Gunvolt,77,8.1,3DS,August 29, 2014,/game/3ds/azure-striker-gunvolt,https://static.metacritic.com/images/products/games/0/9266c20bf3ef4ba083f2cf834ad1ab07-98.jpg
Super Little Acorns 3D Turbo,77,7.2,3DS,April 18, 2013,/game/3ds/super-little-acorns-3d-turbo,https://static.metacritic.com/images/products/games/1/41d928d7619a143f980db25901a327a2-98.jpg
Poochy & Yoshi's Woolly World,77,7.8,3DS,February 3, 2017,/game/3ds/poochy-yoshis-woolly-world,https://static.metacritic.com/images/products/games/6/a6a33870dff432bd789839bcd1d9173b-98.jpg
Tappingo 2,77,7.4,3DS,September 4, 2014,/game/3ds/tappingo-2,https://static.metacritic.com/images/products/games/1/3299d5389e26335c93ae79edcd408d2c-98.jpg
3D Classics: Kirby's Adventure,77,8.0,3DS,November 17, 2011,/game/3ds/3d-classics-kirbys-adventure,https://static.metacritic.com/images/products/games/6/1200b63e50406c219463a12230d0dcb9-98.jpg
Inazuma Eleven Go: Chrono Stones: Wildfire,77,7.9,3DS,March 27, 2015,/game/3ds/inazuma-eleven-go-chrono-stones-wildfire,https://static.metacritic.com/images/products/games/8/bdc9a8bbf1a5d702d3da61c3e3fe5d82-98.jpg
The Keep,77,7.6,3DS,September 11, 2014,/game/3ds/the-keep,https://static.metacritic.com/images/products/games/1/3a86e0865106b946680161062b71f96a-98.jpg
Attack of the Friday Monsters! A Tokyo Tale,77,7.6,3DS,July 18, 2013,/game/3ds/attack-of-the-friday-monsters!-a-tokyo-tale,https://static.metacritic.com/images/products/games/4/5ea8152b8bc769a78ea7797ea37fb391-98.jpg
Pokemon Art Academy,76,7.7,3DS,October 24, 2014,/game/3ds/pokemon-art-academy,https://static.metacritic.com/images/products/games/7/f8f7a8de6aa02bec88780baf8812743a-98.jpg
Ketzal's Corridors,76,7.6,3DS,April 12, 2012,/game/3ds/ketzals-corridors,https://static.metacritic.com/images/products/games/9/7595449a8dfa5a180e1702cae6d19692-98.jpg
Yo-kai Watch,76,8.0,3DS,November 6, 2015,/game/3ds/yo-kai-watch,https://static.metacritic.com/images/products/games/3/bc36ef689d7c4b014d6b923be4ffa90d-98.jpg
Mario & Luigi: Paper Jam,76,7.4,3DS,January 22, 2016,/game/3ds/mario-luigi-paper-jam,https://static.metacritic.com/images/products/games/0/f08d5172deab5c24e5637d6e1ad2e362-98.jpg
The Denpa Men 2: Beyond the Waves,76,6.4,3DS,May 30, 2013,/game/3ds/the-denpa-men-2-beyond-the-waves,https://static.metacritic.com/images/products/games/4/124c48f2ccbd5a53e11157b75e230232-98.jpg
Azure Striker Gunvolt 2,76,8.0,3DS,September 29, 2016,/game/3ds/azure-striker-gunvolt-2,https://static.metacritic.com/images/products/games/1/270cc218f0a00b73eb0463c8822d55d6-98.jpg
Ever Oasis,76,8.1,3DS,June 23, 2017,/game/3ds/ever-oasis,https://static.metacritic.com/images/products/games/2/99c15fba3e05fa842afd3e9635d8cff4-98.jpg
Rhythm Thief & the Emperor's Treasure,76,8.1,3DS,July 10, 2012,/game/3ds/rhythm-thief-the-emperors-treasure,https://static.metacritic.com/images/products/games/5/94ef2b0a3e10f18359f7cdee20a2600b-98.jpg
7th Dragon III Code: VFD,76,7.9,3DS,July 12, 2016,/game/3ds/7th-dragon-iii-code-vfd,https://static.metacritic.com/images/products/games/1/00e0d0021893d5444cabd6f0af11802f-98.jpg
Crimson Shroud,76,8.0,3DS,December 13, 2012,/game/3ds/crimson-shroud,https://static.metacritic.com/images/products/games/7/51fa26fbbd66e364afedfb65e4ddc41a-98.jpg
Story of Seasons,76,8.0,3DS,March 31, 2015,/game/3ds/story-of-seasons,https://static.metacritic.com/images/products/games/5/fc7f5fbddf142acc8bcc68327482ed98-98.jpg
Tales of the Abyss,75,8.3,3DS,February 14, 2012,/game/3ds/tales-of-the-abyss,https://static.metacritic.com/images/products/games/7/1dcd6ab80bded7f952840857e9be5cfb-98.jpg
Paper Mario: Sticker Star,75,5.6,3DS,November 11, 2012,/game/3ds/paper-mario-sticker-star,https://static.metacritic.com/images/products/games/9/3aa59f8260d4d3a68a8d226332a46067-98.jpg
Kingdom Hearts 3D: Dream Drop Distance,75,8.3,3DS,June 5, 2012,/game/3ds/kingdom-hearts-3d-dream-drop-distance,https://static.metacritic.com/images/products/games/2/601073bd68f2d0837ecbd5acad67df18-98.jpg
Bit.Trip Saga,75,7.9,3DS,September 13, 2011,/game/3ds/bittrip-saga,https://static.metacritic.com/images/products/games/7/cc102718cfecd7b49495ba95bb953d1d-98.jpg
Inazuma Eleven Go: Shadow,75,7.2,3DS,June 13, 2014,/game/3ds/inazuma-eleven-go-shadow,https://static.metacritic.com/images/products/games/9/59c309e758c8819ab34df42d4a9f6161-98.jpg
Ridge Racer 3D,75,7.4,3DS,March 22, 2011,/game/3ds/ridge-racer-3d,https://static.metacritic.com/images/products/games/2/ca1057b7d47b8cd10173833bddf8bbab-98.jpg
Nano Assault,75,7.7,3DS,December 5, 2011,/game/3ds/nano-assault,https://static.metacritic.com/images/products/games/5/16eaa3dcc5bc408e6a002a27a111a22f-98.jpg
The Denpa Men 3: The Rise of Digitoll,75,7.9,3DS,May 8, 2014,/game/3ds/the-denpa-men-3-the-rise-of-digitoll,https://static.metacritic.com/images/products/games/4/6d1b6220fd254c7bdf7f267d7860173e-98.jpg
