Elebits: The Adventures of Kai and Zero,75,8.3,DS,January 6, 2009,/game/ds/elebits-the-adventures-of-kai-and-zero,https://static.metacritic.com/images/products/games/5/2dbca29efdc7899128a8bcdf64e2ade8-98.jpg
Call of Duty 4: Modern Warfare,75,6.2,DS,November 5, 2007,/game/ds/call-of-duty-4-modern-warfare,https://static.metacritic.com/images/products/games/6/1ed259edf9edece06bd03a51f4cbe82c-98.jpg
Feel the Magic: XY/XX,75,7.7,DS,November 16, 2004,/game/ds/feel-the-magic-xyxx,https://static.metacritic.com/images/products/games/3/0bc31575e197ec590b0a6089e16730e4-98.jpg
Kingdom Hearts 358/2 Days,75,8.4,DS,September 29, 2009,/game/ds/kingdom-hearts-3582-days,https://static.metacritic.com/images/products/games/0/ef5358d89c0b7d71e4b7305b348e2c44-98.jpg
Final Fantasy Fables: Chocobo Tales,75,7.2,DS,April 3, 2007,/game/ds/final-fantasy-fables-chocobo-tales,https://static.metacritic.com/images/products/games/6/ae3c60421f90d697c87d5726e49486b1-98.jpg
WWE SmackDown vs. Raw 2010,75,8.8,DS,October 20, 2009,/game/ds/wwe-smackdown-vs-raw-2010,https://static.metacritic.com/images/products/games/9/4c9ab335e6e3b50710ca25e58585ada7-98.jpg
Final Fantasy Crystal Chronicles: Echoes of Time,75,7.5,DS,March 24, 2009,/game/ds/final-fantasy-crystal-chronicles-echoes-of-time,https://static.metacritic.com/images/products/games/4/b92e34a263e7e37c35b8ae8561eeace0-98.jpg
Monster Lab,75,tbd,DS,November 4, 2008,/game/ds/monster-lab,https://static.metacritic.com/images/products/games/1/e276b3e8f42ce353787c4dfea954c516-98.jpg
Super Princess Peach,75,7.8,DS,February 27, 2006,/game/ds/super-princess-peach,https://static.metacritic.com/images/products/games/8/5c4495ad2da88bf339f3406cac4d186c-98.jpg
Batman: The Brave and the Bold - The Videogame,74,8.1,DS,September 7, 2010,/game/ds/batman-the-brave-and-the-bold---the-videogame,https://static.metacritic.com/images/products/games/8/8ad53d7d75b5f96aefc88bc37d232a3d-98.jpg
Zoo Keeper,74,7.5,DS,January 18, 2005,/game/ds/zoo-keeper,https://static.metacritic.com/images/products/games/3/c74eec2bc0f6d64ff64a0f5b61f2385a-98.jpg
Pokemon Trozei!,74,7.3,DS,March 6, 2006,/game/ds/pokemon-trozei!,https://static.metacritic.com/images/products/games/4/0e1f1e9c8957fbe41fb23bb761a8b51a-98.jpg
Inazuma Eleven 2: Firestorm,74,8.3,DS,March 16, 2012,/game/ds/inazuma-eleven-2-firestorm,https://static.metacritic.com/images/products/games/8/c4a0cd424ed31fed64f85bc5c248681d-98.jpg
Need for Speed ProStreet,74,7.1,DS,November 13, 2007,/game/ds/need-for-speed-prostreet,https://static.metacritic.com/images/products/games/6/c7808f934c6ef1d7351afb18bb49b2b6-98.jpg
Call of Duty: Black Ops,74,6.6,DS,November 9, 2010,/game/ds/call-of-duty-black-ops,https://static.metacritic.com/images/products/games/1/5232c6403d96c6b3431e271eb83117fc-98.jpg
Valkyrie Profile: Covenant of the Plume,74,7.3,DS,March 16, 2009,/game/ds/valkyrie-profile-covenant-of-the-plume,https://static.metacritic.com/images/products/games/9/9c338b78d15b0051bf504fd740c7d2be-98.jpg
Inazuma Eleven 2: Blizzard,74,8.4,DS,March 16, 2012,/game/ds/inazuma-eleven-2-blizzard,https://static.metacritic.com/images/products/games/9/9d31fa699224028f2cac16e9530c3e88-98.jpg
Inazuma Eleven,74,7.9,DS,August 26, 2011,/game/ds/inazuma-eleven,https://static.metacritic.com/images/products/games/9/a77831c3f2b807cb770f6db476754383-98.jpg
99Bullets,74,tbd,DS,May 23, 2011,/game/ds/99bullets,https://static.metacritic.com/images/products/games/0/3b6d1b2063626b2b262ac60af4ade499-98.jpg
Zoonies - Escape From Makatu,74,tbd,DS,August 18, 2011,/game/ds/zoonies---escape-from-makatu,https://static.metacritic.com/images/products/games/6/6f7c8b43425dfd9b5ec3ac94246faf08-98.jpg
Meteos: Disney Magic,74,6.6,DS,February 20, 2007,/game/ds/meteos-disney-magic,https://static.metacritic.com/images/products/games/5/db3c4358cb4566d09c82f14acf15a894-98.jpg
Big Brain Academy,74,7.5,DS,June 5, 2006,/game/ds/big-brain-academy,https://static.metacritic.com/images/products/games/0/f578b056c9d303a2a06c2fc4a527163e-98.jpg
Drone Tactics,74,7.4,DS,May 12, 2008,/game/ds/drone-tactics,https://static.metacritic.com/images/products/games/2/e5ff079775c97566dde056bf428c5c07-98.jpg
Sonic Chronicles: The Dark Brotherhood,74,6.9,DS,September 30, 2008,/game/ds/sonic-chronicles-the-dark-brotherhood,https://static.metacritic.com/images/products/games/9/e0e59645d12d98ac8b3e20f799d93305-98.jpg
Bomberman Land Touch! 2,74,7.2,DS,January 29, 2008,/game/ds/bomberman-land-touch!-2,https://static.metacritic.com/images/products/games/3/36583f44f881cf79e69523d7a69e2042-98.jpg
Custom Robo Arena,74,8.3,DS,March 19, 2007,/game/ds/custom-robo-arena,https://static.metacritic.com/images/products/games/3/fc2fc97b79e949677de9e662f896cd9c-98.jpg
Puzzle Quest 2,74,5.8,DS,June 22, 2010,/game/ds/puzzle-quest-2,https://static.metacritic.com/images/products/games/3/93955e0ab44febc79f88d08028ee85a0-98.jpg
New International Track & Field,73,6.8,DS,July 22, 2008,/game/ds/new-international-track-field,https://static.metacritic.com/images/products/games/9/f2c708bb2dc290acbeca1c5224ff49c8-98.jpg
Puchi Puchi Virus,73,6.3,DS,May 20, 2009,/game/ds/puchi-puchi-virus,https://static.metacritic.com/images/products/games/7/a773fc82c2dd08f9cf7d7a36773f8dc8-98.jpg
Luminous Arc 2,73,7.8,DS,November 18, 2008,/game/ds/luminous-arc-2,https://static.metacritic.com/images/products/games/4/0cf2af2515c9bd38af6512433e3a6190-98.jpg
My Spanish Coach,73,tbd,DS,November 6, 2007,/game/ds/my-spanish-coach,https://static.metacritic.com/images/products/games/8/cc298484f3185ded894d4b5151049f8c-98.jpg
Yoshi Touch & Go,73,6.8,DS,March 14, 2005,/game/ds/yoshi-touch-go,https://static.metacritic.com/images/products/games/6/5c4a905de0d6e7a3cc10762d9ec63ef4-98.jpg
Viewtiful Joe: Double Trouble!,73,7.5,DS,November 18, 2005,/game/ds/viewtiful-joe-double-trouble!,https://static.metacritic.com/images/products/games/6/191ff518130c394cb9c4dd0e6375607c-98.jpg
Ultimate Mortal Kombat,73,8.3,DS,November 12, 2007,/game/ds/ultimate-mortal-kombat,https://static.metacritic.com/images/products/games/3/006a276a9148056c8e2820f68610d130-98.jpg
Crash of the Titans,73,6.9,DS,October 25, 2007,/game/ds/crash-of-the-titans,https://static.metacritic.com/images/products/games/1/d4d96cc074bf153b6cdf6fd20c64d921-98.jpg
Prism: Light the Way,73,tbd,DS,October 17, 2007,/game/ds/prism-light-the-way,https://static.metacritic.com/images/products/games/9/9b0971f589ec7e4a43fe0db12a2a2424-98.jpg
Kung Fu Panda: Legendary Warriors,73,tbd,DS,November 5, 2008,/game/ds/kung-fu-panda-legendary-warriors,https://static.metacritic.com/images/products/games/5/7432dc4effe73f72830f63ab88661172-98.jpg
Polarium,73,8.4,DS,April 18, 2005,/game/ds/polarium,https://static.metacritic.com/images/products/games/0/f20085d2257b4814f111fe639a7ecda4-98.jpg
Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009,73,7.7,DS,May 19, 2009,/game/ds/yu-gi-oh!-5ds-stardust-accelerator-world-championship-2009,https://static.metacritic.com/images/products/games/2/6d9045bf03cff2c3a1fc558b031ca582-98.jpg
Spider-Man: Shattered Dimensions,73,7.9,DS,September 7, 2010,/game/ds/spider-man-shattered-dimensions,https://static.metacritic.com/images/products/games/3/8e5ac4185a158e9a54f7422a4077cf39-98.jpg
DiRT 2,73,tbd,DS,September 8, 2009,/game/ds/dirt-2,https://static.metacritic.com/images/products/games/0/7066eaafc30bc774749e025f2284c587-98.jpg
Summon Night: Twin Age,73,7.2,DS,June 3, 2008,/game/ds/summon-night-twin-age,https://static.metacritic.com/images/products/games/7/88bfff1c6387e0e1435f7c894523e44c-98.jpg
Super Robot Taisen OG Saga: Endless Frontier,73,8.3,DS,April 29, 2009,/game/ds/super-robot-taisen-og-saga-endless-frontier,https://static.metacritic.com/images/products/games/4/b8525f1a8894e4bffdde6f8becc8b1a6-98.jpg
Call of Duty: Modern Warfare - Mobilized,73,7.2,DS,November 10, 2009,/game/ds/call-of-duty-modern-warfare---mobilized,https://static.metacritic.com/images/products/games/0/e480f21291d84e146a2a85300204c52b-98.jpg
Star Wars Episode III: Revenge of the Sith,73,7.8,DS,May 4, 2005,/game/ds/star-wars-episode-iii-revenge-of-the-sith,https://static.metacritic.com/images/products/games/8/0f4aa505cbdc35ff067527559720695b-98.jpg
Glory Days 2,73,7.3,DS,August 6, 2007,/game/ds/glory-days-2,https://static.metacritic.com/images/products/games/8/70a46ba43c62e8a35789c6e7d3ac198a-98.jpg
Yu-Gi-Oh! Nightmare Troubadour,73,8.4,DS,August 30, 2005,/game/ds/yu-gi-oh!-nightmare-troubadour,https://static.metacritic.com/images/products/games/8/a50f9a611d5df1c8e645a9b662f10e55-98.jpg
Dragon Ball Z: Attack of the Saiyans,73,8.2,DS,November 10, 2009,/game/ds/dragon-ball-z-attack-of-the-saiyans,https://static.metacritic.com/images/products/games/5/e257d88f110625963026baf1704d3948-98.jpg
Drawn to Life,73,7.9,DS,September 10, 2007,/game/ds/drawn-to-life,https://static.metacritic.com/images/products/games/8/fbf5dfb5ac855af3a3cfebe7b415b3f9-98.jpg
The Sims 3,73,6.2,DS,October 26, 2010,/game/ds/the-sims-3,https://static.metacritic.com/images/products/games/0/c1a5b36eebb8a6b73fb195442963f74a-98.jpg
Contact,73,8.2,DS,October 19, 2006,/game/ds/contact,https://static.metacritic.com/images/products/games/5/a544045ef82c1e835b6090151ba2b23b-98.jpg
Brothers In Arms DS,72,8.1,DS,June 21, 2007,/game/ds/brothers-in-arms-ds,https://static.metacritic.com/images/products/games/6/0588189196a3843d20ac3c279f1ede42-98.jpg
Harvest Moon: Frantic Farming,72,6.3,DS,August 25, 2009,/game/ds/harvest-moon-frantic-farming,https://static.metacritic.com/images/products/games/3/f8224060fddf5327c86fdf01f9098c1e-98.jpg
Front Mission,72,7.4,DS,October 23, 2007,/game/ds/front-mission,https://static.metacritic.com/images/products/games/5/595e954eec7504b3faf681b1a9730c8f-98.jpg
Dementium: The Ward,72,7.9,DS,October 26, 2007,/game/ds/dementium-the-ward,https://static.metacritic.com/images/products/games/3/fa52cb637d78fb9d4e0a9cdaf97abb97-98.jpg
Theme Park,72,7.6,DS,March 20, 2007,/game/ds/theme-park,https://static.metacritic.com/images/products/games/0/10a525cf8a0da5c016c053b10afb1192-98.jpg
Mario Party DS,72,7.9,DS,November 19, 2007,/game/ds/mario-party-ds,https://static.metacritic.com/images/products/games/9/375023307eb38f13eaf38d966f0d8ebe-98.jpg
Boing! Docomodake DS,72,tbd,DS,March 10, 2009,/game/ds/boing!-docomodake-ds,https://static.metacritic.com/images/products/games/6/3e86360745d558a95ed5d9b3d49f2d38-98.jpg
LEGO Harry Potter: Years 1-4,72,7.6,DS,June 29, 2010,/game/ds/lego-harry-potter-years-1-4,https://static.metacritic.com/images/products/games/9/7144c44c5f36e8aeddfc269a15a92533-98.jpg
Juiced 2: Hot Import Nights,72,tbd,DS,September 17, 2007,/game/ds/juiced-2-hot-import-nights,https://static.metacritic.com/images/products/games/0/99127020637db24e9ad3ea4a7e4056d6-98.jpg
Go! Go! Kokopolo,72,tbd,DS,August 11, 2011,/game/ds/go!-go!-kokopolo,https://static.metacritic.com/images/products/games/9/9fa4e91f67bbcdf96616a05503f0220b-98.jpg
Drawn to Life: The Next Chapter,72,7.8,DS,October 27, 2009,/game/ds/drawn-to-life-the-next-chapter,https://static.metacritic.com/images/products/games/7/346c34ee33193edfa33e39ced8bef5ae-98.jpg
Nostalgia,72,7.6,DS,October 23, 2009,/game/ds/nostalgia,https://static.metacritic.com/images/products/games/7/888811fb8a0d2072b2990045deb3a6ab-98.jpg
Bionicle Heroes,72,6.7,DS,November 14, 2006,/game/ds/bionicle-heroes,https://static.metacritic.com/images/products/games/5/b6711bbcc7e9352c8082ccae51cc1ef1-98.jpg
LEGO Batman: The Videogame,72,8.1,DS,September 23, 2008,/game/ds/lego-batman-the-videogame,https://static.metacritic.com/images/products/games/2/915e1649d8c311fbdb4f973eda4f2514-98.jpg
Skate It,72,7.8,DS,November 19, 2008,/game/ds/skate-it,https://static.metacritic.com/images/products/games/1/ca49c02c12a96589ca9ae4d7d6d6baf8-98.jpg
FIFA 07 Soccer,72,6.2,DS,October 3, 2006,/game/ds/fifa-07-soccer,https://static.metacritic.com/images/products/games/0/06130902ca32c860c99ea05fdb9ace0b-98.jpg
Pac 'n Roll,72,8.4,DS,August 23, 2005,/game/ds/pac-n-roll,https://static.metacritic.com/images/products/games/8/6200463354b23d6a9b34738a5ec5cdf9-98.jpg
Guitar Hero: On Tour Decades,72,7.7,DS,November 16, 2008,/game/ds/guitar-hero-on-tour-decades,https://static.metacritic.com/images/products/games/0/811ce573c06c6fef5599aa9bb5f1e06f-98.jpg
Jam Sessions,72,5.3,DS,September 11, 2007,/game/ds/jam-sessions,https://static.metacritic.com/images/products/games/4/b95100027314aed1ce1739ba1da32cc3-98.jpg
DodoGo! Robo,72,tbd,DS,April 18, 2011,/game/ds/dodogo!-robo,https://static.metacritic.com/images/products/games/8/a4c0be49a946177db8285b5f148494b6-98.jpg
Electroplankton,71,7.0,DS,January 9, 2006,/game/ds/electroplankton,https://static.metacritic.com/images/products/games/9/5a4834e5eea66d9bac9e98438f0c6faf-98.jpg
Moon,71,7.5,DS,January 13, 2009,/game/ds/moon,https://static.metacritic.com/images/products/games/5/38b3c1e079cd8668e8cd68ddfc5a7464-98.jpg
Kirby: Squeak Squad,71,8.0,DS,December 4, 2006,/game/ds/kirby-squeak-squad,https://static.metacritic.com/images/products/games/8/60669a349773d63d9f2022de0c187d23-98.jpg
Nanostray,71,7.7,DS,July 19, 2005,/game/ds/nanostray,https://static.metacritic.com/images/products/games/4/f4a838c91db38bf8e20f77d8afb6b512-98.jpg
My Word Coach,71,6.8,DS,November 6, 2007,/game/ds/my-word-coach,https://static.metacritic.com/images/products/games/3/6ac0bf130b2637c571e9a069f82b1030-98.jpg
Phantasy Star Zero,71,7.9,DS,November 10, 2009,/game/ds/phantasy-star-zero,https://static.metacritic.com/images/products/games/8/8d341fa0f503bf2f86a6c96047f5e058-98.jpg
