Assassin's Creed Origins: The Curse of the Pharaohs;83;7.5;PlayStation 4;March 13, 2018;/game/playstation-4/assassins-creed-origins-the-curse-of-the-pharaohs;https://static.metacritic.com/images/products/games/8/d586ba71c4481342946133308c30f377-98.jpg
DmC: Devil May Cry Definitive Edition;83;7.5;PlayStation 4;March 10, 2015;/game/playstation-4/dmc-devil-may-cry-definitive-edition;https://static.metacritic.com/images/products/games/0/664c0dc9287e34c48d25882a2f6e636f-98.jpg
Disgaea 1 Complete;83;7.5;PlayStation 4;October 9, 2018;/game/playstation-4/disgaea-1-complete;https://static.metacritic.com/images/products/games/0/8d6331b4ea4d240cfe6d34615af616ab-98.jpg
Pro Evolution Soccer 2018;83;7.2;PlayStation 4;September 12, 2017;/game/playstation-4/pro-evolution-soccer-2018;https://static.metacritic.com/images/products/games/8/8bd86f40c78665ec026a06516ca5ea4b-98.jpg
Call of Duty: Black Ops 4;83;4.0;PlayStation 4;October 12, 2018;/game/playstation-4/call-of-duty-black-ops-4;https://static.metacritic.com/images/products/games/4/d6eaeed2b4f06004b74f6773cfdcb347-98.jpg
Ghost of Tsushima;83;9.2;PlayStation 4;July 17, 2020;/game/playstation-4/ghost-of-tsushima;https://static.metacritic.com/images/products/games/0/260ef84455c9c9e47a0cdd2df24622bb-98.jpg
Guacamelee! 2;83;8.0;PlayStation 4;August 21, 2018;/game/playstation-4/guacamelee!-2;https://static.metacritic.com/images/products/games/0/0af6af92d84b94b3f7b44c4b923a3080-98.jpg
FAR: Lone Sails;83;5.6;PlayStation 4;April 2, 2019;/game/playstation-4/far-lone-sails;https://static.metacritic.com/images/products/games/3/f099af5c9bd8849cd97a20b90468b0b8-98.jpg
Bloodstained: Ritual of the Night;83;8.4;PlayStation 4;June 18, 2019;/game/playstation-4/bloodstained-ritual-of-the-night;https://static.metacritic.com/images/products/games/1/5431175be3c38a293a51f75d1be58f58-98.jpg
Assassin's Creed IV: Black Flag;83;7.9;PlayStation 4;November 12, 2013;/game/playstation-4/assassins-creed-iv-black-flag;https://static.metacritic.com/images/products/games/4/06f9a4e492d9474c4ebaf23b6aa913ee-98.jpg
Crash Team Racing: Nitro-Fueled;83;6.8;PlayStation 4;June 21, 2019;/game/playstation-4/crash-team-racing-nitro-fueled;https://static.metacritic.com/images/products/games/0/a105f47dc742af968304e4103afbdf00-98.jpg
Kingdom Hearts III;83;8.0;PlayStation 4;January 29, 2019;/game/playstation-4/kingdom-hearts-iii;https://static.metacritic.com/images/products/games/1/2fab45d77cbc7fc4e9f579e83ae6c7f5-98.jpg
Prey: Mooncrash;83;7.1;PlayStation 4;June 11, 2018;/game/playstation-4/prey-mooncrash;https://static.metacritic.com/images/products/games/8/4535de794f77e0b13902efdec7ed785c-98.jpg
Darkest Dungeon;83;7.8;PlayStation 4;September 27, 2016;/game/playstation-4/darkest-dungeon;https://static.metacritic.com/images/products/games/3/c754a4d6553283b5fcc610fc1cf71aba-98.jpg
Resident Evil HD Remaster;83;8.5;PlayStation 4;January 20, 2015;/game/playstation-4/resident-evil-hd-remaster;https://static.metacritic.com/images/products/games/9/7bff495e8bf2089dec9dbdb40f355eb7-98.jpg
Puyo Puyo Tetris;83;7.4;PlayStation 4;April 25, 2017;/game/playstation-4/puyo-puyo-tetris;https://static.metacritic.com/images/products/games/1/569d33b9c10c80479662ebc2b8d97c05-98.jpg
Call of Duty: Modern Warfare Remastered;83;7.1;PlayStation 4;November 4, 2016;/game/playstation-4/call-of-duty-modern-warfare-remastered;https://static.metacritic.com/images/products/games/8/3ac1af95da2ec907a72d135dad819765-98.jpg
MLB The Show 20;83;6.6;PlayStation 4;March 13, 2020;/game/playstation-4/mlb-the-show-20;https://static.metacritic.com/images/products/games/8/d84d93fa6982b4419fd0357c03a45882-98.jpg
Sackboy: A Big Adventure;83;8.6;PlayStation 4;November 12, 2020;/game/playstation-4/sackboy-a-big-adventure;https://static.metacritic.com/images/products/games/2/af41f138cc870308733768af7e534c05-98.jpg
ZEN Pinball 2: Portal Pinball;83;4.9;PlayStation 4;May 26, 2015;/game/playstation-4/zen-pinball-2-portal-pinball;https://static.metacritic.com/images/products/games/3/f6ce35cc79f9c37e84d1e3e9b6931c40-98.jpg
Dragon Quest Builders;83;8.1;PlayStation 4;October 11, 2016;/game/playstation-4/dragon-quest-builders;https://static.metacritic.com/images/products/games/0/bd74a722923859b7c41d833c79964a56-98.jpg
Transistor;83;8.2;PlayStation 4;May 20, 2014;/game/playstation-4/transistor;https://static.metacritic.com/images/products/games/0/660249a9a22d2dbd16ed2025aff5c170-98.jpg
The Yakuza Remastered Collection;83;7.6;PlayStation 4;August 20, 2019;/game/playstation-4/the-yakuza-remastered-collection;https://static.metacritic.com/images/products/games/9/28f71c3ec2ed3ccc4dacd36108a6ab26-98.jpg
Yoku's Island Express;83;7.6;PlayStation 4;May 29, 2018;/game/playstation-4/yokus-island-express;https://static.metacritic.com/images/products/games/7/35b12d4f1f0499234cc060dee28a1987-98.jpg
Yakuza 6: The Song of Life;83;8.4;PlayStation 4;April 17, 2018;/game/playstation-4/yakuza-6-the-song-of-life;https://static.metacritic.com/images/products/games/6/b120e14e6630f16003349752f23b2bc5-98.jpg
Battle Chef Brigade;83;tbd;PlayStation 4;August 28, 2018;/game/playstation-4/battle-chef-brigade;https://static.metacritic.com/images/products/games/9/f59371ac7a23c2061e5885c38407faf8-98.jpg
Metro Redux;83;8.0;PlayStation 4;August 26, 2014;/game/playstation-4/metro-redux;https://static.metacritic.com/images/products/games/4/d2ce623665304af8da53196123aec35a-98.jpg
The Swapper;83;7.6;PlayStation 4;August 5, 2014;/game/playstation-4/the-swapper;https://static.metacritic.com/images/products/games/8/43cc9d71faf6bde0dca1b94416c17382-98.jpg
LEGO Marvel Super Heroes;83;7.6;PlayStation 4;November 15, 2013;/game/playstation-4/lego-marvel-super-heroes;https://static.metacritic.com/images/products/games/7/0931dc86763a92229da46b2183101a23-98.jpg
No Man's Sky Beyond;83;8.2;PlayStation 4;August 14, 2019;/game/playstation-4/no-mans-sky-beyond;https://static.metacritic.com/images/products/games/9/0559d42b8a01ba91cb8da477ee125acb-98.jpg
Creaks;83;7.1;PlayStation 4;July 22, 2020;/game/playstation-4/creaks;https://static.metacritic.com/images/products/games/0/ae6a489e5b1605fb4205256ec71c5d89-98.jpg
Call of Duty: Advanced Warfare;83;5.7;PlayStation 4;November 3, 2014;/game/playstation-4/call-of-duty-advanced-warfare;https://static.metacritic.com/images/products/games/8/0a400d410fe285a7c9a699bf06f4610b-98.jpg
MLB 14: The Show;83;7.6;PlayStation 4;May 6, 2014;/game/playstation-4/mlb-14-the-show;https://static.metacritic.com/images/products/games/6/beee4ff277a71c2fb35f2ab7663d0daa-98.jpg
