Shovel Knight: Specter of Torment,84,8.0,Switch,March 3, 2017,/game/switch/shovel-knight-specter-of-torment,https://static.metacritic.com/images/products/games/5/0f740cde52daa374c0381518d50fafa9-98.jpg
80 DAYS,84,7.8,Switch,October 1, 2019,/game/switch/80-days,https://static.metacritic.com/images/products/games/4/11e81d7afedb08919d1a6c5175e66044-98.jpg
WHAT THE GOLF?,84,8.2,Switch,May 21, 2020,/game/switch/what-the-golf,https://static.metacritic.com/images/products/games/8/07bba4965651a717a5de48856783df24-98.jpg
Toki Tori 2 +,84,8.0,Switch,February 23, 2018,/game/switch/toki-tori-2-+,https://static.metacritic.com/images/products/games/6/c667d821352e43a96a145a57a32fafa8-98.jpg
Bayonetta,84,8.3,Switch,February 16, 2018,/game/switch/bayonetta,https://static.metacritic.com/images/products/games/9/e5beb7d8e4b80a2d269271b6330f1e04-98.jpg
Mega Man X Legacy Collection,84,8.6,Switch,July 24, 2018,/game/switch/mega-man-x-legacy-collection,https://static.metacritic.com/images/products/games/6/d83b23e662eebbab002488ece9b5e98d-98.jpg
Rayman Legends: Definitive Edition,84,8.4,Switch,September 12, 2017,/game/switch/rayman-legends-definitive-edition,https://static.metacritic.com/images/products/games/8/27596ceca4b2d2f86688686d7c948c31-98.jpg
The Elder Scrolls V: Skyrim,84,8.4,Switch,November 17, 2017,/game/switch/the-elder-scrolls-v-skyrim,https://static.metacritic.com/images/products/games/2/381e2e7b85c324573c94ae1b9eea92a1-98.jpg
Kingdom: Two Crowns,84,7.1,Switch,December 11, 2018,/game/switch/kingdom-two-crowns,https://static.metacritic.com/images/products/games/2/57701c18aa49c121cb11fa0785c63d19-98.jpg
Child of Light,84,8.4,Switch,October 11, 2018,/game/switch/child-of-light,https://static.metacritic.com/images/products/games/2/e6548021a52e379ab4e992dadc390865-98.jpg
Wargroove,84,7.3,Switch,February 1, 2019,/game/switch/wargroove,https://static.metacritic.com/images/products/games/9/e2b214e2ea758b872944aa0d28aae048-98.jpg
Lovers in a Dangerous Spacetime,84,8.0,Switch,October 3, 2017,/game/switch/lovers-in-a-dangerous-spacetime,https://static.metacritic.com/images/products/games/4/122df828a92ced7db08d11412a23979b-98.jpg
BioShock: The Collection,84,8.6,Switch,May 29, 2020,/game/switch/bioshock-the-collection,https://static.metacritic.com/images/products/games/6/7a00ff92f538b4f28ef195fbe3db52e1-98.jpg
The Legend of Heroes: Trails of Cold Steel III,84,8.1,Switch,June 30, 2020,/game/switch/the-legend-of-heroes-trails-of-cold-steel-iii,https://static.metacritic.com/images/products/games/4/f6ee6feaca5d24dccd7f67fd2b3faaf4-98.jpg
Snipperclips Plus: Cut It Out, Together!,84,8.1,Switch,November 10, 2017,/game/switch/snipperclips-plus-cut-it-out-together!,https://static.metacritic.com/images/products/games/2/5b8cb3f3e8867d0ac97116f13b1d0e36-98.jpg
Atelier Ryza: Ever Darkness & the Secret Hideout,84,8.1,Switch,October 29, 2019,/game/switch/atelier-ryza-ever-darkness-the-secret-hideout,https://static.metacritic.com/images/products/games/7/243a387448a04ea4cd132115ee912976-98.jpg
Danmaku Unlimited 3,84,8.0,Switch,March 13, 2018,/game/switch/danmaku-unlimited-3,https://static.metacritic.com/images/products/games/1/3bd865fae070a165f847cccfa4215976-98.jpg
Sega Ages: Fantasy Zone,84,7.9,Switch,January 23, 2020,/game/switch/sega-ages-fantasy-zone,https://static.metacritic.com/images/products/games/0/697650ded5005f55fac19dd0175ed99c-98.jpg
Baba Is You,84,8.0,Switch,March 13, 2019,/game/switch/baba-is-you,https://static.metacritic.com/images/products/games/9/10159df401393d2882497ae2327fa62e-98.jpg
Sayonara Wild Hearts,84,8.2,Switch,September 19, 2019,/game/switch/sayonara-wild-hearts,https://static.metacritic.com/images/products/games/0/d8f37a6d3f59bf30dc039c53bbe7bf75-98.jpg
Timespinner,84,7.3,Switch,June 4, 2019,/game/switch/timespinner,https://static.metacritic.com/images/products/games/2/4d959747b04aa423552738207517c2db-98.jpg
Ape Out,84,6.4,Switch,February 28, 2019,/game/switch/ape-out,https://static.metacritic.com/images/products/games/0/b8cc08427c57ab6e6c0b863570f91ce6-98.jpg
To the Moon,84,8.2,Switch,January 16, 2020,/game/switch/to-the-moon,https://static.metacritic.com/images/products/games/8/650195023288a1c8f6f617ffeabe514f-98.jpg
