Final Fantasy X / X-2 HD Remaster,85,6.7,Xbox One,April 16, 2019,/game/xbox-one/final-fantasy-x-x-2-hd-remaster,https://static.metacritic.com/images/products/games/2/e4976c73e52e128ccae1917668a973a5-98.jpg
Halo: The Master Chief Collection,85,7.8,Xbox One,November 11, 2014,/game/xbox-one/halo-the-master-chief-collection,https://static.metacritic.com/images/products/games/6/6eb1ac42c31447859845d764d97cf3f7-98.jpg
Pro Evolution Soccer 2016,85,6.0,Xbox One,September 15, 2015,/game/xbox-one/pro-evolution-soccer-2016,https://static.metacritic.com/images/products/games/9/9641648e288308b35b7626ab5b826ebc-98.jpg
Age of Wonders: Planetfall,85,6.5,Xbox One,August 6, 2019,/game/xbox-one/age-of-wonders-planetfall,https://static.metacritic.com/images/products/games/6/a81f657e7b5e18f6bf047fd911c18aa4-98.jpg
PlayerUnknown's Battlegrounds,85,4.9,Xbox One,September 4, 2018,/game/xbox-one/playerunknowns-battlegrounds,https://static.metacritic.com/images/products/games/3/449a1f340d860767d01f0c042c549f7c-98.jpg
The Walking Dead: The Telltale Definitive Series,85,7.4,Xbox One,September 10, 2019,/game/xbox-one/the-walking-dead-the-telltale-definitive-series,https://static.metacritic.com/images/products/games/9/743d6efd5cf58b4930b010083ece8b29-98.jpg
Monster Boy and the Cursed Kingdom,85,7.9,Xbox One,December 4, 2018,/game/xbox-one/monster-boy-and-the-cursed-kingdom,https://static.metacritic.com/images/products/games/3/6d1c64704064a0c8a907479fadbf4207-98.jpg
Trials Rising,85,5.4,Xbox One,February 26, 2019,/game/xbox-one/trials-rising,https://static.metacritic.com/images/products/games/4/b5f45ba8dd823b2d6159f02dff9d05a2-98.jpg
NBA 2K18,85,1.7,Xbox One,September 15, 2017,/game/xbox-one/nba-2k18,https://static.metacritic.com/images/products/games/2/a589fa3746fa90f0c056b0c858a646cd-98.jpg
Outer Wilds,85,7.8,Xbox One,May 30, 2019,/game/xbox-one/outer-wilds,https://static.metacritic.com/images/products/games/4/abdf2d2541db22662b9f5240c5d1c253-98.jpg
Desperados III,85,7.1,Xbox One,June 16, 2020,/game/xbox-one/desperados-iii,https://static.metacritic.com/images/products/games/1/4922a8be01dfa37bc4e6a59b43c3ca6d-98.jpg
Enter The Gungeon,85,7.8,Xbox One,April 5, 2017,/game/xbox-one/enter-the-gungeon,https://static.metacritic.com/images/products/games/5/03149a0b7be9f44e9c3a6cfae805c623-98.jpg
Project CARS 2,84,5.6,Xbox One,September 22, 2017,/game/xbox-one/project-cars-2,https://static.metacritic.com/images/products/games/6/209db3fc5a6232cbf56c7b22c77f2e70-98.jpg
Crash Team Racing: Nitro-Fueled,84,6.0,Xbox One,June 21, 2019,/game/xbox-one/crash-team-racing-nitro-fueled,https://static.metacritic.com/images/products/games/2/2471d11be82219ce097d060cc1a97f46-98.jpg
Rare Replay,84,8.0,Xbox One,August 4, 2015,/game/xbox-one/rare-replay,https://static.metacritic.com/images/products/games/9/21720eae0353b3ba70f2cab68285d96b-98.jpg
South Park: The Fractured But Whole,84,8.0,Xbox One,October 17, 2017,/game/xbox-one/south-park-the-fractured-but-whole,https://static.metacritic.com/images/products/games/0/0e99b05aa6c0335252645eebe4e8b290-98.jpg
Wasteland 3,84,7.7,Xbox One,August 28, 2020,/game/xbox-one/wasteland-3,https://static.metacritic.com/images/products/games/6/6004f2faa52881dbc4a97820e271d6a2-98.jpg
FIFA 17,84,5.2,Xbox One,September 27, 2016,/game/xbox-one/fifa-17,https://static.metacritic.com/images/products/games/9/8a7374737c36930f1c4482db916ae7af-98.jpg
BioShock: The Collection,84,8.7,Xbox One,September 13, 2016,/game/xbox-one/bioshock-the-collection,https://static.metacritic.com/images/products/games/7/5b06478ba925721ff6d4598d55f04922-98.jpg
Prey,84,7.9,Xbox One,May 5, 2017,/game/xbox-one/prey,https://static.metacritic.com/images/products/games/8/fc7b96d3cd59e304652db454d522d625-98.jpg
Gears 5,84,8.2,Xbox One,September 6, 2019,/game/xbox-one/gears-5,https://static.metacritic.com/images/products/games/8/d8fb04c929a75f60d4757bc6a824affb-98.jpg
Gears of War 4,84,7.0,Xbox One,October 11, 2016,/game/xbox-one/gears-of-war-4,https://static.metacritic.com/images/products/games/5/53a2c888bb45d9d45da8f9a4e77cbf2a-98.jpg
Halo 5: Guardians,84,6.4,Xbox One,October 27, 2015,/game/xbox-one/halo-5-guardians,https://static.metacritic.com/images/products/games/7/fb5d25339531df685bc485bef5eb420f-98.jpg
F1 2017,84,7.4,Xbox One,August 25, 2017,/game/xbox-one/f1-2017,https://static.metacritic.com/images/products/games/9/8abf3f741d54628bff55ff6e29bd358e-98.jpg
F1 2018,84,8.0,Xbox One,August 24, 2018,/game/xbox-one/f1-2018,https://static.metacritic.com/images/products/games/9/ea5a5b533d508f1d0f18e0ccdd70ba6c-98.jpg
Battle Chasers: Nightwar,84,7.1,Xbox One,October 3, 2017,/game/xbox-one/battle-chasers-nightwar,https://static.metacritic.com/images/products/games/0/ea463698430dfc02df0da1ab4dc3b9ff-98.jpg
SoulCalibur VI,84,5.2,Xbox One,October 19, 2018,/game/xbox-one/soulcalibur-vi,https://static.metacritic.com/images/products/games/8/a05dfd28fc982668040726ecca51d0be-98.jpg
Frostpunk: Console Edition,84,8.4,Xbox One,October 11, 2019,/game/xbox-one/frostpunk-console-edition,https://static.metacritic.com/images/products/games/1/bfdc497e2b0d5314d6e0da7e0da4e6dd-98.jpg
The Missing: JJ Macfield and the Island of Memories,84,7.0,Xbox One,October 11, 2018,/game/xbox-one/the-missing-jj-macfield-and-the-island-of-memories,https://static.metacritic.com/images/products/games/9/3b47a1fb6b64c2cad55f8d3b0834c980-98.jpg
Dishonored: Death of the Outsider,84,6.1,Xbox One,September 15, 2017,/game/xbox-one/dishonored-death-of-the-outsider,https://static.metacritic.com/images/products/games/4/4732a964425844244183a78d35c24396-98.jpg
The Banner Saga 2,84,7.6,Xbox One,July 1, 2016,/game/xbox-one/the-banner-saga-2,https://static.metacritic.com/images/products/games/3/58162d1142e82c2dea626f0337014a7c-98.jpg
Two Point Hospital,84,6.6,Xbox One,February 25, 2020,/game/xbox-one/two-point-hospital,https://static.metacritic.com/images/products/games/0/3427287f82fef1ed3a1dc49666010675-98.jpg
Bloodstained: Ritual of the Night,84,7.9,Xbox One,June 18, 2019,/game/xbox-one/bloodstained-ritual-of-the-night,https://static.metacritic.com/images/products/games/0/6986c962caa618473fe7cf83fcf571da-98.jpg
FRU,84,6.8,Xbox One,July 13, 2016,/game/xbox-one/fru,https://static.metacritic.com/images/products/games/2/8bab2a4ef6bb2e1c4088cdbe00c757a2-98.jpg
Thimbleweed Park,84,7.4,Xbox One,March 30, 2017,/game/xbox-one/thimbleweed-park,https://static.metacritic.com/images/products/games/4/93ab4295a99d3e439c349e4132bc10ff-98.jpg
Metro Redux,84,8.0,Xbox One,August 26, 2014,/game/xbox-one/metro-redux,https://static.metacritic.com/images/products/games/5/3c811a9dba47e7d5dc7d68f939ad98c2-98.jpg
Yooka-Laylee and the Impossible Lair,84,6.3,Xbox One,October 8, 2019,/game/xbox-one/yooka-laylee-and-the-impossible-lair,https://static.metacritic.com/images/products/games/2/9987d9b749f5cbbda1a9b74c73a7885b-98.jpg
Moonlighter,84,7.5,Xbox One,May 29, 2018,/game/xbox-one/moonlighter,https://static.metacritic.com/images/products/games/6/23c8f259ee88db2c527af9431d11b7f5-98.jpg
Assault Android Cactus,84,6.2,Xbox One,November 7, 2017,/game/xbox-one/assault-android-cactus,https://static.metacritic.com/images/products/games/9/15db4d8e857a64808db7954555f25f74-98.jpg
Hitman 2,84,7.5,Xbox One,November 9, 2018,/game/xbox-one/hitman-2,https://static.metacritic.com/images/products/games/8/f46511d3ec9441b0e394211aea909b47-98.jpg
Madden NFL 16,84,6.0,Xbox One,August 25, 2015,/game/xbox-one/madden-nfl-16,https://static.metacritic.com/images/products/games/5/0a3135060c57ad9fd86a0ee38406ef4e-98.jpg
Control,84,7.3,Xbox One,August 27, 2019,/game/xbox-one/control,https://static.metacritic.com/images/products/games/1/ad6580aa18ca41c2ec9ac6ff53c404df-98.jpg
FIFA 16,84,4.4,Xbox One,September 22, 2015,/game/xbox-one/fifa-16,https://static.metacritic.com/images/products/games/5/2bae2bbae1a63e01c5f7b4a2c10dc510-98.jpg
Resident Evil 3,84,6.2,Xbox One,April 3, 2020,/game/xbox-one/resident-evil-3,https://static.metacritic.com/images/products/games/3/56defb66b1f5ec951c52970c8b44ac2a-98.jpg
Final Fantasy XV,83,7.7,Xbox One,November 29, 2016,/game/xbox-one/final-fantasy-xv,https://static.metacritic.com/images/products/games/3/31b326779f782c53cb210996105b308f-98.jpg
Overcooked! 2,83,6.6,Xbox One,August 7, 2018,/game/xbox-one/overcooked!-2,https://static.metacritic.com/images/products/games/2/968c117bd93069a721e58d4ed4a10878-98.jpg
FIFA 18,83,3.2,Xbox One,September 26, 2017,/game/xbox-one/fifa-18,https://static.metacritic.com/images/products/games/8/5e6e224afb51602a2230e047f5997a87-98.jpg
Sonic Mania,83,7.5,Xbox One,August 15, 2017,/game/xbox-one/sonic-mania,https://static.metacritic.com/images/products/games/3/79e8421cca0c9b451d48af9c043f857a-98.jpg
Bayonetta & Vanquish,83,8.0,Xbox One,February 18, 2020,/game/xbox-one/bayonetta-vanquish,https://static.metacritic.com/images/products/games/2/0ff9aea4ff698bbc0560aaa1172f4922-98.jpg
Wreckfest,83,6.6,Xbox One,August 26, 2019,/game/xbox-one/wreckfest,https://static.metacritic.com/images/products/games/8/6dccacc67727e636ab8106a931b8b5d7-98.jpg
Forgotton Anne,83,6.3,Xbox One,May 15, 2018,/game/xbox-one/forgotton-anne,https://static.metacritic.com/images/products/games/2/d78bca6e4605df23c2860376244ec34f-98.jpg
NieR Replicant ver.1.22474487139...,83,7.6,Xbox One,April 23, 2021,/game/xbox-one/nier-replicant-ver122474487139,https://static.metacritic.com/images/products/games/3/d762ea6a2843cb380be4687ad0d373b9-98.jpg
Crash Bandicoot 4: It's About Time,83,8.3,Xbox One,October 2, 2020,/game/xbox-one/crash-bandicoot-4-its-about-time,https://static.metacritic.com/images/products/games/0/7e5db2d319715754ab05c123a12e4668-98.jpg
DIRT 5,83,5.9,Xbox One,November 3, 2020,/game/xbox-one/dirt-5,https://static.metacritic.com/images/products/games/4/2e1bfa520b9307c2c35f45203c9c55c2-98.jpg
NBA 2K19,83,2.8,Xbox One,September 7, 2018,/game/xbox-one/nba-2k19,https://static.metacritic.com/images/products/games/9/5cda27cfe1415d4e9fae1290a02cf8ad-98.jpg
Madden NFL 17,83,5.3,Xbox One,August 23, 2016,/game/xbox-one/madden-nfl-17,https://static.metacritic.com/images/products/games/3/a5fd7115e08e8174e06dcef867e29d22-98.jpg
