It Takes Two,89,8.6,Xbox Series X,March 26, 2021,/game/xbox-series-x/it-takes-two,https://static.metacritic.com/images/products/games/5/493910838aade8bb8e70ef915409d9bf-98.jpg
Tony Hawk's Pro Skater 1 + 2,89,5.0,Xbox Series X,March 26, 2021,/game/xbox-series-x/tony-hawks-pro-skater-1-+-2,https://static.metacritic.com/images/products/games/3/7ecda64cab2372ec7fcdf0fdc1917859-98.jpg
Tetris Effect: Connected,88,7.5,Xbox Series X,November 10, 2020,/game/xbox-series-x/tetris-effect-connected,https://static.metacritic.com/images/products/games/0/f297a7d16721adcc9b3273aeb2a7e64d-98.jpg
Hitman 3,87,8.0,Xbox Series X,January 20, 2021,/game/xbox-series-x/hitman-3,https://static.metacritic.com/images/products/games/3/9120ae4c6e51f74435ae272653193c96-98.jpg
Judgment,85,8.8,Xbox Series X,April 23, 2021,/game/xbox-series-x/judgment,https://static.metacritic.com/images/products/games/2/9383a3ce65c451bb2b91787e59b1752d-98.jpg
Devil May Cry 5: Special Edition,84,7.4,Xbox Series X,November 10, 2020,/game/xbox-series-x/devil-may-cry-5-special-edition,https://static.metacritic.com/images/products/games/3/e69691e51cd78759a403231774cf6f63-98.jpg
Planet Coaster: Console Edition,84,4.7,Xbox Series X,November 10, 2020,/game/xbox-series-x/planet-coaster-console-edition,https://static.metacritic.com/images/products/games/1/8d637fedeb5380e0c35a2550b3e937a5-98.jpg
Assassin's Creed Valhalla,84,7.9,Xbox Series X,November 10, 2020,/game/xbox-series-x/assassins-creed-valhalla,https://static.metacritic.com/images/products/games/5/428228b425381aeab1e47899622d42ec-98.jpg
Subnautica: Below Zero,84,9.0,Xbox Series X,May 14, 2021,/game/xbox-series-x/subnautica-below-zero,https://static.metacritic.com/images/products/games/8/a97b0f352a61e653b263664960a0dc00-98.jpg
Resident Evil Village,83,8.6,Xbox Series X,May 7, 2021,/game/xbox-series-x/resident-evil-village,https://static.metacritic.com/images/products/games/8/2fc4f66cee73af85147c2b16c6bfdd2a-98.jpg
Yakuza: Like a Dragon,83,8.2,Xbox Series X,November 10, 2020,/game/xbox-series-x/yakuza-like-a-dragon,https://static.metacritic.com/images/products/games/0/7baec1a2b4df4335ffc25f95dd023687-98.jpg
Gears Tactics,82,7.1,Xbox Series X,November 10, 2020,/game/xbox-series-x/gears-tactics,https://static.metacritic.com/images/products/games/4/660350e70dddfb7cae6c8ad64c8d02a4-98.jpg
DIRT 5,81,6.5,Xbox Series X,November 10, 2020,/game/xbox-series-x/dirt-5,https://static.metacritic.com/images/products/games/6/a8fc66c7aabc41c3bc153ee130c9749a-98.jpg
Immortals Fenyx Rising,81,7.7,Xbox Series X,December 3, 2020,/game/xbox-series-x/immortals-fenyx-rising,https://static.metacritic.com/images/products/games/6/318fe1c0471a3a784876dcecb66fba09-98.jpg
MLB The Show 21,81,7.1,Xbox Series X,April 16, 2021,/game/xbox-series-x/mlb-the-show-21,https://static.metacritic.com/images/products/games/1/f86c2a7eb465e73564f8e64416e95b2a-98.jpg
NBA 2K21,80,5.4,Xbox Series X,November 10, 2020,/game/xbox-series-x/nba-2k21,https://static.metacritic.com/images/products/games/9/73449e105ed5f08687993f312c34463d-98.jpg
Observer: System Redux,78,7.1,Xbox Series X,November 10, 2020,/game/xbox-series-x/observer-system-redux,https://static.metacritic.com/images/products/games/7/879087bdac3c78a0d89760d07afdce64-98.jpg
Football Manager 2021,78,7.1,Xbox Series X,November 30, 2020,/game/xbox-series-x/football-manager-2021,https://static.metacritic.com/images/products/games/5/34ccd144edb5600f95f0e332f8317669-98.jpg
Haven,78,7.3,Xbox Series X,December 3, 2020,/game/xbox-series-x/haven,https://static.metacritic.com/images/products/games/9/504e289913410db6c8dcbd673a65ecfd-98.jpg
Samurai Shodown: Special Edition,78,tbd,Xbox Series X,March 16, 2021,/game/xbox-series-x/samurai-shodown-special-edition,https://static.metacritic.com/images/products/games/2/f71a6d0d758ebba592b54ba1ed653977-98.jpg
Call of Duty: Black Ops Cold War,76,2.9,Xbox Series X,November 13, 2020,/game/xbox-series-x/call-of-duty-black-ops-cold-war,https://static.metacritic.com/images/products/games/4/c758f35ea9ac8be5cf69a0da716f3ab9-98.jpg
