STEPHEN'S SAUSAGE ROLL;90;5.5;PC;increpare;increpare;Apr 18, 2016;The focus of Stephen's Sausage Roll involves nudging sausages around to fully cook them.;9 ;Puzzle,Action,General
TONY HAWK'S PRO SKATER 3;90;8.4;PC;Activision;Gearbox Software;Mar 28, 2002;Featuring eight massive levels filled with people, traffic, and other interactive elements, the game's environments are brought to life with richer graphics and advanced special effects optimized for today's PC video cards. Smoother life-like animations and significantly improved tricks… Expand;15 ;Sports,Alternative,Individual,Skateboarding,Skateboarding,Skate / Skateboard
DEUS EX;90;9.2;PC;Eidos Interactive;Ion Storm;Jun 23, 2000;The game that incorporates RPG, action, adventure, and 1st-person shooter genres into a chaotic blend of real-world conspiracies, cliffhangers, and plot twists. A richly simulated world of unparalleled interactivity, engineered to react logically to your every action. The decisions and… Expand;28 ;Action Adventure,Sci-Fi,Sci-Fi,General
HALF-LIFE 2: EPISODE TWO;90;9.2;PC;Valve Software;Valve Software;Oct 10, 2007;Half-Life 2: Episode Two is the second in a trilogy of new games created by Valve that extends the award-winning and best-selling Half-Life adventure. As Dr. Gordon Freeman, you were last seen exiting City 17 with Alyx Vance as the Citadel erupted amidst a storm of unknown proportions. In… Expand;21 ;Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade
BRAID;90;8.6;PC;MumboJumbo ;Number None Inc.;Apr 10, 2009;Braid is a puzzle-platformer, drawn in a painterly style, where the player manipulates the flow of time in strange and unusual ways. From a house in the city, journey to a series of worlds and solve puzzles to rescue an abducted princess. In each world, you have a different power to affect… Expand;11 ;Action,Platformer,Platformer,2D,2D
THE CHRONICLES OF RIDDICK: ESCAPE FROM BUTCHER BAY - DEVELOPER'S CUT;90;8.6;PC;VU Games;Starbreeze;Dec 8, 2004;Set before the events of both Universal Pictures' "The Chronicles of Riddick," starring Vin Diesel, and the 2000 cult classic "Pitch Black," which first introduced Diesel as enigmatic anti-hero Riddick, the game tells the story of Riddick's dramatic escape from the previously inescapable… Expand;38 ;Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade
SID MEIER'S CIVILIZATION III;90;8.4;PC;Infogrames;Firaxis Games;Oct 30, 2001;In Civilization III, you'll find new pathways to explore and strategies to employ, greatly expanded diplomacy, more powerful combat, a new trade system, new technologies, more powerful tools to build and manage your empire, and the most detailed and beautiful art, animations and sound ever… Expand;24 ;Strategy,Turn-Based,Historic,Historic,4X
SILENT HUNTER III;90;7.8;PC;Ubisoft;Ubisoft;Mar 15, 2005;Command the cunning and deadly U-boats of the North Atlantic and experience the tension-filled atmosphere of a WWII submarine movie. The king of submarine simulations returns with an all-new 3D game engine, new crew-command features, and more realistic action than ever before. The game… Expand;23 ;Simulation,Submarine,Submarine,Marine,Combat
BAYONETTA;90;8.1;PC;SegaSoft ;PlatinumGames;Apr 11, 2017;Bayonetta is a cinematic and stylish action game from the creative mind of Hideki Kamiya. As a gun-wielding witch with powers beyond the comprehension of mere mortals, Bayonetta faces-off against countless enemies in a game of 100% pure all-out action. Outlandish finishing moves are… Expand;17 ;Action Adventure,Linear
SID MEIER'S CIVILIZATION V;90;8.0;PC;2K Games;Firaxis Games;Sep 21, 2010;With over nine million units sold worldwide, and unprecedented critical acclaim from fans and press around the world, Sid Meier's Civilization is recognized as one of the greatest strategy franchises of all-time. Now, Firaxis Games will take this incredibly fun and addictive strategy game to… Expand;70 ;Strategy,Turn-Based,Historic,Historic,4X
