RAYMAN ORIGINS;87;8.5;PlayStation 3;Ubisoft;UBlart Montpellier;Nov 15, 2011;Rayman's new adventure is a two-dimensional cooperative platformer with a colorful, whimsical art style.;43 ;Action,Action Adventure,Adventure,General,Platformer,Fantasy,Platformer,2D,2D
MLB 12: THE SHOW;87;7.9;PlayStation 3;SCEA;SCEA San Diego Studios;Mar 6, 2012;MLB 12 The Show builds on what has been delivered in previous franchise releases, adding compelling features that bring unparalleled innovation.;23 ;Sports,Traditional,Team,Baseball,Sim,Sim
WIPEOUT HD;87;8.1;PlayStation 3;SCEA;Studio Liverpool;Sep 25, 2008;[Playstation Network] Get ready to race at blazing speeds and experience adrenaline-filled, anti-gravity racing action in full-1080p High Definition running at60-frames-per-second on PS3. Featuring a selection of the best tracks taken from previous versions of the wipEout franchise, wipEout… Expand;52 ;Driving,Racing,Arcade,Futuristic,Futuristic
RESISTANCE 2;87;6.2;PlayStation 3;SCEA;Insomniac Games;Nov 4, 2008;After a valiant struggle to stop the Chimera invasion in Europe, mankind must make its last stand on the shores of the United States. Resistance 2 places players in the heroic role of Sgt. Nathan Hale as he struggles against overwhelming odds to defend mankind from the unstoppable Chimera.… Expand;79 ;Action,Shooter,Shooter,First-Person,Sci-Fi,Modern,Sci-Fi,Arcade
FLOWER;87;8.5;PlayStation 3;SCEA;ThatGameCompany;Feb 12, 2009;[Playstation Network] The pioneers that brought you the award-winning PlayStation Network title "flOw" are back with another concept that challenges traditional gaming conventions. Flower expands the team's tradition of delivering simple gameplay, accessible controls and a medium to explore… Expand;57 ;Miscellaneous,General,General
DARK SOULS II: CROWN OF THE IVORY KING;87;8.4;PlayStation 3;Bandai Namco Games;Namco Bandai Games;Sep 30, 2014;'DARK SOULS II Crown of the Ivory King' is the third of 3 large-scale DLC additions to DARK SOULS II, and includes all-new stages, maps, boss characters, weapons & armor! In this third DLC, players will find themselves in a world shining bright with the glow of treacherous ice. Can you… Expand;10 ;Role-Playing,Action RPG
PIXELJUNK SHOOTER;87;8.0;PlayStation 3;SCEA;Q-Games;Dec 10, 2009;[Playstation Network] PixelJunk Shooter places you in the cockpit of a subterranean exploration vehicle to investigate the interior of diverse cave-like complexes where you must affect the surrounding and dynamic terrain to progress. Safely navigate through each vivid stage and rescue… Expand;50 ;Action,Shooter,Shooter,Static,Static,Shoot-'Em-Up,Top-Down
BAYONETTA;87;7.7;PlayStation 3;Sega;PlatinumGames;Jan 5, 2010;Bayonetta is a stylish and cinematic action game directed by creator Hideki Kamiya. A member of an ancient witch clan and possessing powers beyond the comprehension of mere mortals, Bayonetta faces-off against countless ethereal enemies, many reaching epic proportions, in a game of 100%… Expand;54 ;Action,Action Adventure,Beat-'Em-Up,Fantasy,Beat-'Em-Up,Linear
RATCHET & CLANK FUTURE: A CRACK IN TIME;87;8.9;PlayStation 3;SCEA;Insomniac Games;Oct 27, 2009;Concluding the events set into motion by Ratchet & Clank Future: Tools of Destruction, Ratchet & Clank Future: A Crack in Time at long last answers some of the franchise fans' largest questions. After discovering that Clank's disappearance was engineered by Dr. Nefarious, Ratchet races to… Expand;85 ;Action,Platformer,Platformer,3D,3D
UNREAL TOURNAMENT III;86;7.7;PlayStation 3;Midway;Epic Games;Dec 11, 2007;Players assume the role of a futuristic warrior engaged in contests of intense shooting battles against skilled opponents, controlled either by human contestants online or by A.I. These contests are fought with the most powerful sci-fi weapons and vehicles.Unparalleled graphical and physical… Expand;42 ;Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade
DJ HERO 2;86;7.8;PlayStation 3;Activision;FreeStyleGames;Oct 19, 2010;Activision's turntable-based rhythm game is coming back for an encore.;46 ;Action,Miscellaneous,Rhythm,Music,Music
UFC UNDISPUTED 3;86;7.5;PlayStation 3;THQ;Yuke's;Feb 14, 2012;The critically acclaimed and best-selling MMA videogame franchise returns to take players inside the Octagon with UFC Undisputed 3, delivering intense UFC action focused on brutal toe-to-toe combat, impressive visual presentation and increased accessibility.;30 ;Action,Sports,Fighting,Fighting,Individual,Wrestling,Combat,Wrestling
VALKYRIA CHRONICLES;86;8.8;PlayStation 3;Sega;Sega;Nov 4, 2008;Valkyria Chronicles is set in a fictitious continent reminiscent of 1930s Europe, divided in two and ruled by the Empire and the Federation. The Empire has set its sights on invading a small neutral country called Gallia, which is situated in the middle of the two great empires. The game… Expand;60 ;Role-Playing,Strategy,Action RPG,Turn-Based,General,General,Historic,Tactics
