SAM & MAX: SEASON ONE;74;8.3;DreamCatcher Interactive ;Telltale Games;Oct 15, 2008;The Sam & Max episodes let players guide the Freelance Police through a series of bizarre—and often sidesplitting—mysteries. Sam is a six-foot dog in a baggy suit sporting a trombone-sized .44 hand-cannon. Max is a three foot "rabbity thing" with a saw blade grin and the impulsive nature of… Expand;34 ;Miscellaneous,Adventure,General,Compilation,3D,Compilation,Point-and-Click,Third-Person
DIVE: THE MEDES ISLANDS SECRET;74;tbd;Cosmonaut Games;Over the Top Games;Jul 26, 2010;Dive: The Medes Islands Secret recreates underwater scenes from 10 different real locations from around the world, with large levels filled with enemies, mazes, dangers and treasures. It contains an economic system that will enable players to exchange or upgrade their diving equipment, which… Expand;13 ;Adventure,General,General
JUST DANCE 2;74;7.2;Ubisoft;Ubisoft;Oct 12, 2010;The sequel to last year's hit dance party game returns.;24 ;Action,Miscellaneous,Rhythm,Dancing,Dancing
JUST DANCE 4;74;7.7;Ubisoft;Ubisoft;Oct 9, 2012;Just Dance 4 features more than 40 new tracks, ranging from chart-topping Billboard hits to classic dance party tracks. Whether it's pop, Hip-Hop, rock, R&B, country or funk, there is something for everyone.;10 ;Action,Miscellaneous,Rhythm,Dancing,Dancing
SSX BLUR;74;7.8;EA Sports Big;EA Montreal;Feb 27, 2007;SSX Blur is everything you expect from the franchise, delivered in a totally unexpected way. Revolutionary controls take full advantage of the Wii's potential by putting you in total command of your skier or rider, on-the-ground & in-the-air, by translating every motion you make into the… Expand;52 ;Sports,Alternative,Individual,Snowboarding,Snowboarding,Ski / Snowboard
GUITAR HERO: SMASH HITS;74;7.6;Activision;Beenox;Jun 16, 2009;Guitar Hero Smash Hits takes the most exciting, recognizable and fun to play music from genre-defining titles Guitar Hero, Guitar Hero II, Guitar Hero Encore: Rocks the 80s and Guitar Hero III: Legends of Rock, which were previously available for guitar-only in-game play, and delivers them… Expand;17 ;Action,Miscellaneous,Rhythm,Music,Music
MEDAL OF HONOR HEROES 2;73;7.5;Electronic Arts;EA Canada;Nov 13, 2007;It's June 6th, 1944, and the war is in your hands. Step into the boots of OSS Operative John Berg and infiltrate Normandy from behind enemy lines to undermine the Nazi regime. Choose to tackle all-new missions in traditional single player campaign or engage in massive, 32-player online,… Expand;37 ;Action,Shooter,Shooter,First-Person,Historic,Historic,Arcade
WARIOWARE D.I.Y. SHOWCASE;73;8.4;Nintendo;Intelligent Systems;Mar 29, 2010;[WiiWare] WarioWare: D.I.Y. Showcase is a standalone product exclusive to the WiiWare service and available only from the Wii Shop Channel. The game contains more than 70 new microgames and features interoperability with theWarioWare: D.I.Y. game for the Nintendo DS family of products.… Expand;10 ;Miscellaneous,Party,Party,Party / Minigame
THE SIMS 2: CASTAWAY;73;7.8;Electronic Arts;Maxis;Oct 23, 2007;Help your Sims build a life from scratch after washing ashore on a deserted tropical island. Overcome the forces of nature to help them become the ultimate survivors and thrive in this undiscovered paradise while unearthing clues that will lead them back to civilization. Build shelters,… Expand;19 ;Simulation,Miscellaneous,General,Virtual,Virtual Life
FIFA SOCCER 11;73;6.5;Electronic Arts;EA Sports;Oct 4, 2010;EA returns to the field with another installment in its long-running soccer series.;17 ;Sports,Traditional,Team,Soccer,Sim,Sim
MARIO PARTY 9;73;6.9;Nintendo;Nd Cube;Mar 11, 2012;The party is back and bigger than ever in the Mario Party 9 game for Wii, featuring all-new ways to play! For the first time in the franchise, boss battles crash the party and challenge players to compete to defeat a common enemy. In addition, players now travel across stages together in a… Expand;45 ;Miscellaneous,Party,Party,Party / Minigame
PANDORA'S TOWER;73;8.1;XSEED Games;Ganbarion;Apr 16, 2013;The victim of a cruel curse, Elena endures a horrific transformation into a grotesque beast. Determined to find a way to cure her, Aeron assumes the Oraclos Chain and plunges into the Thirteen Towers, where truly terrifying monsters await him. The words of their companion Mavda offer them… Expand;48 ;Role-Playing,Action RPG,Action RPG
RAYMAN RAVING RABBIDS: TV PARTY;73;7.6;Ubisoft;Ubisoft Paris;Nov 18, 2008;First they invaded the world and, now your TV. The Rabbids have taken over almost every channel you can imagine, from music to movies – even TV ads. Help the Rabbids destroy all our daily viewing and drive Rayman crazy. In Story Mode, play through a week of television, with each day bringing… Expand;24 ;Miscellaneous,Party,Party,Party / Minigame
ANIMAL CROSSING: CITY FOLK;73;7.8;Nintendo;Nintendo;Nov 16, 2008;(Also known as "Animal Crossing: Let's Go To The City") If life were an endless vacation, what would you do? Go fishing, collect shells or watch fireworks with friends? Build a snowman, exchange presents with family or decorate your house for the holidays? Take a trip to the city, go on a… Expand;50 ;Simulation,Miscellaneous,Virtual Life,Virtual,Virtual Life
ART STYLE: CUBELLO;73;7.6;Nintendo;Nintendo;Oct 13, 2008;[WiiWare] Art Style: CUBELLO mixes the strategy and feel of a traditional puzzle game with the precision and reflexes required in a shooter. As each stage begins, various colored cubes form into one large object called a Cubello, which floats and rotates as you play. Launch additional cubes… Expand;11 ;Miscellaneous,Puzzle,Puzzle,General,Puzzle,General
VIRTUA TENNIS 2009;73;7.3;Sega;Sumo Digital;Jun 9, 2009;Create your own player and join the new World Tour where you are trained by a real-life legend of tennis to compete for the #1 ranking against the biggest stars. Then take your character online and prove you're the best with the new online ranking system! With brand new courts, a new roll… Expand;33 ;Sports,Traditional,Individual,Tennis,Tennis
LEGO PIRATES OF THE CARIBBEAN: THE VIDEO GAME;73;7.3;Disney Interactive Studios;Traveller's Tales;May 10, 2011;LEGO Pirates of the Caribbean: The Video Game will be based in the world of the globally successful film franchise, incorporating storylines, locations and characters from the first three films ("Pirates of the Caribbean: The Curse of the Black Pearl," "Pirates of the… Expand;14 ;Action Adventure,Fantasy,General,Fantasy
MARVEL: ULTIMATE ALLIANCE;73;7.4;Activision;Vicarious Visions;Nov 14, 2006;Marvel: Ultimate Alliance is an action/RPG that features the largest roster of comic book characters ever seen in a video game. Players assume the roles of more than 20 Marvel Super Heroes including Spider-Man, Wolverine, Blade and Captain America, and through their actions determine the… Expand;31 ;Role-Playing,Action RPG,Action RPG
GUITAR HERO: AEROSMITH;73;6.8;Activision;Vicarious Visions;Jun 29, 2008;Guitar Hero: Aerosmith is the first game built around the legendary music of "America's Greatest Rock ‘N Roll Band": Steven Tyler, Joe Perry, Brad Whitford, Tom Hamilton and Joey Kramer. This latest Guitar Hero installment puts players in the shoes of Perry (guitar), Whitford (guitar) and… Expand;16 ;Action,Miscellaneous,Rhythm,Music,Music
TOMB RAIDER: ANNIVERSARY;73;7.4;Eidos Interactive;Crystal Dynamics;Nov 13, 2007;Inspired by the first Tomb Raider videogame, originally released in 1996, Lara Croft Tomb Raider: Anniversary is a totally new 2006 adventure for Lara, faithfully preserving the elements which made the original Tomb Raider such a classic. Using an enhanced "Tomb Raider Legend" game engine,… Expand;22 ;Action Adventure,Modern,Modern,Linear
METAL SLUG ANTHOLOGY;73;8.1;SNK Playmore;Terminal Reality;Dec 14, 2006;SNK Playmore, in celebration of the 10th Anniversary of their classic arcade franchise Metal Slug, releases the greatest array of Metal Slug titles ever assembled for the Wii including Metal Slug, Metal Slug 2, Metal Slug X, Metal Slug 3, Metal Slug 4, and Metal Slug 5. The METAL SLUG… Expand;38 ;Miscellaneous,Compilation,Compilation
DISNEY EPIC MICKEY;73;7.4;Disney Interactive Studios;Junction Point;Nov 30, 2010;Deus Ex and Thief cocreator Warren Spector is developing a dark, Wii-exclusive adventure featuring Disney's rodent mascot.;78 ;Action,Adventure,General,Platformer,Platformer,3D,3D
SNK ARCADE CLASSICS VOL. 1;73;8.0;SNK Playmore;SNK Playmore;Jul 29, 2008;ART OF FIGHTING - The first game in SNK's second fighting-game franchise, set in the same universe as FATAL FURY. BASEBALL STARS 2 - The sequel to SNK's popular baseball arcade game. BURNING FIGHT - New York detectives battle organized crime in this fighter. FATAL FURY - First released in… Expand;18 ;Miscellaneous,Compilation,Compilation
FAST - RACING LEAGUE;73;7.8;Shin'en;Shin'en;May 30, 2011;In the year 2112, the masses are fascinated by extreme high-speed races. The latest antigravity racing technology introduced phase-shifting. Perfectly phase-matching tracks and racing machines is the key to survival. Prepare yourself for a whole new racing experience at breakneck speeds.… Expand;11 ;Driving,Racing,Arcade,Futuristic,Futuristic
DANCE DANCE REVOLUTION HOTTEST PARTY;73;7.1;Konami;Konami;Sep 25, 2007;Using a traditional DDR dance pad in conjunction with the Wii Remote, DDR Hottest Party requires players to match controller movements with the remote and Nunchuk attachment, as well as dance steps. The game also supports up to four players in multiple game modes and minigames. In addition… Expand;16 ;Action,Miscellaneous,Rhythm,Dancing,Dancing
MONSTER LAB;73;8.6;Eidos Interactive;Backbone Entertainment;Nov 4, 2008;Monster Lab is set in an eerie, supernatural world where the evil Baron Mharti rules the region with a cruel hand. Gamers take on the role of an apprentice scientist who must perform a vast array of intricate experiments to create creepy monsters from over 150 monster parts. From mechanical… Expand;11 ;Role-Playing,Action RPG,General,Action RPG
FINAL FANTASY CRYSTAL CHRONICLES: MY LIFE AS A DARKLORD;73;7.2;Square Enix;Square Enix;Jul 20, 2009;[WiiWare] Step into the deadly-yet-fashionable shoes of the Darklord, a malevolent miss charged with dispatching intruding do-gooders by strategically placing traps and monsters within the tower she calls home. Players will need to get their hands on increasingly diabolical traps and… Expand;14 ;Strategy,Real-Time,Fantasy,General,Fantasy
DOKAPON KINGDOM;73;8.3;Atlus;Sting;Oct 14, 2008;The King of Dokapon has offered you his throne; all he asks for in return is that you dispose of an invading horde of thieving monsters. Trouble is - you're not the only one he asked. Contend with up to three friends as you navigate playfields littered with challenges, monsters to defeat,… Expand;11 ;Role-Playing,General,General
EXCITE TRUCK;72;8.4;Nintendo;Monster Games Inc.;Nov 19, 2006;In the grand racing tradition of Excitebike, get ready for a big-air experience like no other as players rocket their trucks across dynamically changing terrain. Remember tilting your arms while playing Excitebike to try to make your character land a huge jump? Well, that experience is… Expand;57 ;Driving,Racing,Arcade,Arcade,Automobile
CHICK CHICK BOOM;72;8.2;Tons of Bits;Tons of Bits;Dec 27, 2010;chick chick BOOM is the first WiiWare game from developer Tons of Bits.;15 ;Action,General,General
NARUTO: CLASH OF NINJA REVOLUTION 2;72;8.3;D3 ;Eighting;Oct 21, 2008;NARUTO: Clash of Ninja Revolution 2 provides players with quality fighting game mechanics and a fast-paced gameplay experience on Wii. Set after Sasuke leaves the Leaf Village to gain more power from Orochimaru, the title offers a slew of playable characters, including those developed… Expand;20 ;Action,Fighting,Fighting,3D,3D
DRAGON BALL Z: BUDOKAI TENKAICHI 2;72;8.5;Atari ;Spike;Nov 15, 2006;Combining action, fighting and light role-playing game elements, Dragon Ball Z: Budokai Tenkaichi 2 sends players into a rich story mode that spans the entire Dragon Ball, DBZ, and Dragon Ball GT series. The game takes the acrobatic and intense 3D flying and fighting dynamic made popular in… Expand;37 ;Action,Fighting,Fighting,3D,3D
DISNEY'S CHICKEN LITTLE: ACE IN ACTION;72;7.8;Buena Vista Games;Avalanche Software;Dec 11, 2006;Inspired by the "superhero movie within the movie" finale of Walt Disney Pictures' film "Chicken Little," Disney"s Chicken Little: Ace in Action features Ace, the superhero alter ego of Chicken Little, and the Hollywood versions of his misfit band of friends: Runt, Abby and… Expand;8 ;Action,Shooter,Shooter,Third-Person,Fantasy,Fantasy,Arcade
ENDLESS OCEAN;72;8.2;Nintendo;Arika;Jan 21, 2008;The beauty of Endless Ocean is that players can do as much or as little as they like. The relaxed and calm atmosphere of the game gives divers the freedom to explore special locations such as shipwrecks and underwater ruins, discover and interact with sea-life, complete fish logs or simply… Expand;42 ;Adventure,General,General,3D,Third-Person
WWE SMACKDOWN VS. RAW 2011;72;7.7;THQ;Yuke's;Oct 26, 2010;WWE SmackDown vs. Raw 2011 will empower players more than ever to to define their gameplay experiences in a dynamic and ever-changing WWE. Along the way, gameplay scenarios will change based on player decisions, allowing for more spontaneous WWE action in and out of the ring. Players will… Expand;7 ;Action,Sports,Fighting,Fighting,Individual,Wrestling,Combat,Wrestling
DRAGON BALL Z: BUDOKAI TENKAICHI 3;72;8.6;Atari ;Spike;Dec 3, 2007;Dragon Ball Z: Budokai Tenkaichi 3 delivers an extreme 3D fighting experience, improving upon last year's game with over 150 playable characters, enhanced fighting techniques, beautifully refined effects and shading techniques, making each character's effects more realistic, and over 20… Expand;27 ;Action,Fighting,Fighting,3D,3D
TETRIS PARTY DELUXE;72;6.4;Majesco Games ;Tetris Online, Inc;May 25, 2010;Six new game modes: Bombliss - Clear lines using bombs for explosive line clearing chain reactions; Sprint - Clear 40 lines in the shortest amount of time; VS Sprint - Compete against 3 other players (locally) in Sprint. The first player to clear 40 lines wins; Master - Set to maximum… Expand;19 ;Miscellaneous,Puzzle,Puzzle,Puzzle,Stacking,Stacking
MARIO & SONIC AT THE OLYMPIC WINTER GAMES;72;7.5;Sega;Sega;Oct 13, 2009;Mario & Sonic at the Olympic Winter Games takes players to Vancouver, Canada, host city of the official 2010 Olympic Winter Games. This gaming experience invites players of all ages and skill sets to face-off in some of the most intense winter competitions available for the Nintendo… Expand;55 ;Sports,Olympic Sports,Olympic Sports,Individual,Athletics
DEADLY CREATURES;72;8.5;THQ;Rainbow Studios;Feb 9, 2009;Deadly Creatures is a 3rd person action thriller set amidst a desert world of venomous terror, built exclusively for the Nintendo Wii. Players control an armored Scorpion and a deadly Tarantula as they fight for survival against Gila monsters, lizards, black widows and many more terrifying… Expand;45 ;Action,Action Adventure,Platformer,Platformer,Linear,3D,3D
LEGO INDIANA JONES 2: THE ADVENTURE CONTINUES;72;6.4;LucasArts;Traveller's Tales;Nov 17, 2009;LEGO Indiana Jones 2 presents a tongue-in-cheek take on all four cinematic adventures of pop culture’s most iconic archaeologist, including for the first time ever Indiana Jones and the Kingdom of the Crystal Skull and will give players the ability to create levels of their own! [LucasArts];13 ;Action Adventure,Historic,General,Historic
TIGER WOODS PGA TOUR 08;72;7.0;EA Sports;EA Salt Lake;Aug 28, 2007;All-new Shot Confidence tracks your performance on every hole, round, and golf course. Based on key factors, including club selection, hole, lie, and more, dig into past performances with the Confidence Meter to identify strengths and weaknesses before every shot. The Most Golf Courses… Expand;24 ;Sports,Traditional,Individual,Golf,Sim,Sim
