GRAND THEFT AUTO IV;98;7.9;Xbox 360;Rockstar Games;Rockstar North;Apr 29, 2008;[Metacritic's 2008 Xbox 360 Game of the Year; Also known as "GTA IV"] What does the American Dream mean today? For Niko Belic, fresh off the boat from Europe. It's the hope he can escape his past. For his cousin, Roman, it is the vision that together they can find fortune in Liberty City,… Expand;86 ;Action Adventure,Modern,Modern,Open-World
GRAND THEFT AUTO V;97;8.3;Xbox 360;Rockstar Games;Rockstar North;Sep 17, 2013;Los Santos is a sprawling sun-soaked metropolis full of self-help gurus, starlets and once-important stars. The city was once the envy of the Western world, but is now struggling to stay relevant in an era of economic uncertainty and reality TV. Amidst the chaos, three very different… Expand;58 ;Modern,Action Adventure,Modern,Open-World
BIOSHOCK;96;8.7;Xbox 360;2K Games;Irrational Games;Aug 21, 2007;[Metacritic's 2007 Xbox 360 Game of the Year] Going beyond "run and gun corridors," "monster-closet AIs" and static worlds, BioShock creates a living, unique and unpredictable FPS experience. After your plane crashes into icy uncharted waters, you discover a rusted bathysphere and descend… Expand;88 ;Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade
THE ORANGE BOX;96;9.0;Xbox 360;EA Games;Valve Software;Oct 10, 2007;Games included in The Orange Box compilation: The original Half-Life 2 - The player again picks up the crowbar of research scientist Gordon Freeman, who finds himself on an alien-infested Earth being picked to the bone, its resources depleted, its populace dwindling. Freeman is thrust into… Expand;54 ;Action,Miscellaneous,Shooter,Compilation,First-Person,Sci-Fi
MASS EFFECT 2;96;8.9;Xbox 360;Electronic Arts;BioWare;Jan 26, 2010;The Mass Effect trilogy is a science fiction adventure set in a vast universe filled with dangerous alien life forms and mysterious uncharted planets. In this dark second chapter, Saren’s evil army of Geth soldiers has just been defeated, and humans, who are still struggling to make their… Expand;98 ;Role-Playing,Action RPG,Action RPG
THE ELDER SCROLLS V: SKYRIM;96;8.6;Xbox 360;Bethesda Softworks;Bethesda Game Studios;Nov 11, 2011;The next chapter in the Elder Scrolls saga arrives from the Bethesda Game Studios. Skyrim reimagines the open-world fantasy epic, bringing to life a complete virtual world open for you to explore any way you choose. Play any type of character you can imagine, and do whatever you want; the… Expand;89 ;Role-Playing,First-Person,First-Person,Western-Style
RED DEAD REDEMPTION;95;9.0;Xbox 360;Rockstar Games ;Rockstar San Diego;May 18, 2010;Developed by Rockstar San Diego, as a follow up to the 2004 hit game Red Dead Revolver, Red Dead Redemption is a Western epic, set at the turn of the 20th century when the lawless and chaotic badlands began to give way to the expanding reach of government and the spread of the Industrial… Expand;96 ;Action,Action Adventure,Shooter,Historic,Historic,Open-World,Third-Person,Historic
PORTAL 2;95;8.8;Xbox 360;Valve Software;Valve Software;Apr 19, 2011;Valve is working on a full-length sequel to its award-winning, mind-bending puzzle action game for the Xbox 360 and PC.;66 ;Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade
BATMAN: ARKHAM CITY;94;8.8;Xbox 360;Warner Bros. Interactive Entertainment;Rocksteady Studios;Oct 18, 2011;Developed by Rocksteady Studios, Batman: Arkham City builds upon the intense, atmospheric foundation of Batman: Arkham Asylum, sending players soaring into Arkham City, the new maximum security "home" for all of Gotham City's thugs, gangsters and insane criminal masterminds. Set inside the… Expand;87 ;Action Adventure,Fantasy,Fantasy,Open-World
GEARS OF WAR;94;8.4;Xbox 360;Microsoft Game Studios;Epic Games;Nov 7, 2006;Gears of War blends tactical action with survival horror and thrusts gamers into a deep and harrowing story of humankind's epic battle for survival against the Locust Horde, a nightmarish race of creatures that surface from the bowels of the planet. Lead war hero Marcus Fenix and his fire… Expand;88 ;Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade
THE ELDER SCROLLS IV: OBLIVION;94;8.7;Xbox 360;2K Games;Bethesda Softworks;Mar 20, 2006;Oblivion is a single-player game that takes place in Tamriel's capital province, Cyrodiil. You are given the task of finding the hidden heir to a throne that sits empty, the previous emperor having been killed by an unknown assassin. With no true Emperor, the gates to Oblivion (the… Expand;90 ;Role-Playing,First-Person,First-Person,Western-Style
CALL OF DUTY 4: MODERN WARFARE;94;8.5;Xbox 360;Activision;Infinity Ward;Nov 5, 2007;As Call of Duty 4: Modern Warfare's single player campaign unfolds, the player is introduced to new gameplay at every turn – one moment you are fast-roping from your Black Hawk helicopter after storming into the war zone with an armada of choppers, the next you are a sniper, under… Expand;70 ;Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade
HALO 3;94;8.1;Xbox 360;Microsoft Game Studios;Bungie Software;Sep 25, 2007;Halo 3 is the third game in the Halo Trilogy and provides the thrilling conclusion to the events begun in "Halo: Combat Evolved." Halo 3 picks up where "Halo 2" left off. The Master Chief is returning to Earth to finish the fight. The Covenant occupation of Earth has uncovered a massive and… Expand;86 ;Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade

PAC-MAN CHAMPIONSHIP EDITION DX;93;7.6;Xbox 360;Namco Bandai Games;Namco Bandai Games;Nov 17, 2010;PAC-MAN Championship Edition DX continues to uphold NAMCO BANDAI's tradition of enhancing a classic franchise for today's gamer. Building upon PAC-MAN Championship Edition’s original six courses, the new game features more than 100 varied and mind-boggling mazes to navigate. Several new… Expand;43 ;Adventure,General,Action,General,General,Arcade
